feature,importance,target
no2_trop_p90_filled,0.0005129133808682564,livability
road_access_score,0.0005036350303559801,livability
flight_degree_centrality,0.0005027867750992484,livability
viirs_ntl_mean,0.00048798067081928386,livability
viirs_log_mean,0.00046582978216050055,livability
flight_connectivity_total,0.0004384530856340555,livability
ghsl_built_surface_km2,0.0004265818817342351,livability
viirs_ntl_p90,0.00039013516064123795,livability
observed_activity_signal,0.0003555217055981215,livability
osm_hist_poi_nightlife_count,0.00034947043852648937,livability
osm_hist_road_length_m,0.00034078798559142385,livability
precipitation_sum,0.00032575150730642337,livability
transport_intensity,0.0003060864662287573,livability
viirs_physical_continuity,0.00025544693138777175,livability
osm_hist_poi_count,0.00020287449434222308,livability
osm_hist_poi_yoy,0.00015869440883095197,livability
osm_hist_poi_food_count,0.00015822145544258173,livability
no2_trop_anomaly_abs_mean_filled,0.00014946092313464207,livability
osm_hist_building_yoy,0.0001367130392918122,livability
osm_hist_poi_retail_count,0.0001343651501350663,livability
ghsl_built_surface_yoy,0.00013369782381705988,livability
ghsl_built_volume_yoy,0.00013223616627508014,livability
poi_backcast_scale,0.00012197138359411837,livability
no2_recent_spike_filled,0.00010181323310339673,livability
osm_hist_poi_retail_yoy,9.93619576659265e-05,livability
no2_trop_anomaly_mean_filled,8.796184218750473e-05,livability
policy_intensity_infra_iso_year,8.410158125449371e-05,livability
osm_hist_poi_food_yoy,7.861604356959338e-05,livability
viirs_ntl_yoy,7.777915118921244e-05,livability
policy_intensity_mean_iso_year,7.3903663217492e-05,livability
road_arterial_growth_proxy,6.33646762028682e-05,livability
observed_dynamic_signal,6.072959274125564e-05,livability
osm_hist_poi_nightlife_yoy,5.929583232956683e-05,livability
viirs_intra_year_decline,5.899481283768417e-05,livability
viirs_physical_stress,4.89125567930305e-05,livability
observed_physical_stress_signal,4.762179107006104e-05,livability
viirs_recent_drop,4.159623790215139e-05,livability
policy_news_proxy_score,3.966567206448061e-05,livability
road_growth_intensity,3.951071339707809e-05,livability
no2_trop_yoy_mean_filled,3.9036970761482996e-05,livability
policy_intensity_sum_iso_year,3.4960893271838596e-05,livability
no2_year_coverage_share,3.108106273644574e-05,livability
policy_event_count_infra_iso_year,2.9391988534856125e-05,livability
osm_hist_road_yoy,2.9307688156172622e-05,livability
policy_intensity_sum_iso_year_yoy,2.8864723916569593e-05,livability
road_local_growth_proxy,2.7064393062532054e-05,livability
viirs_intra_year_recovery,2.6347347364945754e-05,livability
policy_event_type_count_iso_year,2.2156374041370105e-05,livability
policy_event_coarse_type_count_iso_year,1.6567650994396182e-05,livability
policy_intensity_eco_reg_iso_year,1.499621225945705e-05,livability
road_tier_code,1.254611306961538e-05,livability
policy_event_new_count_iso_year,1.1087044668358775e-05,livability
policy_event_count_iso_year,6.925319188013823e-06,livability
policy_event_count_iso_year_yoy,6.4354944137797095e-06,livability
no2_backcast_flag,4.386069282657285e-06,livability
has_no2_observation,2.864804370989821e-06,livability
policy_event_count_eco_reg_iso_year,1.5417605045268944e-06,livability
social_sentiment_buzz,0.0,livability
social_sentiment_delta_1,0.0,livability
has_social_observation,0.0,livability
viirs_year_coverage_share,0.0,livability
policy_intensity_digital_iso_year,0.0,livability
policy_event_count_digital_iso_year,0.0,livability
has_poi_observation,0.0,livability
ghsl_built_contraction,0.0,livability
has_no2_observation_or_backcast,0.0,livability
has_viirs_observation,0.0,livability
has_network_connectivity_observation,0.0,livability
arterial_share,0.21326688542487696,innovation
flight_connectivity_total,0.2087878888573463,innovation
observed_mobility_signal,0.11785947448334219,innovation
spatial_lag_knowledge_wdist,0.10548994168251291,innovation
intersection_density,0.10548299437732717,innovation
international_route_share,0.05197597427621232,innovation
latitude,0.026924389343406893,innovation
gravity_access_knowledge,0.019912611251599797,innovation
flight_degree_centrality,0.016336114193423273,innovation
transport_intensity,0.013760834093762477,innovation
ghsl_built_surface_yoy,0.012504954945884371,innovation
ghsl_built_volume_m3,0.011875084707704266,innovation
road_access_score,0.010511735678436988,innovation
no2_trop_mean_filled,0.009605080046028357,innovation
no2_trop_p90_filled,0.00773856185721315,innovation
temperature_mean,0.007680036007363245,innovation
policy_event_coarse_type_count_iso_year,0.007439535931892382,innovation
policy_intensity_infra_iso_year,0.005361837629998192,innovation
road_length_km_total,0.004438012782813524,innovation
policy_news_proxy_score,0.004366852037941309,innovation
longitude,0.004048994544673086,innovation
ghsl_built_density,0.0033289627351352005,innovation
viirs_ntl_p90,0.0030084080844193788,innovation
ghsl_built_surface_km2,0.0026153660902078876,innovation
precipitation_sum,0.002503002210889636,innovation
ghsl_built_volume_yoy,0.002186050625366867,innovation
gravity_access_viirs,0.002123199471101933,innovation
climate_comfort,0.0018500026635939132,innovation
gravity_access_population,0.0018209192180741087,innovation
osm_hist_poi_food_count,0.001737388602394095,innovation
osm_hist_poi_retail_count,0.0015706711395101084,innovation
amenity_ratio,0.0014476035406422495,innovation
no2_trop_anomaly_abs_mean_filled,0.0013665392687722108,innovation
spatial_lag_log_viirs_ntl_wdist,0.001062636477798734,innovation
spatial_lag_log_viirs_ntl_wecon,0.0010303795066058253,innovation
no2_trop_anomaly_mean_filled,0.0010048032471928758,innovation
airport_count_mapped,0.0009853698517356003,innovation
policy_intensity_sum_iso_year,0.000912321816015343,innovation
no2_recent_spike_filled,0.0008649494183748726,innovation
osm_hist_poi_nightlife_count,0.0006993570985416812,innovation
poi_backcast_scale,0.00036264687153827536,innovation
poi_diversity,0.0003248255023495068,innovation
osm_hist_road_length_m,0.00029655091042967335,innovation
policy_intensity_eco_reg_iso_year,0.00022005347098339934,innovation
observed_innovation_signal,0.00021383226612442806,innovation
commerce_ratio,0.00014858822932611442,innovation
observed_livability_signal,0.000147962729964962,innovation
viirs_ntl_mean,9.313248209289844e-05,innovation
viirs_log_mean,6.847696852980373e-05,innovation
policy_intensity_mean_iso_year,6.72774713309573e-05,innovation
no2_year_coverage_share,6.465155326667159e-05,innovation
no2_trop_yoy_mean_filled,6.020061002014611e-05,innovation
observed_activity_signal,5.89483109547144e-05,innovation
osm_hist_poi_food_yoy,5.307177616650156e-05,innovation
osm_hist_building_count,5.227307960792411e-05,innovation
osm_hist_building_yoy,5.11929327052014e-05,innovation
observed_dynamic_signal,4.734786405833019e-05,innovation
policy_intensity_sum_iso_year_yoy,3.908240124735706e-05,innovation
osm_hist_poi_retail_yoy,3.389252302174795e-05,innovation
osm_hist_poi_count,2.995910057038496e-05,innovation
viirs_intra_year_decline,2.1949093976882567e-05,innovation
osm_hist_poi_nightlife_yoy,1.8258040338610253e-05,innovation
policy_event_count_eco_reg_iso_year,1.3198107600723992e-05,innovation
road_growth_intensity,5.5068943404088196e-06,innovation
road_tier_code,4.2149063549751095e-06,innovation
viirs_ntl_yoy,3.85095901856269e-06,innovation
viirs_recent_drop,3.130321098204555e-06,innovation
observed_physical_stress_signal,2.7181221595055434e-06,innovation
policy_event_count_infra_iso_year,2.1368354316607343e-06,innovation
viirs_physical_continuity,9.626527928112943e-07,innovation
road_arterial_growth_proxy,8.679567228641299e-07,innovation
policy_event_count_iso_year,8.320008139928458e-07,innovation
has_no2_observation,7.379902141040756e-07,innovation
viirs_physical_stress,7.293098369848934e-07,innovation
osm_hist_road_yoy,5.516484958872835e-07,innovation
policy_event_count_iso_year_yoy,4.5162006279730875e-07,innovation
policy_event_type_count_iso_year,8.914686987531228e-08,innovation
viirs_intra_year_recovery,7.485241826818926e-08,innovation
road_local_growth_proxy,4.7267032164875585e-08,innovation
policy_intensity_digital_iso_year,0.0,innovation
has_viirs_observation,0.0,innovation
policy_event_new_count_iso_year,0.0,innovation
policy_event_count_digital_iso_year,0.0,innovation
viirs_year_coverage_share,0.0,innovation
has_no2_observation_or_backcast,0.0,innovation
osm_hist_poi_yoy,0.0,innovation
social_sentiment_buzz,0.0,innovation
social_sentiment_delta_1,0.0,innovation
has_social_observation,0.0,innovation
has_poi_observation,0.0,innovation
ghsl_built_contraction,0.0,innovation
no2_backcast_flag,0.0,innovation
has_network_connectivity_observation,0.0,innovation
latitude,0.5008706953296788,composite_index
observed_mobility_signal,0.12004175843232545,composite_index
ghsl_built_volume_m3,0.0638852096272811,composite_index
gravity_access_knowledge,0.04687665685441722,composite_index
flight_connectivity_total,0.04458739304856811,composite_index
intersection_density,0.03667557181616868,composite_index
spatial_lag_knowledge_wdist,0.022399471898005768,composite_index
longitude,0.015803518728611136,composite_index
gravity_access_population,0.012308989929124683,composite_index
international_route_share,0.011784264690527508,composite_index
