candidate,alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_year,eval_year,selection_objective,selection_roc_auc,selection_average_precision,selection_brier,temporal_objective_mean,temporal_objective_std,temporal_mean_gain_vs_base,temporal_share_positive_gain,temporal_windows,selection_rank_score,eval_objective,eval_roc_auc,eval_average_precision,eval_brier
convex_blend,0.0,0.25,0.15000000000000002,0.6,2023,2024,0.670341954436433,0.6996773116724158,0.5159093281112512,0.19556904823988513,0.6948217605069185,0.02462617206871245,0.02627710841283352,1.0,3,0.700437419551248,0.7184407382909365,0.7450738916256158,0.48517715419049057,0.17755435556452903
convex_blend,0.0,0.25,0.2,0.55,2023,2024,0.6782270553487684,0.7071325247579838,0.5319445466848933,0.19270312939476977,0.7020848680522581,0.024041573110696265,0.03354021595817325,1.0,3,0.7097090819386502,0.7181232912113464,0.7443897099069512,0.48339990599763466,0.17510945797069838
convex_blend,0.05,0.25,0.2,0.49999999999999994,2023,2024,0.6820638933023963,0.7108601313007678,0.5397769852595439,0.19197491998914337,0.704412496075186,0.023657062132137547,0.035867843981101176,1.0,3,0.7127184243850962,0.7175795019033954,0.7439792008757526,0.48414876224362235,0.17599799314904863
convex_blend,0.1,0.25,0.2,0.45,2023,2024,0.688115360272215,0.7168131745855124,0.550859612993529,0.1913187620886496,0.7069291736969975,0.021997414973258675,0.03838452160291269,1.0,3,0.7160848795812897,0.7175722428756637,0.7441160372194855,0.4858602878706681,0.17695862895881234
convex_blend,0.1,0.2,0.2,0.49999999999999994,2023,2024,0.6872074985937068,0.7159229998887281,0.5496734878764062,0.19143667530014188,0.7058824116051227,0.022206293413558224,0.03733775951103776,1.0,3,0.7147457370264579,0.7172986222126747,0.7438423645320197,0.48510917892962857,0.17695828212896683
convex_blend,0.2,0.2,0.2,0.4000000000000001,2023,2024,0.6973879062787621,0.725937465227551,0.564517884314802,0.1903303929919254,0.7104969683748988,0.020408744807626736,0.04195231628081394,1.0,3,0.7208253940587352,0.7167742549763965,0.7436371100164203,0.4846575358645352,0.1790857002668258
convex_blend,0.15000000000000002,0.2,0.2,0.4499999999999999,2023,2024,0.6920805626249233,0.7207076888839434,0.5553227735904146,0.19084750839346737,0.7081253684567197,0.0214276560604789,0.03958071636263483,1.0,3,0.7176936126127634,0.7167339643684925,0.7434318555008209,0.4848574540703956,0.17798594088218953
convex_blend,0.2,0.25,0.2,0.35000000000000003,2023,2024,0.6980717061296802,0.7266050962501391,0.5670787438243,0.19022260080305972,0.7115557952062702,0.020556325058367495,0.043011143112185346,1.0,3,0.7221537487799236,0.7166358433018004,0.7435002736726875,0.4848933325353322,0.17909620247258035
convex_blend,0.15000000000000002,0.15000000000000002,0.2,0.49999999999999994,2023,2024,0.6906723323940442,0.7193167909202182,0.5534770529047139,0.19096305684115947,0.7069975232430386,0.021687811342574397,0.03845287114895365,1.0,3,0.7162400321741187,0.7165291634777937,0.7432266009852216,0.4851115132274753,0.17798291671618613
convex_blend,0.2,0.15000000000000002,0.2,0.45,2023,2024,0.696314250635874,0.7248803827751197,0.5622759713779837,0.1904408809283042,0.7096033208552918,0.020580023865468002,0.041058668761206896,1.0,3,0.7196765848028982,0.7161597067076921,0.7430213464696223,0.48409295733108837,0.17907759841286786
convex_blend,0.15000000000000002,0.25,0.2,0.39999999999999997,2023,2024,0.6928207574710874,0.7214309558250807,0.556415347266479,0.19073465569328835,0.7088276251284317,0.021309156945616768,0.04028297303434684,1.0,3,0.7185933472962185,0.7161173871440245,0.742816091954023,0.48390599051000915,0.17799136539998958
convex_blend,0.2,0.1,0.2,0.5,2023,2024,0.6957409138978,0.7243240235896294,0.5594956496111392,0.190554064612196,0.7090002363380953,0.02059042818219787,0.04045558424401038,1.0,3,0.7189106381626373,0.7160921437611497,0.7429529282977557,0.483850136963827,0.17907189691070655
convex_blend,0.25,0.25,0.2,0.3,2023,2024,0.7015871335874835,0.730054523200178,0.5700478266269635,0.18978259741796363,0.7128034517668628,0.019801825192827055,0.04425879967277805,1.0,3,0.7238288980217525,0.7151593573807372,0.7422003284072249,0.48206667222938737,0.1802731401765846
convex_blend,0.30000000000000004,0.2,0.2,0.29999999999999993,2023,2024,0.7036305687623067,0.7320574162679425,0.5729687761102987,0.18951231670423924,0.7128820698110409,0.019234554002203072,0.04433741771695591,1.0,3,0.7240020755519091,0.7146330094083418,0.7418582375478927,0.48113460654219636,0.18150152093033875
convex_blend,0.25,0.2,0.2,0.35000000000000003,2023,2024,0.7010153646503604,0.7294981640146878,0.5695632660162526,0.18988532909551606,0.7123274916674416,0.019708842498794097,0.04378283957335664,1.0,3,0.7232280914803756,0.7145459308179954,0.7415845648604268,0.4800594723093663,0.1802575602828755
