policy_bucket,outcome,response_speed,sample_rule,policy_year,rel_year,coef,stderr,t_value,p_value
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,-3,-0.004174031092403205,0.0305766965095393,-0.1365102044657111,0.9000638888056718
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,-2,0.007713995399366792,0.013301593657889446,0.5799301645928316,0.5930595157687216
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,-1,0.0,0.0,0.0,1.0
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,0,-0.008413466397738028,0.024788857243404086,-0.3394051736683713,0.7513759919226425
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,1,0.009587840661793957,0.023397397813505957,0.4097823500808049,0.7029614719941938
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,2,0.027980196582303253,0.026154205414983315,1.0698163503095321,0.34496296999803344
infra,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,3,-0.0016627802269126302,0.037132722850889976,-0.04477937784389484,0.9664294891238332
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,-3,5.994453384382839e-06,4.012357697646866e-06,1.493997752966645,0.37551308662889543
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,-2,-5.379635713360978e-06,5.0786393547100866e-06,-1.0592671260210154,0.48168270099771365
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,-1,0.0,0.0,0.0,1.0
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,0,8.986717547255825e-06,2.8312796993648794e-06,3.1740832773504333,0.19430129582190533
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,1,1.759584281256948e-05,1.3973605168990376e-05,1.2592199793663428,0.4272731068194833
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,2,1.0034309918969114e-05,7.881518752510374e-06,1.2731442040625793,0.4238678905171589
infra,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,3,1.5067224900043355e-05,8.568923313594919e-06,1.758356837683287,0.3291938102796536
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,-3,-0.017481851294900354,0.014013715811283018,-1.2474815052853432,0.28026909614411394
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,-2,-0.01128758670678465,0.011876432220470698,-0.9504189892423173,0.39571833729363615
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,-1,0.0,0.0,0.0,1.0
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,0,0.03824429003992861,0.01620585215785696,2.359906141769097,0.07767086991012796
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,1,0.04956166719763877,0.02674051662727923,1.8534296808266835,0.1374422621854256
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,2,0.10039352855837597,0.026069995145983745,3.8509224108483293,0.018288202406326302
digital,log_viirs_ntl,slow,all_years_observed_slow_proxy,2020,3,0.11648766994297458,0.029773466052622467,3.9124658760619595,0.029673588694106377
digital,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2021,-2,5.522511870488228e-07,1.2741867177305382e-06,0.43341464744856295,0.7396376099343918
digital,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2021,-1,0.0,0.0,0.0,1.0
digital,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2021,0,4.313790237263889e-06,1.0326565172509435e-06,4.177371822285807,0.14958232045883763
digital,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2021,1,-5.913959167581216e-07,1.8534764429823164e-06,-0.31907387816946964,0.8033719473574251
digital,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2021,2,1.912275042950144e-06,1.909001053688197e-06,1.0017150274776547,0.4994545576566676
digital,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2021,3,6.247704824138459e-06,2.0128746510080107e-06,3.1038717791044377,0.19842013295413052
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,-3,-0.03941993679382641,0.035453980036419905,-1.1118621027408628,0.32851742714079446
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,-2,-0.0021062595714939694,0.019208358250621033,-0.10965328447192363,0.9169493808029573
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,-1,0.0,0.0,0.0,1.0
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,0,0.003214625292707331,0.02335416247736574,0.13764678120325935,0.8958909265789575
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,1,0.03596734118428398,0.023628372059605336,1.5222098709785061,0.1884483419712088
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,2,0.05593417683419847,0.02634984121153921,2.122751950767111,0.08720099734656685
eco_reg,log_viirs_ntl,slow,all_years_observed_slow_proxy,2019,3,0.10471065842278945,0.02864553727204536,3.6553916733471294,0.014665354776148807
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,-3,-7.717565555809305e-06,2.0852856893077773e-06,-3.7009631799521894,0.16800279449194105
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,-2,-1.956081272152198e-06,1.166584337238901e-06,-1.676759416110366,0.3423484829468981
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,-1,0.0,0.0,0.0,1.0
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,0,-1.2920890904908652e-06,1.478642956686839e-06,-0.8738344065060976,0.5427991224795886
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,1,-6.1101851563974045e-06,2.0042438926611446e-06,-3.0486235626167115,0.20178182059235972
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,2,-1.8536854702254325e-06,2.580536273300604e-06,-0.7183334291420358,0.6034338817942628
eco_reg,no2_trop_anomaly_mean,fast,observed_no2_only_2018_2025,2022,3,1.8185767008292343e-06,1.7702583454107079e-06,1.02729452203617,0.4914293742611813
