year,trajectory_regime,city_count,share
2015,late_takeoff,295,1.0
2016,late_takeoff,90,0.3050847457627119
2016,persistent_accelerator,62,0.21016949152542372
2016,stable_mature,58,0.19661016949152543
2016,stalling_plateau,50,0.1694915254237288
2016,structural_decline,19,0.06440677966101695
2016,volatile_rebound,16,0.05423728813559322
2017,stable_mature,100,0.3389830508474576
2017,stalling_plateau,92,0.31186440677966104
2017,structural_decline,37,0.12542372881355932
2017,persistent_accelerator,31,0.10508474576271186
2017,late_takeoff,18,0.061016949152542375
2017,volatile_rebound,17,0.0576271186440678
2018,stalling_plateau,78,0.26440677966101694
2018,persistent_accelerator,58,0.19661016949152543
2018,late_takeoff,45,0.15254237288135594
2018,volatile_rebound,44,0.14915254237288136
2018,stable_mature,36,0.12203389830508475
2018,structural_decline,34,0.1152542372881356
2019,structural_decline,75,0.2542372881355932
2019,stalling_plateau,70,0.23728813559322035
2019,volatile_rebound,61,0.20677966101694914
2019,stable_mature,38,0.1288135593220339
2019,persistent_accelerator,28,0.09491525423728814
2019,late_takeoff,23,0.07796610169491526
2020,late_takeoff,76,0.2576271186440678
2020,volatile_rebound,74,0.25084745762711863
2020,stalling_plateau,63,0.2135593220338983
2020,persistent_accelerator,46,0.15593220338983052
2020,stable_mature,25,0.0847457627118644
2020,structural_decline,11,0.03728813559322034
2021,stalling_plateau,79,0.2677966101694915
2021,volatile_rebound,60,0.2033898305084746
2021,stable_mature,51,0.17288135593220338
2021,late_takeoff,43,0.14576271186440679
2021,structural_decline,37,0.12542372881355932
2021,persistent_accelerator,25,0.0847457627118644
2022,stalling_plateau,74,0.25084745762711863
2022,late_takeoff,59,0.2
2022,persistent_accelerator,52,0.17627118644067796
2022,stable_mature,44,0.14915254237288136
2022,volatile_rebound,36,0.12203389830508475
2022,structural_decline,30,0.1016949152542373
2023,stable_mature,81,0.2745762711864407
2023,late_takeoff,70,0.23728813559322035
2023,persistent_accelerator,48,0.16271186440677965
2023,stalling_plateau,46,0.15593220338983052
2023,volatile_rebound,29,0.09830508474576272
2023,structural_decline,21,0.0711864406779661
2024,stable_mature,85,0.288135593220339
2024,late_takeoff,63,0.2135593220338983
2024,persistent_accelerator,44,0.14915254237288136
2024,structural_decline,37,0.12542372881355932
2024,stalling_plateau,36,0.12203389830508475
2024,volatile_rebound,30,0.1016949152542373
2025,late_takeoff,71,0.24067796610169492
2025,stalling_plateau,61,0.20677966101694914
2025,stable_mature,58,0.19661016949152543
2025,volatile_rebound,42,0.1423728813559322
2025,persistent_accelerator,36,0.12203389830508475
2025,structural_decline,27,0.09152542372881356
