continent,train_rows,specialized,lambda_raw,lambda_shrunk,raw_train_objective,shrunk_train_objective
Africa,468,0,1.0,1.0,0.6961537239322051,0.6961537239322051
Asia,666,0,1.0,1.0,0.7197602743496577,0.7197602743496577
Europe,603,0,1.0,1.0,0.7605924508709122,0.7605924508709122
North America,396,0,1.0,1.0,0.6449224889537842,0.6449224889537842
Oceania,171,0,1.0,1.0,0.6962922445361486,0.6962922445361486
South America,351,0,1.0,1.0,0.7151283507481456,0.7151283507481456
