test_continent,mean_rmse,mean_r2,n_pairs
Asia,112.94815902441579,-493.717014931854,5
North America,64.79428807399616,-216.69043782632306,5
Africa,14.033876575933538,-6.770342511771969,5
Europe,8.322259106422512,-6.2650547569810975,5
South America,6.3324568970457396,-0.8510664517250796,5
Oceania,3.4034335946604886,0.7589840899498972,5
