task,feature_set,model,r2,rmse,n_train,n_test,n_feat,auc,ap,brier,q30_train
fd_regression,mixed,linear,-1.8914087274905138,4.095171440548564,2360,590,24,,,,
fd_regression,mixed,rf,-6.884095361861505,6.762282009855903,2360,590,24,,,,
fd_regression,observed_city,linear,-2.0307621574232395,4.192695013957845,2360,590,15,,,,
fd_regression,observed_city,rf,-2.1916056230745853,4.302510657877118,2360,590,15,,,,
fd_regression,country_mapped,linear,-1.5834425746612126,3.870942767232014,2360,590,15,,,,
fd_regression,country_mapped,rf,-1.783532155656097,4.018051190076952,2360,590,15,,,,
stall_classification,mixed,logit,,,2065,590,24,0.5881203370541103,0.5985526690595556,0.2991786343016679,-2.780492661810939
stall_classification,mixed,rf,,,2065,590,24,0.6132729425559553,0.602853124557944,0.3446719502100788,-2.780492661810939
stall_classification,observed_city,logit,,,2065,590,15,0.4721516513582177,0.494207208719695,0.29873731509762186,-2.780492661810939
stall_classification,observed_city,rf,,,2065,590,15,0.4404809803538378,0.4612595988483966,0.3222375180160272,-2.780492661810939
stall_classification,country_mapped,logit,,,2065,590,15,0.5409247146190898,0.544410131422918,0.30311815124619007,-2.780492661810939
stall_classification,country_mapped,rf,,,2065,590,15,0.645236754072354,0.6047106767817952,0.28344685178364665,-2.780492661810939
stall_classification,mixed,persistence_stall_t,,,2065,590,0,0.5191058639598111,0.5226476716031307,0.48983050847457626,-2.780492661810939
stall_classification,mixed,train_prevalence,,,2065,590,0,0.5,0.5101694915254237,0.2939660782439951,-2.780492661810939
stall_classification,observed_city,persistence_stall_t,,,2065,590,0,0.5191058639598111,0.5226476716031307,0.48983050847457626,-2.780492661810939
stall_classification,observed_city,train_prevalence,,,2065,590,0,0.5,0.5101694915254237,0.2939660782439951,-2.780492661810939
stall_classification,country_mapped,persistence_stall_t,,,2065,590,0,0.5191058639598111,0.5226476716031307,0.48983050847457626,-2.780492661810939
stall_classification,country_mapped,train_prevalence,,,2065,590,0,0.5,0.5101694915254237,0.2939660782439951,-2.780492661810939
