auc,ap,brier
0.941981991810959,0.8852613704079103,0.09687209433038264
0.9487393159924995,0.8905111960515935,0.0907348154523697
0.9458729402240619,0.8874809526826632,0.09341491856032227
0.9495433236340122,0.8915948577965171,0.0906154916771395
0.9529770308123249,0.8946445217567561,0.08723773603072131
0.9430388984509466,0.8795509909743177,0.09451933481296135
0.9525965367866135,0.9001768954727438,0.08799194229993026
0.9486950911256015,0.8875749926477763,0.09044534696140645
0.938465382728846,0.8687278857199124,0.09836593173797036
0.9531762073061291,0.9008519870133146,0.08908494197276497
0.9500178799323321,0.8958855591355711,0.09085198845576692
0.948941482204348,0.8936226451856075,0.09278421292545522
0.9447778628106497,0.8859223830884944,0.09569882382115502
0.9452781598036836,0.8778121710096279,0.09210336812510474
0.9448367499410176,0.8853589139577666,0.09389388090275413
0.9519587748092482,0.8936447576084481,0.0876513926491475
0.946229268292683,0.8877189099014093,0.09336397788301337
0.9463301318179305,0.8936772622874852,0.09461146939305513
0.9429492563820921,0.8775736885743457,0.0947075241259254
0.9460473239905186,0.882498005702233,0.0924768812881529
0.9486611089200473,0.8817507854111302,0.08965706564703324
0.9487190361445783,0.8914073353132395,0.09115980908194478
0.9522278947368421,0.9020990744766167,0.09139577179303501
0.9509294011453095,0.8846778482176473,0.08821463234675431
0.9517605386056411,0.8966380762287504,0.08850545922134134
0.9538659241807668,0.9080698634876337,0.08859094054741244
0.9446814705322448,0.8888243492295984,0.09553717347486244
0.9461534485703242,0.8817100811133047,0.09115008516229962
0.9446992880877365,0.8873353295629963,0.09583158206427882
0.9462468108559796,0.8836683691982848,0.09304293798083393
0.9437029562561361,0.8842410011242599,0.09433026328078879
0.9486222419781493,0.8945431785115096,0.0913644347010991
0.9504309615891102,0.8910067162721159,0.08936911359446131
0.9460180504956625,0.8835717905246573,0.0920646341801717
0.9440688528900382,0.8796955760286691,0.09402928406513725
0.9493484539326348,0.8971003764283332,0.09243147049191124
0.9458249816331905,0.8808367438078539,0.09234548205153541
0.9470299583871108,0.8894440918874809,0.09388871797554046
0.9475985595388581,0.886069558215021,0.09142012665860032
0.9522578409967446,0.8999874047512466,0.08912107848607517
0.9517736504701146,0.8934190292031671,0.0891830641975093
0.9483456540925018,0.8922131187677322,0.09159794945772311
0.9470648535021928,0.8936495965638742,0.09297825071109324
0.9511703333078705,0.9042437053916128,0.09139801727548515
0.9516308973013137,0.8977224564277496,0.09018235130202715
0.9560142803073375,0.9044274647535112,0.08580034362974566
0.9472769898542928,0.886466990092968,0.09231602558416942
0.9453139104283078,0.8816087063658744,0.09377925135157705
0.9441417502298806,0.8828937353219719,0.09430398822202213
0.9508675414016123,0.8960543014537343,0.08895602238232206
0.9499347694899212,0.8937608294844549,0.09126231809470829
0.9453229604130808,0.8834610397424913,0.09322211125365376
0.9453061800499596,0.8834802551470696,0.09229662080635315
0.9442264167622053,0.883367389091379,0.09564656719775111
0.9518886804153301,0.9062035505172014,0.09080412385530293
0.9502403737070404,0.9008835929781702,0.09172147226525236
0.9506049553064526,0.8967549871203623,0.09094993039435051
0.9409391373854832,0.8782430894052061,0.09654887033227195
0.9524978618285382,0.8989231636878948,0.08946203628995228
0.947251769195994,0.890294039122115,0.09192367287251885
0.9420815487139551,0.8741632776498474,0.09518922344120362
0.9510420381941234,0.8943900850221211,0.08904618476376235
0.9502829681877865,0.8979733731849222,0.09134556272819863
0.9523126760809841,0.8981715961010395,0.08899523333832546
0.9556046790089343,0.9061188940026057,0.08638369688904118
0.9530217226492751,0.8974084336659885,0.0878086602096779
0.9477293002330565,0.8913961190793895,0.09359089731508058
0.9454646421616357,0.8879379211094023,0.09405592451865781
0.947010060607911,0.8800255504234966,0.09023520913781741
0.9454445923517203,0.8855915447549313,0.093850852831615
0.9477739837398373,0.8916412515895432,0.09183805393388879
0.9467831677458254,0.8873632314850856,0.09343151007074908
0.9455834767641997,0.8853635890779394,0.09272784681345721
0.9503089690283887,0.8953675696689531,0.08983576212145512
0.9480544343842042,0.8883675984276234,0.0920227766792712
0.9540685905587418,0.9026584788908885,0.08916817054636561
0.9447555267470168,0.8888150765068512,0.0954460618947949
0.9453292405560971,0.8830110704212226,0.09298430771552885
0.9486850379504138,0.8940428898869135,0.09075376937396319
0.944712496659994,0.880330783482535,0.09339004229469881
0.9473115227187046,0.8853420666433038,0.09088769880744621
0.944438822587244,0.8828027100361225,0.09378335675149486
0.9501412271205844,0.8960078030301186,0.09016938842752432
0.9482230964109861,0.8889463243293186,0.09030607652607638
0.9466015164722528,0.8873612087742426,0.09258204380600735
0.9495365184770337,0.8895073667911217,0.08984192966195258
0.9444494603356999,0.8805310901165672,0.09377801809220647
0.9499615430047553,0.8990285449078596,0.09160422815074719
0.9507533994854832,0.8999317923738916,0.09118320124597334
0.9456937163077915,0.8831625027499221,0.09454197254615143
0.9471111736357368,0.8955235226936905,0.09265120736582812
0.9492558116765428,0.8938156137119313,0.09036619854817893
0.9495801398148634,0.8914572577776546,0.09067572989675948
0.9442087574739981,0.8816420857334982,0.0940795662763098
0.9445047522555121,0.886665935170778,0.09349554471691604
0.9434275093930926,0.8808177240727018,0.09341650189172843
0.9486552845528454,0.893208387322572,0.09148138137967136
0.9450613528039753,0.880734579816384,0.09312649030327251
0.9474762461006907,0.8833189718816103,0.09127823942900579
0.951943335976136,0.8972868002266517,0.08862845299389478
0.9487770830116824,0.8957461392026995,0.09227842230597874
0.9538830900597441,0.9009264020426611,0.08676161780193781
0.9446163473531042,0.8849656414505553,0.09434876762623301
0.948933381776659,0.8942495752835338,0.09162473844410216
0.9528632778226038,0.9007147653619659,0.08768919533583107
0.9473641831840458,0.8901685804311329,0.09238132403533361
0.9448268907563024,0.8777883491006526,0.09230365638566666
0.9536029972150403,0.8975676946907687,0.08860993501649969
0.9478536798620696,0.887487857629212,0.09184370449260466
0.9472513175230567,0.8857301546206146,0.09269102643653268
0.9487164821085384,0.8883269936920488,0.0921985127038345
0.9533567259798775,0.9018697276136136,0.08911629408194043
0.9496936699698328,0.884287159664697,0.08907531049272574
0.9476145512402299,0.8850323352118664,0.09083934690246821
0.9458101603155837,0.8868917980680657,0.09330979543115042
0.9537033377250769,0.9004676256956609,0.08755903575434486
0.9437534107575293,0.886645121937877,0.09566011685575844
0.9485215289240922,0.8924235808844334,0.09319086166126467
0.9481153214161231,0.8866512687473149,0.08963689185313671
0.9508915468934099,0.9011896390314528,0.09136400683907236
0.9451001445073464,0.8899507837104269,0.0942765167713512
0.9456102466391447,0.8913162754514781,0.09603671987081097
0.9459213372708832,0.8802070851227004,0.09159829428169765
0.9443569855405535,0.8829884507568884,0.09417217946007848
0.9443775620526504,0.8896747582506255,0.09385338253466602
0.9463062467189916,0.8880087310137581,0.0944041479343791
0.9485528241747718,0.888708681504249,0.09184297543633647
0.9475183226790009,0.8987579741239298,0.09499484518385007
0.9503468690418005,0.8924793951478929,0.09000958198231179
0.9484147634967307,0.8980377685034735,0.09219571290935488
0.9497058862642015,0.8914099874649033,0.08985070820733992
0.9457815091831296,0.8878297338619829,0.09349914367415846
0.9496997877023665,0.8983099562457236,0.0911074069968153
0.95196582957632,0.8982263293954229,0.08947042155021716
0.9496420170570277,0.8944263119394669,0.08974573983204695
0.9448083454633673,0.8836328525876529,0.09522174397976123
0.949123138758674,0.892404762319422,0.09076979825212864
0.9504401480872069,0.8978235183085287,0.09200951560407569
