cohort_year,year,event_time,att,stderr,t_value,p_value,n_treat,n_ctrl
2016,2015,-1,0.0,0.0,0.0,1.0,32,259
2016,2016,0,2.342985045429903e-07,4.753576230029602e-07,0.4928889181641066,0.622511932168754,32,227
2016,2017,1,5.488027158419069e-07,5.751416965995418e-07,0.9542043623104338,0.3409996948227439,32,196
2016,2018,2,1.1481246189183203e-06,1.4313387008278815e-06,0.8021334281356669,0.42334931616991284,32,188
2016,2019,3,1.3683313725782581e-06,1.3746361174025812e-06,0.9954135172614,0.3207029867871134,32,176
2017,2015,-2,-2.899784397259823e-07,4.994221468532764e-07,-0.5806279147872353,0.5619452997983759,31,259
2017,2016,-1,0.0,0.0,0.0,1.0,31,227
2017,2017,0,-4.172480205025323e-08,4.394755078065001e-07,-0.09494226938495182,0.9244451812728852,31,196
2017,2018,1,-1.1362307297535142e-06,1.208703323154039e-06,-0.940041040665453,0.34824172561980393,31,188
2017,2019,2,-1.2904748731478381e-06,9.691076949079002e-07,-1.3316114193794315,0.1844666555905175,31,176
2017,2020,3,1.7237629243304116e-06,2.0185194164373777e-06,0.8539739129053304,0.3941566672224379,31,168
2018,2015,-3,-5.9109157055025e-07,3.2281826475429213e-07,-1.8310350902857053,0.06821805970486525,8,259
2018,2016,-2,-6.794889347805858e-07,2.0359022790940323e-07,-3.337532168208758,0.0009837974683161554,8,227
2018,2017,-1,0.0,0.0,0.0,1.0,8,196
2018,2018,0,-1.6634955635175798e-06,1.0596947244281452e-06,-1.5697875295314605,0.11809412084417417,8,188
2018,2019,1,1.165938992644327e-06,7.220950031892222e-07,1.6146614884396275,0.10811634104862673,8,176
2018,2020,2,7.1972753228408925e-06,9.665497280331263e-07,7.446358023903166,4.267982561741501e-12,8,168
2018,2021,3,-3.892714736084629e-06,1.4430938090481808e-06,-2.6974786473875465,0.007694944069746999,8,163
2019,2016,-3,8.782511532469516e-07,1.1324336598069687e-06,0.775543137243603,0.43879195043807473,12,227
2019,2017,-2,8.256285597580481e-07,1.5101056326907516e-06,0.5467356335112256,0.5851520957352698,12,196
2019,2018,-1,0.0,0.0,0.0,1.0,12,188
2019,2019,0,-9.315546097462725e-07,2.149126383639867e-06,-0.43345734194028435,0.6651848304568614,12,176
2019,2020,1,3.4752923161189447e-06,3.391187856433684e-06,1.0248008848951553,0.30684782830102647,12,168
2019,2021,2,-2.925791175892086e-06,2.8821959575229177e-06,-1.0151256954806904,0.31146350825756214,12,163
2019,2022,3,6.673616396454485e-07,2.477322815093257e-06,0.2693882426543293,0.7879634880601863,12,157
2020,2017,-3,7.76835053244299e-07,1.5092093698133544e-06,0.5147298107090146,0.6073045808073502,8,196
2020,2018,-2,-1.6176377415257137e-06,1.1724458001310249e-06,-1.3797121720636785,0.1692634218786181,8,188
2020,2019,-1,0.0,0.0,0.0,1.0,8,176
2020,2020,0,2.206595294857523e-06,1.317405841753709e-06,1.6749548430118844,0.09573937296783769,8,168
2020,2021,1,-5.749114863754597e-06,2.073689135960949e-06,-2.7724092121891033,0.006188885789340818,8,163
2020,2022,2,-2.6340351885490847e-06,2.5310793264537e-06,-1.040676663516365,0.2995667804661545,8,157
2020,2023,3,3.3837217063663575e-06,2.1971971610370057e-06,1.5400173304289866,0.1255071446724949,8,156
2021,2018,-3,-7.717565555809305e-06,2.0852856893077773e-06,-3.7009631799521894,0.00028086161937589143,5,188
2021,2019,-2,-2.4975909211545717e-06,2.3834348979061963e-06,-1.0478955910852272,0.29609956587936176,5,176
2021,2020,-1,0.0,0.0,0.0,1.0,5,168
2021,2021,0,-6.889984107048286e-06,3.2151102137066275e-06,-2.1430009079237693,0.033569799014869575,5,163
2021,2022,1,-6.687897624625895e-06,4.018258183581474e-06,-1.664377279676183,0.09799422685951054,5,157
2021,2023,2,-6.051259209075885e-07,5.34936294052413e-06,-0.1131211188389282,0.9100772316796648,5,156
2021,2024,3,-6.85655308030163e-07,2.9708143373751676e-06,-0.23079709135777454,0.8177691476493893,5,156
2022,2019,-3,7.787651563524736e-06,3.3462261813516134e-06,2.3272938353435313,0.02106218486335665,6,176
2022,2020,-2,7.906443904431268e-06,2.609229212456262e-06,3.0301837288523776,0.0028214757384038883,6,168
2022,2021,-1,0.0,0.0,0.0,1.0,6,163
2022,2022,0,-2.5110985475568296e-06,3.9373630043658994e-06,-0.6377615030091021,0.5245349324816406,6,157
2022,2023,1,2.3307192095757292e-06,3.817099588544857e-06,0.6105995286500342,0.5423311065246852,6,156
2022,2024,2,3.6771291009507187e-06,2.1908836345057877e-06,1.678377182172979,0.09522557954424556,6,156
2022,2025,3,2.399742285137704e-06,2.2562236727199932e-06,1.0636100995450914,0.289107959322538,6,156
