dose_bin,dose_range_low,dose_range_high,coef,stderr,t_value,p_value,ci95_low,ci95_high,n_rows_bin
dose_bin_1,0.0833333333333333,0.7253507024807188,-0.8655058584098086,0.48888534348599955,-1.770365730824153,0.07892338723084397,-1.8237211316423676,0.09270941482275041,150
dose_bin_2,0.7253507024807188,0.8051253495891727,-0.6892660180835877,0.7138550072926346,-0.9655546449098913,0.3359935717912266,-2.0884218323771515,0.7098897962099762,150
dose_bin_3,0.8051253495891727,0.9164673483917161,-0.289198684850145,0.5862752749421568,-0.4932813939299725,0.6226152494066834,-1.4382982237367723,0.8599008540364824,149
dose_bin_4,0.9164673483917161,1.0,-0.1063214155480336,0.6430442932948636,-0.16534073415574288,0.8689231359000986,-1.3666882304059662,1.154045399309899,150
