estimator,coef,stderr,t_value,p_value,ci95_low,ci95_high,n_obs
twfe_did,0.060179283786387414,0.04043353202653228,1.4883509001117705,0.13986927989571513,-0.019070438985615848,0.1394290065583907,935.0
dml_did,-0.18930250412894428,0.06210236189305848,-3.0482335672663625,0.002966517849616806,-0.3110231334393389,-0.06758187481854966,934.0
dr_did,0.01434250192613999,0.012452912963792095,1.1517387110824622,0.3015065537742183,-0.010065207482892516,0.038750211335172494,836.0
staggered_post_avg,0.0625878340692176,,1.677817458021247,,,,36.0
not_yet_treated_weighted,-0.051405049426932664,0.030657220232268897,-1.6767681165308395,0.19218101441019717,-0.1114932010821797,0.008683102228314372,
twfe_cluster_bootstrap,0.060179283786387414,0.04568787252533204,1.4883509001117705,0.23333333333333334,-0.028902629781679862,0.13667006510244964,
