thr,ycap,policy_year,treated_cities,did_t,did_coef,st_t,st_att,pre_max_t,pre_joint_p,ny_t,ny_p,ny_att,ny_rob_p,dml_p,dml_t,dml_coef,score
0.8,2024,2020,152,3.6170193093514724,0.2478859185428326,2.5093798494373343,1.2273979635759154,0.26522759326558476,0.98625,-2.8927670819375537,0.0038186436253313527,-0.519631201572934,0.07496518042408207,0.5846901399981337,0.5465467809880944,0.11502185768634532,9.0
0.8,2023,2020,151,3.522509267772164,0.2521671863133079,2.5086846702828756,1.226806698297706,0.26522759326558476,0.98625,-2.8927670819375537,0.0038186436253313527,-0.519631201572934,0.07496518042408207,0.5872492883935267,0.5428264670282511,0.11366185596994786,9.0
0.8,2022,2020,147,3.7117788172469472,0.26868669942713075,2.3604550761210197,1.265315881478459,1.4694223879218493,0.4696,-3.0752935794663285,0.0021029544092514563,-0.558339202488051,0.07496518042408207,0.47924657022312256,0.7075148780058627,0.14547547600994082,9.0
0.9,2022,2020,118,5.252382817239302,0.41815042102324285,1.459843741052523,1.2117910100037452,1.236706548718848,0.35935,-2.900807818826805,0.003722020722418451,-0.6427222251051126,0.06980749193452906,0.0011102528200206407,3.260986612673052,0.6624261817263325,9.0
0.9,2023,2020,125,4.82436629798421,0.37559091714187964,1.3229760530769508,1.0389216718915786,0.7315245322329251,0.74015,-3.2381066906203197,0.0012032580255585401,-0.674669635037535,0.06980749193452906,0.0004732907733324687,3.4954344029747166,0.705753753891567,9.0
0.9,2024,2020,130,4.970188038517972,0.3645649924158457,1.2581687500768044,0.9766618768737647,0.9171353498433116,0.61785,-3.1166726434110985,0.0018290454954883462,-0.6299163802167853,0.06980749193452906,0.0010994881575698834,3.263748246320878,0.6541130017389142,9.0
0.7,2024,2019,155,6.459188802130183,0.45357926641079394,3.0806840096725714,1.53849219162228,1.082490729769373,0.69305,2.0155661635099777,0.04384536097232372,0.2856525991415498,0.14296614608884206,0.10246656957510103,1.6330115402362824,0.3255238883120484,8.0
0.7,2023,2019,154,6.268239944249464,0.45963140625367105,3.074111013054219,1.5351729664773672,1.082490729769373,0.69305,2.0155661635099777,0.04384536097232372,0.2856525991415498,0.14296614608884206,0.10923498508113161,1.6016411527536094,0.3180992222672408,8.0
0.7,2022,2019,153,6.2817018784777865,0.46077673015266274,3.0630605106587137,1.5295018739041777,1.082490729769373,0.69305,2.0155661635099777,0.04384536097232372,0.2856525991415498,0.14296614608884206,0.09752469951877885,1.6569741595972887,0.3285593580907473,8.0
0.85,2022,2020,140,5.512061540590762,0.41574293158786035,1.9087397956246661,1.0478093554613566,0.931087571700504,0.71675,-2.677025220900595,0.007427904335252089,-0.529041582471107,0.13633182440566705,0.49053117497499277,0.689464231177226,0.1379726178080134,6.0
0.85,2024,2020,149,5.206916295199133,0.36385752396704896,1.8138662108326284,0.8347212396118462,0.896473310964762,0.5883,-2.7793507189164215,0.005446768221113896,-0.5171100235238926,0.13633182440566705,0.5522722280874512,0.5943586959433332,0.11791109157088156,6.0
0.85,2023,2020,146,5.032430367274804,0.37335245139748374,1.7766201574590323,0.8443714144081269,0.5688351611580652,0.89365,-3.025757162985616,0.002480114011414347,-0.571503854962335,0.13633182440566705,0.451834627251098,0.7523599456260963,0.14935533403918846,6.0
0.75,2023,2019,154,5.061455699337871,0.35443075775931887,1.140267594629031,0.7270087472871662,0.8318520857295336,0.66435,2.0694414899875206,0.038504676518673175,0.2811531584215475,0.13515511943316794,0.3830166697284043,0.87235146462402,0.17871120004313537,6.0
0.75,2024,2019,155,5.1983055871633095,0.349465657652936,1.13897645699655,0.7262566419043996,0.8318520857295336,0.66435,2.0694414899875206,0.038504676518673175,0.2811531584215475,0.13515511943316794,0.3688902584463072,0.8985540215148979,0.18428355007710276,6.0
0.65,2024,2019,155,4.903974734229645,0.3450291361571215,1.111204161658954,0.5194953124305879,2.593255792641819,0.03605,-1.8336887755518838,0.0667002057294177,-0.2925332758939301,0.02000595829155749,0.010181058583020874,2.56961842890531,0.5246661119178345,6.0
0.65,2023,2019,154,4.7775567324989,0.35101630735266676,1.1085190685020976,0.5182384933046182,2.593255792641819,0.03605,-1.8336887755518838,0.0667002057294177,-0.2925332758939301,0.02000595829155749,0.011758732467280986,2.5193032845073913,0.5142698396001343,6.0
0.65,2022,2019,153,4.783934023656236,0.35183494774675483,1.1053120298232826,0.5167248511207463,2.593255792641819,0.03605,-1.8336887755518838,0.0667002057294177,-0.2925332758939301,0.02000595829155749,0.009479499699594829,2.5942591784639553,0.5280220894275901,6.0
0.75,2022,2019,151,5.238077782190927,0.37260478561252597,1.0693305465996354,0.7599253470481916,0.5300517739896504,0.9137,2.127650898657141,0.0333660387958612,0.29275229706421496,0.13515511943316794,0.5172195814437479,0.6476372765808192,0.13319216408189802,6.0
