state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
mixed_transition|volatile_rebound|r_low|a_high,mixed transition,volatile rebound,low,high,3,-76.54524472678196,innovation_pulse
steady_cruise|volatile_rebound|r_mid|a_high,steady cruise,volatile rebound,mid,high,7,-76.58678052662349,innovation_pulse
overheating|persistent_accelerator|r_high|a_mid,overheating,persistent accelerator,high,mid,13,-76.9868809439767,anti_overheating
recovery_rebound|stalling_plateau|r_low|a_mid,recovery rebound,stalling plateau,low,mid,21,-77.40750764540405,resilience_upgrade
deep_cooling|stable_mature|r_mid|a_high,deep cooling,stable mature,mid,high,3,-77.53806354011424,resilience_upgrade
deep_cooling|structural_decline|r_mid|a_mid,deep cooling,structural decline,mid,mid,12,-77.57438284807728,resilience_upgrade
deep_cooling|structural_decline|r_mid|a_low,deep cooling,structural decline,mid,low,25,-77.98983947307363,resilience_upgrade
overheating|late_takeoff|r_high|a_mid,overheating,late takeoff,high,mid,7,-78.08063746464153,anti_overheating
overheating|persistent_accelerator|r_mid|a_mid,overheating,persistent accelerator,mid,mid,2,-78.08230675974684,anti_overheating
surge_expansion|structural_decline|r_high|a_high,surge expansion,structural decline,high,high,57,-78.32569752205508,resilience_upgrade
overheating|late_takeoff|r_high|a_high,overheating,late takeoff,high,high,4,-78.64340681175003,anti_overheating
deep_cooling|structural_decline|r_low|a_low,deep cooling,structural decline,low,low,29,-78.89671850936459,resilience_upgrade
steady_cruise|persistent_accelerator|r_mid|a_high,steady cruise,persistent accelerator,mid,high,1,-79.09409381323823,innovation_pulse
overheating|persistent_accelerator|r_high|a_high,overheating,persistent accelerator,high,high,6,-79.3228296578631,anti_overheating
mixed_transition|volatile_rebound|r_mid|a_high,mixed transition,volatile rebound,mid,high,17,-79.61940820803538,innovation_pulse
deep_cooling|volatile_rebound|r_mid|a_mid,deep cooling,volatile rebound,mid,mid,11,-79.6358815702102,resilience_upgrade
mixed_transition|stable_mature|r_high|a_high,mixed transition,stable mature,high,high,14,-79.65598210573842,innovation_pulse
deep_cooling|structural_decline|r_low|a_mid,deep cooling,structural decline,low,mid,3,-80.00994824487607,resilience_upgrade
surge_expansion|persistent_accelerator|r_mid|a_mid,surge expansion,persistent accelerator,mid,mid,3,-80.18830762778815,innovation_pulse
overheating|structural_decline|r_high|a_high,overheating,structural decline,high,high,3,-80.23740411294074,anti_overheating
steady_cruise|persistent_accelerator|r_high|a_high,steady cruise,persistent accelerator,high,high,1,-80.37248618864369,innovation_pulse
mixed_transition|structural_decline|r_high|a_low,mixed transition,structural decline,high,low,3,-80.9399420702111,resilience_upgrade
surge_expansion|stable_mature|r_low|a_high,surge expansion,stable mature,low,high,8,-81.30583478553882,innovation_pulse
mixed_transition|volatile_rebound|r_high|a_high,mixed transition,volatile rebound,high,high,16,-81.37478621533747,innovation_pulse
surge_expansion|structural_decline|r_high|a_mid,surge expansion,structural decline,high,mid,10,-81.79540541075917,resilience_upgrade
surge_expansion|structural_decline|r_mid|a_high,surge expansion,structural decline,mid,high,10,-82.22344148742806,resilience_upgrade
deep_cooling|persistent_accelerator|r_low|a_mid,deep cooling,persistent accelerator,low,mid,11,-82.29553158525697,resilience_upgrade
overheating|stalling_plateau|r_low|a_high,overheating,stalling plateau,low,high,0,-82.42035070728899,resilience_upgrade
surge_expansion|volatile_rebound|r_low|a_high,surge expansion,volatile rebound,low,high,0,-82.42035070728899,resilience_upgrade
mixed_transition|stable_mature|r_low|a_mid,mixed transition,stable mature,low,mid,18,-82.43641820708929,innovation_pulse
recovery_rebound|structural_decline|r_low|a_low,recovery rebound,structural decline,low,low,3,-82.62736974029838,resilience_upgrade
steady_cruise|structural_decline|r_mid|a_mid,steady cruise,structural decline,mid,mid,23,-82.79377077036878,resilience_upgrade
surge_expansion|volatile_rebound|r_high|a_high,surge expansion,volatile rebound,high,high,73,-82.91635337776889,resilience_upgrade
surge_expansion|stable_mature|r_mid|a_high,surge expansion,stable mature,mid,high,46,-83.15343807942214,innovation_pulse
surge_expansion|persistent_accelerator|r_mid|a_high,surge expansion,persistent accelerator,mid,high,30,-83.27104975078507,innovation_pulse
mixed_transition|structural_decline|r_high|a_high,mixed transition,structural decline,high,high,12,-83.38525452517426,resilience_upgrade
deep_cooling|stable_mature|r_mid|a_mid,deep cooling,stable mature,mid,mid,10,-83.61699231475252,resilience_upgrade
steady_cruise|stable_mature|r_mid|a_mid,steady cruise,stable mature,mid,mid,15,-83.69052400725943,innovation_pulse
recovery_rebound|volatile_rebound|r_low|a_low,recovery rebound,volatile rebound,low,low,2,-83.73352992880044,wait_observe
steady_cruise|late_takeoff|r_low|a_mid,steady cruise,late takeoff,low,mid,10,-83.7956202969327,innovation_pulse
recovery_rebound|stalling_plateau|r_low|a_low,recovery rebound,stalling plateau,low,low,2,-83.86567118961293,resilience_upgrade
recovery_rebound|stable_mature|r_low|a_low,recovery rebound,stable mature,low,low,5,-84.13845032057459,innovation_pulse
mixed_transition|stable_mature|r_high|a_mid,mixed transition,stable mature,high,mid,1,-84.21422094420649,resilience_upgrade
deep_cooling|volatile_rebound|r_mid|a_low,deep cooling,volatile rebound,mid,low,16,-84.27812059261635,resilience_upgrade
mixed_transition|stable_mature|r_low|a_low,mixed transition,stable mature,low,low,55,-84.44628149534168,innovation_pulse
mixed_transition|volatile_rebound|r_high|a_mid,mixed transition,volatile rebound,high,mid,10,-84.57343922286121,resilience_upgrade
deep_cooling|stable_mature|r_low|a_high,deep cooling,stable mature,low,high,2,-84.65693334955611,innovation_pulse
steady_cruise|volatile_rebound|r_low|a_mid,steady cruise,volatile rebound,low,mid,3,-84.84494879806859,innovation_pulse
mixed_transition|structural_decline|r_low|a_high,mixed transition,structural decline,low,high,2,-84.84686196601228,resilience_upgrade
deep_cooling|stable_mature|r_low|a_low,deep cooling,stable mature,low,low,88,-85.04185900432925,resilience_upgrade
mixed_transition|late_takeoff|r_low|a_mid,mixed transition,late takeoff,low,mid,6,-85.29280453628456,innovation_pulse
mixed_transition|structural_decline|r_low|a_mid,mixed transition,structural decline,low,mid,8,-85.58294173248851,resilience_upgrade
surge_expansion|stable_mature|r_high|a_high,surge expansion,stable mature,high,high,97,-85.76672374493508,innovation_pulse
mixed_transition|persistent_accelerator|r_low|a_high,mixed transition,persistent accelerator,low,high,2,-85.85319765323084,innovation_pulse
recovery_rebound|volatile_rebound|r_low|a_high,recovery rebound,volatile rebound,low,high,2,-85.89664903907709,innovation_pulse
mixed_transition|stable_mature|r_low|a_high,mixed transition,stable mature,low,high,7,-85.97806191788177,innovation_pulse
deep_cooling|stable_mature|r_mid|a_low,deep cooling,stable mature,mid,low,21,-85.98949877764655,resilience_upgrade
surge_expansion|late_takeoff|r_low|a_high,surge expansion,late takeoff,low,high,1,-86.20343120158986,innovation_pulse
surge_expansion|volatile_rebound|r_mid|a_mid,surge expansion,volatile rebound,mid,mid,3,-86.35758258143615,resilience_upgrade
mixed_transition|persistent_accelerator|r_low|a_mid,mixed transition,persistent accelerator,low,mid,5,-86.40108204127755,innovation_pulse
mixed_transition|stable_mature|r_mid|a_mid,mixed transition,stable mature,mid,mid,43,-86.57832602511748,innovation_pulse
mixed_transition|structural_decline|r_mid|a_low,mixed transition,structural decline,mid,low,8,-86.80440561861772,resilience_upgrade
deep_cooling|late_takeoff|r_low|a_low,deep cooling,late takeoff,low,low,32,-86.86338899976025,resilience_upgrade
