city_id,city_name,country,continent,year,composite_index,acceleration_score,stall_risk_score,stall_risk_low,stall_risk_high,stall_risk_interval_width,critical_transition_score,critical_transition_risk_score,critical_transition_band,kinetic_state,kinetic_energy_score,turning_point_risk,damping_pressure,dynamic_hazard_score,dynamic_hazard_fused_score,dynamic_hazard_gate_weight,graph_diffusion_score,graph_diffusion_fused_score,phase_flow_speed,phase_curvature,phase_divergence_bin,phase_vorticity_bin,phase_label,dynamic_pulse_index,dynamic_pulse_delta_1y,dynamic_pulse_trend_3y,dynamic_pulse_state,pulse_quadrant,acceleration_band,stall_band,archetype,trajectory_regime,prev_acceleration_score,prev_stall_risk_score,prev_trajectory_regime,accel_shift_1y,risk_shift_1y,movement_magnitude_1y,regime_changed_1y,rl_best_action,rl_best_q_value,rl_q_advantage,rl_policy_confidence,rl_expected_delta_risk_h1,rl_expected_delta_accel_h1,forecast_stall_risk_h1,forecast_stall_risk_h2,forecast_stall_risk_h3,forecast_risk_delta_h1,forecast_risk_delta_h2,forecast_risk_delta_h3,forecast_dominant_regime_h1,forecast_dominant_regime_h2,forecast_dominant_regime_h3
seoul_kr,Seoul,South Korea,Asia,2025,37.62537796847633,100.0,76.42339593473186,90.16647449339614,92.96539383233917,2.798919338943037,78.8988884503982,77.08199665563072,high_alert,surge_expansion,53.218349720696736,30.96618985716157,48.15469162577257,89.73800531988645,76.53401217017384,0.2767741935483871,75.06592461995152,75.06592461995152,55.493756947708924,0.0029403231646995495,3.864000907925134,-1.071484162710929,centrifugal_fragility,45.22639196863433,-27.484759541610956,-10.104969702832909,fragile_decline,fragile_boom,high,high,structural_stall,stable_mature,60.2398770102334,37.710482326866774,stalling_plateau,39.7601229897666,38.71291360786508,55.493756947708924,1,innovation_pulse,-76.96672374493508,2.0555906110132582,0.4445753020068198,-0.056341226524475596,5.988605062524943,44.8890519425149,39.89030800689864,47.42860685495433,-31.534343992216957,-36.533087927833215,-28.994789079777522,stable_mature,stable_mature,stable_mature
lae_pg,Lae,Papua New Guinea,Oceania,2025,25.53955716176829,92.15391444114293,76.21810580404816,90.82576091518786,92.73491059085529,1.909149675667436,46.61732368253813,91.81318128170123,high_alert,surge_expansion,50.17998577947764,44.76055839606418,55.56538411235936,82.24399229547839,72.66409950078243,0.2767741935483871,70.82536581466228,70.82536581466228,73.31880844833206,0.00038089763108712174,3.864000907925134,-1.071484162710929,centrifugal_fragility,33.47140041843899,-26.89057272176094,-1.7797319350618064,fragile_decline,fragile_boom,high,high,resilient_steady,persistent_accelerator,44.4237555045936,20.563100636723377,persistent_accelerator,47.73015893654933,55.65500516732479,73.31880844833206,0,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.05641821032348193,5.992772452177821,46.046991457232046,42.848925869295144,47.017382674529465,-30.17111434681612,-33.36917993475302,-29.200723129518696,persistent_accelerator,persistent_accelerator,stalling_plateau
phoenix_us,Phoenix,United States,North America,2025,38.423619221301564,88.37068261623001,72.96373092077054,87.12571150535692,90.45196230005648,3.326250794699561,41.127032725455884,81.11879368510331,high_alert,surge_expansion,42.16651358473551,38.346938452138566,67.46234099013019,81.14112009212204,71.24317960771529,0.2767741935483871,69.54603625823297,69.54603625823297,53.3804637762132,0.00047373154991354907,3.864000907925134,-1.071484162710929,centrifugal_fragility,40.83114788478662,-13.740886583437081,-4.419022767362972,fragile_decline,fragile_boom,high,high,resilient_steady,structural_decline,49.59037059555308,36.28183739627334,structural_decline,38.78031202067693,36.681893524497205,53.3804637762132,0,resilience_upgrade,-66.32569752205508,17.261210736694196,0.8784879654129049,-0.15050051837152012,2.526324348226985,46.964307644939666,42.90723262463826,47.942439984287944,-25.99942327583088,-30.056498296132283,-25.0212909364826,structural_decline,late_takeoff,late_takeoff
toulouse_fr,Toulouse,France,Europe,2025,34.64353483459843,85.29376635738319,72.00225690148562,87.22357807499507,90.60854537711371,3.384967302118639,33.477194958846226,79.05110507778014,high_alert,surge_expansion,36.45985132599118,31.56462501815262,71.65754118507066,77.53617269248866,70.66498825390542,0.2767741935483871,68.39862347260724,68.39862347260724,52.56510157543069,0.0008718967394229342,3.864000907925134,-1.071484162710929,centrifugal_fragility,41.19192009425012,-14.301888082496639,-1.1347138411678965,fragile_decline,fragile_boom,high,high,resilient_steady,volatile_rebound,49.489475243891775,33.5166408677555,volatile_rebound,35.804291113491416,38.485616033730125,52.56510157543069,0,resilience_upgrade,-74.51635337776888,2.4848131764373704,0.45421052186134137,-0.12360152340850283,2.5375735942526183,44.46833102632076,38.33525301933629,43.52786164084672,-27.533925875164865,-33.66700388214934,-28.474395260638907,volatile_rebound,volatile_rebound,volatile_rebound
yekaterinburg_ru,Yekaterinburg,Russia,Asia,2025,30.871049822159154,88.7863291285023,70.11667688228879,82.90247707301997,87.65479357724358,4.752316504223614,32.2881017159081,68.13136389832336,high_alert,surge_expansion,74.44930514934977,77.22405074729264,44.92542559899733,89.5209856683347,70.92541181946676,0.2767741935483871,69.25924279980487,69.25924279980487,101.42662218493078,0.00016664608904422797,3.864000907925134,-1.071484162710929,centrifugal_fragility,36.91084613236519,-12.964986411326294,-6.991571412132733,fragile_decline,fragile_boom,high,high,structural_stall,late_takeoff,7.246238997502692,9.796088446223695,volatile_rebound,81.54009013099962,60.320588436065094,101.42662218493078,1,innovation_pulse,-80.57700768182546,0.02672597517880604,0.39673856832270166,-0.05870624616914166,6.116631459289537,46.12436719059767,41.67131239307649,47.315219707123106,-23.992309691691123,-28.445364489212295,-22.80145717516568,late_takeoff,late_takeoff,late_takeoff
lyon_fr,Lyon,France,Europe,2025,36.783772271662215,87.09231608910424,68.87596443220316,84.46105767370986,88.17896241960106,3.717904745891204,35.04918346619409,72.16906272418879,high_alert,surge_expansion,45.29514371606381,43.49997861047224,64.57212608734817,76.22470363438778,68.3122629989767,0.2767741935483871,66.92787292020361,66.92787292020361,61.21105882267314,-4.989123261024188e-05,3.864000907925134,-1.071484162710929,centrifugal_fragility,40.721282188257724,-15.880451941872508,-3.689003400458413,fragile_decline,fragile_boom,high,high,resilient_steady,persistent_accelerator,40.251844951621415,29.470838042209323,volatile_rebound,46.84047113748283,39.40512638999384,61.21105882267314,1,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.05917151333792381,6.141817922026275,43.11013490849404,44.25978514368847,47.987700374553086,-25.765829523709122,-24.616179288514694,-20.888264057650076,persistent_accelerator,persistent_accelerator,stalling_plateau
bamako_ml,Bamako,Mali,Africa,2025,26.614871620968334,83.642160236885,68.73567084246051,81.89977093163094,85.50357834286409,3.6038074112331486,22.138166166192043,69.5804796316941,monitoring,surge_expansion,53.61529170125454,56.605715026431824,65.04185422971943,86.2562523921226,69.09826545020532,0.2767741935483871,66.03801582325485,66.03801582325485,73.32249988082117,0.0009564805389500839,3.864000907925134,-1.071484162710929,centrifugal_fragility,39.25342163043778,-5.822111366919309,-1.7782691194802684,fragile_decline,fragile_boom,high,high,resilient_steady,late_takeoff,24.204843205092384,25.80090249750263,structural_decline,59.43731703179262,42.934768344957874,73.32249988082117,1,innovation_pulse,-80.57700768182546,0.02672597517880604,0.39673856832270166,-0.05922412343407735,6.144665881898051,45.57196477466635,38.440972641516005,43.643820673574126,-23.163706067794156,-30.2946982009445,-25.09185016888638,late_takeoff,late_takeoff,late_takeoff
havana_cu,Havana,Cuba,North America,2025,27.41826473180913,89.30923446237887,67.27289729769375,83.77843794741054,86.89182513129305,3.1133871838825087,36.848781612119964,73.40590865017408,high_alert,surge_expansion,55.5601526406011,55.326514561371276,56.87537411317381,81.65485422557715,65.70448420370631,0.2767741935483871,65.89200556833221,65.89200556833221,71.91755434092583,0.0010639911996605505,3.864000907925134,-1.071484162710929,centrifugal_fragility,42.16721079185337,-5.751374122891029,-1.0401569935648567,fragile_decline,fragile_boom,high,high,structural_stall,persistent_accelerator,31.853303501947593,24.018410595732103,persistent_accelerator,57.455930960431274,43.25448670196164,71.91755434092583,0,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.059772663513364854,6.174360184856816,42.468908054690274,43.56311596135965,47.00627473626597,-24.80398924300347,-23.709781336334096,-20.266622561427774,persistent_accelerator,persistent_accelerator,stalling_plateau
curitiba_br,Curitiba,Brazil,South America,2025,34.02650516157591,78.99592430285594,66.93951809060718,84.1555665070951,87.17139123035645,3.015824723261346,30.914661979891182,73.32285315823273,monitoring,surge_expansion,31.58543707754859,33.73519303834875,81.63396158326914,73.29558496546737,65.52933333155778,0.2767741935483871,64.53920528965392,64.53920528965392,44.24316307980659,0.0030458848287472982,3.864000907925134,-1.071484162710929,centrifugal_fragility,40.29638819555752,-4.9332697843581315,-6.638264117186236,fragile_decline,fragile_boom,high,high,resilient_steady,persistent_accelerator,44.69548089719797,38.99426694695818,persistent_accelerator,34.30044340565797,27.945251143649003,44.24316307980659,0,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.059897680716022306,6.181127782760674,42.33555637185565,39.2377466272815,39.87813347542088,-24.60396171875153,-27.70177146332568,-27.061384615186302,persistent_accelerator,persistent_accelerator,stalling_plateau
london_gb,London,United Kingdom,Europe,2025,40.192445987501145,86.35756883793712,66.54716393921825,84.65922432626515,87.36542734885943,2.7062030225942806,32.170588398756315,64.67115343697182,high_alert,surge_expansion,44.69249503938295,43.4821736107245,65.87392327382862,77.97187770580808,67.39191733325467,0.2767741935483871,65.38791323472232,65.38791323472232,64.91121777532244,0.0010685686883449828,3.864000907925134,-1.071484162710929,centrifugal_fragility,42.27870101479342,-16.66429102895784,-3.7811562189519115,fragile_decline,fragile_boom,high,high,resilient_steady,stable_mature,39.57631209783158,21.547383818736932,stable_mature,46.78125674010554,44.99978012048132,64.91121777532244,0,innovation_pulse,-76.96672374493508,2.0555906110132582,0.4445753020068198,-0.06004481352279312,6.189092572033869,40.93855914430946,40.20793783018858,41.45342328596882,-25.60860479490879,-26.339226109029667,-25.09374065324943,stable_mature,stable_mature,stable_mature
christchurch_nz,Christchurch,New Zealand,Oceania,2025,31.282109424443448,81.59324978881034,66.0355258971624,83.93139530690829,87.34093211708904,3.4095368101807537,51.153942038560096,66.34486354859011,high_alert,surge_expansion,25.85837989850046,11.623609061604435,83.31503627226485,73.71969721841171,66.05103404199298,0.2767741935483871,65.55587373432623,65.55587373432623,30.200233765949807,0.015480803697728073,3.864000907925134,-1.071484162710929,centrifugal_fragility,46.92655758829797,-0.3999545188291762,-3.890695143305711,fragile_decline,fragile_boom,high,high,resilient_steady,stable_mature,60.21129972868787,44.70793036591595,stable_mature,21.38195006012247,21.327595531246452,30.200233765949807,0,innovation_pulse,-76.96672374493508,2.0555906110132582,0.4445753020068198,-0.06023667778856412,6.199478824287603,40.73390392748711,39.695659657173074,42.071783365722396,-25.30162196967528,-26.339866239989323,-23.96374253144,stable_mature,stable_mature,stable_mature
dusseldorf_de,Dusseldorf,Germany,Europe,2025,30.335586268943864,76.57123689451947,65.1665152645804,81.37652421298075,84.53768668091396,3.1611624679332095,25.94405088302585,66.79843972885713,monitoring,surge_expansion,27.31382495366445,28.495554561867714,82.32503928246868,70.10487919224208,65.16379190840837,0.2767741935483871,63.00241718895683,63.00241718895683,53.938709965173175,-0.001525475964933614,3.864000907925134,-1.071484162710929,centrifugal_fragility,36.57963895127825,-25.94826364774847,-2.105478224371159,fragile_decline,fragile_boom,high,high,structural_stall,persistent_accelerator,42.20763084130786,23.59095740029251,volatile_rebound,34.36360605321161,41.57555786428789,53.938709965173175,1,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.06056255677578237,6.217119740129018,41.626355241444934,40.120364542773814,41.640956586368,-23.54016002313546,-25.046150721806583,-23.525558678212395,persistent_accelerator,persistent_accelerator,stalling_plateau
istanbul_tr,Istanbul,Turkey,Europe,2025,34.50386036796597,71.7119182950385,64.99141640779409,82.1125941543825,85.12067503224291,3.008080877860408,33.71350125361911,68.65735787499133,high_alert,surge_expansion,16.784433620642318,9.37360974875616,92.78909810252058,70.7656723382498,64.49147110601443,0.2767741935483871,62.26992409257633,62.26992409257633,25.5031692313918,-0.017624855269350773,3.864000907925134,-1.071484162710929,centrifugal_fragility,36.87748115154868,-12.94860276434165,-3.865985126533616,fragile_decline,fragile_boom,high,high,resilient_steady,persistent_accelerator,65.8699730983188,40.166362185022834,persistent_accelerator,5.841945196719706,24.825054222771257,25.5031692313918,0,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.06062821884707725,6.22067424692178,41.55631569873041,41.60811339045388,41.32130430365225,-23.43510070906368,-23.383303017340207,-23.670112104141843,persistent_accelerator,persistent_accelerator,stalling_plateau
luanda_ao,Luanda,Angola,Africa,2025,28.698553918975904,74.0378059317461,63.938623099854084,77.10654051862758,80.79446541979999,3.6879249011724085,41.72852025505021,59.539265307068355,high_alert,surge_expansion,22.190268886756943,19.673235503901417,84.89912282077813,60.92217247967917,65.5491510452314,0.2767741935483871,62.8254790602667,62.8254790602667,40.732826901540705,-0.006888164243326112,3.864000907925134,-1.071484162710929,centrifugal_fragility,38.90440465803985,-16.816308061934457,-2.9121937963497238,fragile_decline,fragile_boom,high,high,structural_stall,late_takeoff,50.16939289265919,30.93162313944533,volatile_rebound,23.868413039086917,33.006999960408756,40.732826901540705,1,innovation_pulse,-80.57700768182546,0.02672597517880604,0.39673856832270166,-0.06102301633755469,6.242045951072962,43.65314567762378,38.184517608168115,42.44656303755382,-20.2854774222303,-25.754105491685976,-21.49206006230026,late_takeoff,late_takeoff,late_takeoff
dunedin_nz,Dunedin,New Zealand,Oceania,2025,28.449671068617807,81.28308341467304,63.56742023295041,81.97766695086057,84.89402193866808,2.916354987807509,28.61707591014081,63.31933006780655,monitoring,surge_expansion,29.204846358208563,20.182538185732383,80.77023753574075,66.57339665747377,64.03054029517801,0.2767741935483871,61.8913535168227,61.8913535168227,39.00378128793195,0.0023051605901756923,3.864000907925134,-1.071484162710929,centrifugal_fragility,47.00441609625877,-8.045280793528043,-7.766296187900079,fragile_decline,fragile_boom,high,high,resilient_steady,stable_mature,52.68417751870348,37.0457774423858,stable_mature,28.598905895969565,26.521642790564613,39.00378128793195,0,innovation_pulse,-76.96672374493508,2.0555906110132582,0.4445753020068198,-0.061162217412643605,6.249581369271105,39.74666166180232,41.85001784771647,44.984262490383664,-23.820758571148094,-21.717402385233942,-18.583157742566748,stable_mature,stable_mature,stable_mature
ashgabat_tm,Ashgabat,Turkmenistan,Asia,2025,34.333517079593726,80.22268118906076,63.21950770941645,80.48516780712858,83.98168281310656,3.496515005977983,42.99684870744091,60.22175776698542,high_alert,surge_expansion,42.421569381738045,45.23384153392423,77.80203038246177,75.15753510074795,64.06861869356361,0.2767741935483871,63.537026701353504,63.537026701353504,51.12863595360571,0.0007644166120036399,3.864000907925134,-1.071484162710929,centrifugal_fragility,47.216864980517364,19.39339181212632,7.468135333657627,mid_transition,fragile_boom,high,high,resilient_steady,persistent_accelerator,32.55703456660511,44.7229256862554,persistent_accelerator,47.665646622455654,18.496582023161046,51.12863595360571,0,innovation_pulse,-78.28398573520003,1.2274520325768918,0.4257446154727629,-0.06129268460896886,6.256643993498845,40.84755221937936,39.09105386033896,39.60325634104011,-22.371955490037088,-24.128453849077484,-23.61625136837634,persistent_accelerator,persistent_accelerator,stalling_plateau
