split_year,n_train,n_test,linear_rmse,linear_mae,linear_r2,rf_rmse,rf_mae,rf_r2
2018,1180,1770,3.2136146739277875,2.615161340329741,0.8566032815700859,3.443353044742463,2.7378319175813535,0.835367825283111
2019,1475,1475,3.2874787728041963,2.709132034258659,0.8502854011283237,3.592663327266274,2.88361904709575,0.821198450444949
2020,1770,1180,3.1527195765321063,2.6147798361953787,0.86362943688157,3.537413206382364,2.836606196251193,0.8283192773826731
2021,2065,885,2.998239776949141,2.500619444841335,0.8795148294161613,3.1815877622216364,2.629198665565395,0.8643284805925021
2022,2360,590,3.0336329874667904,2.508897863344334,0.8698592369424284,3.384949297341693,2.783471040920794,0.8379714266229015
2023,2655,295,4.039465836029044,3.965729833900262,0.7530927146882558,4.374273815744647,4.2007806243162635,0.7104670763893215
