dose_bin,dose_range_low,dose_range_high,coef,stderr,t_value,p_value,ci95_low,ci95_high,n_rows_bin
dose_bin_1,0.0833333333333333,0.7253507024807188,-0.00979397664101229,0.022167132923082276,-0.4418242392914052,0.6593233225574613,-0.05324155717025355,0.033653603888228974,150
dose_bin_2,0.7253507024807188,0.8051253495891727,-0.04218268478709897,0.02381484553412838,-1.7712768586572671,0.07877112755884387,-0.08885978203399059,0.0044944124597926585,150
dose_bin_3,0.8051253495891727,0.9164673483917161,-0.018144055529105828,0.02227919318364951,-0.8143946407548357,0.41685316264008576,-0.06181127416905887,0.025523163110847215,149
dose_bin_4,0.9164673483917161,1.0,-0.010903741298444212,0.02525397286347179,-0.4317634044113414,0.6666021540789902,-0.06040152811084892,0.03859404551396049,150
