year,mean_growth,mean_accel,mean_jerk,mean_stall_risk,mean_kinetic_energy,mean_turning_risk,city_count,share_deep_cooling,share_mixed_transition,share_overheating,share_recovery_rebound,share_steady_cruise,share_surge_expansion,cycle_tension,cycle_balance,global_cycle_phase
2015,-0.03598211697677911,0.11148018398226968,0.0,60.96948111737533,0.0,0.0,295,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,expansion_phase
2016,-0.5202297246669743,0.11148018398226968,0.0,30.05966658998815,24.218088029030174,0.0,295,0.0,0.8677966101694915,0.0,0.0,0.13220338983050847,0.0,0.0,1.0,expansion_phase
2017,0.3240397249188381,0.8442694495858123,0.7327892656035427,37.83739476240234,20.575089140451247,25.408282674976608,295,0.13898305084745763,0.3152542372881356,0.013559322033898305,0.0576271186440678,0.04067796610169491,0.43389830508474575,-0.3389830508474576,0.847457627118644,expansion_phase
2018,0.1446367118199087,-0.17940301309892942,-1.0236724626847418,39.323642404467066,20.68410222225537,21.387236638169096,295,0.288135593220339,0.24745762711864408,0.07457627118644068,0.013559322033898305,0.05084745762711865,0.3254237288135593,0.02372881355932205,0.6372881355932203,rebalancing_phase
2019,0.11440977983533848,-0.030226931984570216,0.1491760811143592,39.83967054489831,19.98931926152945,22.46843775191733,295,0.29491525423728815,0.31864406779661014,0.03728813559322034,0.010169491525423728,0.06440677966101695,0.2745762711864407,0.0474576271186441,0.6677966101694914,stress_phase
2020,-0.27722444771482807,-0.3916342275501666,-0.36140729556559636,39.2901313242219,15.963448678432696,17.702210208452602,295,0.36271186440677966,0.26440677966101694,0.030508474576271188,0.02711864406779661,0.06440677966101695,0.25084745762711863,0.11525423728813561,0.6067796610169491,stress_phase
2021,0.0060491194472356005,0.28327356716206364,0.6749077947122302,37.23518714922767,17.372772056058437,19.567824985806638,295,0.33220338983050846,0.2271186440677966,0.04406779661016949,0.04406779661016949,0.05423728813559322,0.2983050847457627,0.03389830508474573,0.6237288135593221,rebalancing_phase
2022,0.07228562786364613,0.06623650841641053,-0.21703705874565313,38.90287168744536,21.00658136515576,23.642720479083263,295,0.29491525423728815,0.2542372881355932,0.04067796610169491,0.020338983050847456,0.04067796610169491,0.34915254237288135,-0.03389830508474573,0.6644067796610169,expansion_phase
2023,-0.014223301225331433,-0.08650892908897757,-0.1527454375053881,39.46900196919301,17.614285270687123,20.76869323043568,295,0.33220338983050846,0.29152542372881357,0.023728813559322035,0.010169491525423728,0.05423728813559322,0.288135593220339,0.057627118644067776,0.6440677966101696,stress_phase
2024,-0.027455371247597542,-0.013232070022266108,0.07327685906671146,38.89078530993149,19.320918216605293,20.08292813644565,295,0.3050847457627119,0.28135593220338984,0.03728813559322034,0.02711864406779661,0.07796610169491526,0.2711864406779661,0.04406779661016952,0.6576271186440678,stress_phase
2025,0.15856118638315486,0.18601655763075242,0.1992486276530185,39.955383625379376,18.934722518993595,21.912629685877196,295,0.26101694915254237,0.23389830508474577,0.03728813559322034,0.020338983050847456,0.06779661016949153,0.37966101694915255,-0.1016949152542373,0.7016949152542373,expansion_phase
