candidate,alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_year,eval_year,selection_objective,selection_roc_auc,selection_average_precision,selection_brier,temporal_objective_mean,temporal_objective_std,temporal_mean_gain_vs_base,temporal_share_positive_gain,temporal_windows,selection_rank_score,eval_objective,eval_roc_auc,eval_average_precision,eval_brier
convex_blend,0.0,0.0,0.0,1.0,2023,2024,0.6441443411742344,0.674974963836653,0.4686739837982372,0.20553748441612452,0.6685446520940849,0.02510156012315629,0.0,0.0,3,0.6670385584866955,0.7130006381251203,0.740831964969896,0.46890758867925064,0.18554217896517172
convex_blend,0.0,0.0,0.05,0.95,2023,2024,0.6514126425312542,0.6817625458996328,0.48030218719246004,0.20233268912252403,0.6761139830657473,0.025021527869651776,0.007569330971662495,1.0,3,0.6766503901636243,0.7135474760646662,0.7409688013136289,0.4791651932959024,0.18280883499308476
convex_blend,0.0,0.0,0.1,0.9,2023,2024,0.6603337225747752,0.690219205519083,0.49748122804936584,0.19923655296205234,0.683549248035647,0.024329189041481684,0.01500459594156219,1.0,3,0.6861644333065594,0.7145588986787234,0.741584564860427,0.4803071954335829,0.18017110787802418
convex_blend,0.0,0.0,0.15000000000000002,0.85,2023,2024,0.6671243388434646,0.6965617002336709,0.5090687791960058,0.1962490759347094,0.6903404352298249,0.024013495830528447,0.021795783135740043,1.0,3,0.6948081712173128,0.7163085786547573,0.7429529282977558,0.48312201074068895,0.17762899761999007
convex_blend,0.0,0.0,0.2,0.8,2023,2024,0.6737873844050863,0.7027929231111606,0.5236142853534945,0.1933702580404953,0.697295183441813,0.023924766226677056,0.028750531347728165,1.0,3,0.7036401911697614,0.7172913162117066,0.743568691844554,0.48340660989724105,0.17518250421898232
convex_blend,0.0,0.05,0.0,0.95,2023,2024,0.644889978584889,0.6756982307777901,0.4702787271350306,0.20538834795267424,0.6695155074013677,0.0250596606219437,0.0009708553072828771,1.0,3,0.6682695543390849,0.7130037411149689,0.7408319649698959,0.4691337029964074,0.18552149236618
convex_blend,0.0,0.05,0.05,0.8999999999999999,2023,2024,0.6526586162373771,0.6829865361077111,0.4852718741005768,0.2021861324688935,0.6770452617272934,0.024829248223162452,0.008500609633208533,1.0,3,0.6778509447434686,0.7134136948365667,0.740831964969896,0.47904820039047935,0.18278846755552844
convex_blend,0.0,0.05,0.1,0.85,2023,2024,0.660800406449739,0.6906642928674752,0.4988381218573146,0.19909257611824155,0.6842974608898166,0.024494916551785702,0.015752808795731748,1.0,3,0.6870990894011525,0.7151776694669396,0.742200328407225,0.4811602009979564,0.18015105960190328
convex_blend,0.0,0.05,0.15000000000000002,0.7999999999999999,2023,2024,0.6675906357469552,0.6970067875820629,0.509754849562351,0.19610767890071842,0.6913819340636754,0.024472700838832864,0.0228372819695906,1.0,3,0.6960918183971976,0.7165852107094259,0.7432266009852216,0.4829041100324126,0.1776092685053046
convex_blend,0.0,0.05,0.2,0.75,2023,2024,0.6741976584185552,0.7031823745410037,0.524682478069544,0.19323144081632404,0.6982233642403841,0.0242381753889788,0.02967871214629932,1.0,3,0.7047898180985067,0.7177731549077591,0.744047619047619,0.4842696447749884,0.1751630942657323
convex_blend,0.0,0.1,0.0,0.9,2023,2024,0.6454126679592208,0.6761989540447314,0.47165630312115214,0.20524190723673705,0.6702616395302493,0.025218335335141007,0.001716987436164552,1.0,3,0.6692031528048817,0.7131433203957812,0.740968801313629,0.4699003412509036,0.18550320611898496
convex_blend,0.0,0.1,0.05,0.85,2023,2024,0.653737277825726,0.6840436185601424,0.48701102230933907,0.2020422715627761,0.6776443976005528,0.02446101427864655,0.009099745506467935,1.0,3,0.6786435318534809,0.7136216444150301,0.7410372194854954,0.4785025811317173,0.18277050046976878
convex_blend,0.0,0.1,0.1,0.8,2023,2024,0.6610997782069287,0.6909424724602202,0.4996454875029848,0.19895129502194386,0.6849773538066546,0.024548491646955772,0.016432701712569758,1.0,3,0.6879517284766336,0.7153171529993211,0.7423371647509579,0.4813158019588503,0.1801334116775791
convex_blend,0.0,0.1,0.15000000000000002,0.75,2023,2024,0.6680565282883191,0.6974518749304551,0.5103970855377682,0.1959689776142405,0.6922063451748773,0.02474615073764858,0.023661693080792467,1.0,3,0.6971152431430983,0.7168614827113251,0.7435002736726875,0.48268144853577016,0.17759193974241577
convex_blend,0.0,0.1,0.2,0.7,2023,2024,0.675052615418289,0.7040169133192389,0.5268103533702787,0.19309531933966587,0.699227804322548,0.024198069370145136,0.030683152228463035,1.0,3,0.7060648737023362,0.7177072881761107,0.7439792008757525,0.48355414917637035,0.1751460846642789
