group_type,n_groups,auc_gap_max_min,brier_gap_max_min,ece_gap_max_min
continent,6,0.043273918571682723,0.024714232702116853,0.01531815484692095
income_group,4,0.025452503477128352,0.017358001896254055,0.02776224792251107
