event_type,event_time,n_obs,mean_rel_growth_adj,mean_rel_risk_adj,event_phase,growth_z,risk_z,risk_forward_shift_z,envelope_signal
enter_deep_cooling,-2,721,-0.9606468572530278,-12.863771994741718,pre,-0.23540006101689948,-0.38109480353287173,0.8979910397527685,-0.1605805608803083
enter_deep_cooling,-1,721,0.0,0.0,pre,1.2332050491845539,1.5673411236201937,-1.6414363793963975,0.37337939462393793
enter_deep_cooling,0,721,-1.944234349902332,-20.388254571416272,impact,-1.739076055091932,-1.5208050060786638,0.7055963123865366,-0.5034719399642773
enter_deep_cooling,1,647,-0.4009143239778414,-10.043757015206902,post,0.6203005041882264,0.04604418054438572,0.03784902725709251,0.35415831993883484
enter_deep_cooling,2,569,-0.7275370053619281,-8.442943289915437,post,0.1209705627360508,0.28851450544695745,0.0,-0.06348521371818809
enter_overheating,-2,99,-2.0569650020517685,-25.585675928030128,pre,-1.0428335344034074,-1.2215754858197518,1.2832559575594176,-0.3425168687997036
enter_overheating,-1,99,0.0,0.0,pre,1.606139170767856,1.088826287493159,-0.09251716623824545,0.49352344445176854
enter_overheating,0,99,-0.8692957361785212,1.3116811565909463,impact,0.48665455359559545,1.2072718770774782,-1.499738039179645,0.05217769085160162
enter_overheating,1,88,-2.0601128338544936,-22.205493201707068,post,-1.0468873323618422,-0.9163429726359684,0.30899924785847305,-0.27720535372794136
enter_overheating,2,77,-1.2495760400882316,-13.809499110199264,post,-0.0030728575982015794,-0.15817970611491713,0.0,0.07402108722427525
enter_recovery_rebound,-2,68,2.280618817813607,24.79473165371138,pre,1.2107853892814493,1.6912584323268751,-1.5244744285547749,0.27426726811964897
enter_recovery_rebound,-1,68,0.0,0.0,pre,-1.5391668090840327,-0.7421040222753529,-0.0958834196239139,-0.5769791386226697
enter_recovery_rebound,0,68,0.7465996468154424,-5.058487930931408,impact,-0.6389228384465785,-1.238545555908346,1.2308951636420162,-0.07242722900211618
enter_recovery_rebound,1,62,1.992786926925176,8.212710746691515,post,0.8637199634742746,0.06389389133852565,0.38946268453667227,0.41915551891349
enter_recovery_rebound,2,54,1.3623833471256592,9.859367214494505,post,0.10358429477488817,0.22549725451829797,0.0,-0.04401641940835235
enter_surge_expansion,-2,806,0.8104197691070901,11.260678371554777,pre,0.15369147986556142,0.2010869942452534,-0.8603373325443261,0.1880411734386782
enter_surge_expansion,-1,806,0.0,0.0,pre,-1.223334414350861,-1.5837887293745585,1.6880837493709073,-0.3696271716593454
enter_surge_expansion,0,806,1.749420213114383,19.509761778682737,impact,1.749195409271678,1.5086093503308748,-0.5977357440965434,0.49187052929085995
enter_surge_expansion,1,700,0.3389604979519339,11.419817834821952,post,-0.6473892059675898,0.2263114216983083,-0.23001067273003797,-0.4594084421144853
enter_surge_expansion,2,625,0.7010388466793847,7.769902417063761,post,-0.0321632688187899,-0.3522190368998776,0.0,0.14912391104429149
