policy_type,year,event_count,country_coverage,mean_intensity,z_event_count,z_country_coverage,z_mean_intensity,shock_index_raw,shock_index_type,is_shock_year_type
climate,2015,29.0,29.0,0.48291324577136124,1.4455517473423882,1.4455517473423882,-0.6292149163555061,1.134336747787704,0.6983554878801567,1
climate,2016,1.0,1.0,0.7174347597400954,-0.7157586321792409,-0.7157586321792409,0.43986480817975554,-0.5424151161253914,0.17394710921332238,0
climate,2017,4.0,4.0,0.6589807123387197,-0.4841896629447806,-0.4841896629447806,0.17339869240086297,-0.38555140964293405,0.22300662944320365,0
climate,2018,1.0,1.0,0.8148746229684126,-0.7157586321792409,-0.7157586321792409,0.8840499934790913,-0.47578733833049097,0.1947851149311492,0
climate,2019,4.0,4.0,0.6133793349803041,-0.4841896629447806,-0.4841896629447806,-0.03447779244590861,-0.4167328823699498,0.21325454512521896,0
climate,2020,3.0,3.0,0.7566723860843426,-0.5613793193562674,-0.5613793193562674,0.6187317703345272,-0.3843626559026482,0.2233784151766768,0
climate,2021,7.0,7.0,0.7260604070200352,-0.2526206937103203,-0.2526206937103203,0.4791853142686157,-0.1428497925134799,0.2989121729394549,0
climate,2022,12.0,12.0,0.7008250913041164,0.13332758834711345,0.13332758834711345,0.3641486853573274,0.16795075289864553,0.3961158281827378,1
climate,2023,9.0,9.0,0.8091505720320159,-0.09824138088734682,-0.09824138088734682,0.8579565801510303,0.04518831326840975,0.35772156525498605,0
climate,2024,43.0,43.0,0.5500779904415191,2.5262069371032028,2.5262069371032028,-0.32304058925293466,2.098819808149782,1.0,1
climate,2025,0.0,0.0,0.0,-0.7929482885907276,-0.7929482885907276,-2.83060254611686,-1.0985964272196476,0.0,0
digital,2015,1.0,1.0,0.6890556011986316,-1.2089754429357207,-1.2089754429357207,0.32728044393745476,-0.9785370599047443,0.2334694701610868,0
digital,2016,3.0,3.0,0.7284982605865711,-0.6974858324629157,-0.6974858324629157,0.5214241380475145,-0.5146493368863512,0.3826211023190804,0
digital,2017,2.0,2.0,0.7722665701737667,-0.9532306376993182,-0.9532306376993182,0.736859441854873,-0.6997171257661895,0.32311712883236576,0
digital,2018,5.0,5.0,0.5896674932519429,-0.18599622199011093,-0.18599622199011093,-0.16192527207670493,-0.1823855795031,0.48945230146830765,0
digital,2019,4.0,4.0,0.6845457540931461,-0.44174102722651337,-0.44174102722651337,0.30508218472985577,-0.32971754543305803,0.4420813491945225,0
digital,2020,12.0,12.0,0.6793449836887288,1.6042174146647061,1.6042174146647061,0.2794830797455556,1.4055072644268334,1.0,1
digital,2021,10.0,10.0,0.7170779124380748,1.0927278041919013,1.0927278041919013,0.4652111794900091,0.9986003104866175,0.8691691258356188,1
digital,2022,9.0,9.0,0.7061059738579633,0.8369829989554988,0.8369829989554988,0.41120537155143777,0.7731163548448896,0.7966703328290383,0
digital,2023,10.0,10.0,0.6835830183422116,1.0927278041919013,1.0927278041919013,0.30034343034466326,0.9738701481148156,0.8612177533412444,1
digital,2024,7.0,7.0,0.5980648920369332,0.32549338848269393,0.32549338848269393,-0.12059180099914725,0.25858061006041777,0.6312340810591465,0
digital,2025,0.0,0.0,0.0,-1.464720248172123,-1.464720248172123,-3.0643721966255106,-1.704668040440131,0.0,0
energy,2015,7.0,7.0,0.750126650674033,-0.730079556940131,-0.730079556940131,0.8122956419209195,-0.4987232771109734,0.1771701590610313,0
energy,2016,6.0,6.0,0.6421946769874971,-0.8005258299782139,-0.8005258299782139,-1.3992964939215686,-0.8903414295697171,0.06675882300911903,0
energy,2017,12.0,12.0,0.6696778290154363,-0.3778481917497169,-0.3778481917497169,-0.836149904295773,-0.4465934486316253,0.19186744511486972,0
energy,2018,13.0,13.0,0.7315133498323344,-0.3074019187116341,-0.3074019187116341,0.43089772657170666,-0.19665697191913295,0.2623335870663491,0
energy,2019,22.0,22.0,0.8039403183506046,0.3266145386311113,0.3266145386311113,1.9149705969810034,0.5648679473835951,0.47703503348588583,1
energy,2020,13.0,13.0,0.7445859726526394,-0.3074019187116341,-0.3074019187116341,0.698763761414986,-0.15647706669264105,0.2736617570979044,0
energy,2021,23.0,23.0,0.7279523350985342,0.3970608116691941,0.3970608116691941,0.35793035729367934,0.39119124351286694,0.4280692825495076,1
energy,2022,16.0,16.0,0.7138333436956898,-0.09606309959738564,-0.09606309959738564,0.06862359039209795,-0.0713600960989631,0.29765931284177244,0
energy,2023,58.0,58.0,0.706090418805868,2.862680368002093,2.862680368002093,-0.09003367501178017,2.4197732615500116,1.0,1
energy,2024,18.0,18.0,0.7018114737276693,0.04482944647878,0.04482944647878,-0.177711876025042,0.011448248103206701,0.32100598322005985,0
energy,2025,3.0,3.0,0.6236011258712532,-1.0118646490924623,-1.0118646490924623,-1.7802897253202472,-1.12712841052663,0.0,0
innovation,2015,2.0,2.0,0.6520246947774522,-0.4148735928439116,-0.4148735928439116,0.05298443392199008,-0.3446948888290264,0.1678311034184338,0
innovation,2016,1.0,1.0,0.6757881515954723,-0.5009794328681196,-0.5009794328681196,0.16665987897933668,-0.40083353609100114,0.15249203212290535,0
innovation,2017,1.0,1.0,0.7713127880777108,-0.5009794328681196,-0.5009794328681196,0.623613833499342,-0.33229044291300036,0.17122043838761342,0
innovation,2018,5.0,5.0,0.7207723770753172,-0.1565560727712874,-0.1565560727712874,0.38184750471666934,-0.0757955361480939,0.24130395221805384,0
innovation,2019,3.0,3.0,0.648288671726791,-0.32876775281970355,-0.32876775281970355,0.035112703967854916,-0.2741856843015698,0.18709672109872008,0
innovation,2020,5.0,5.0,0.7173990392108224,-0.1565560727712874,-0.1565560727712874,0.3657107243647276,-0.07821605320088515,0.24064258103339484,0
innovation,2021,6.0,6.0,0.6729505410939104,-0.07045023274707934,-0.07045023274707934,0.15308581695903967,-0.036919825291161494,0.2519261764714471,1
innovation,2022,43.0,43.0,0.7144905083300376,3.115465848148619,3.115465848148619,0.351797405908234,2.700915581812561,1.0,1
innovation,2023,6.0,6.0,0.6558067238207895,-0.07045023274707934,-0.07045023274707934,0.07107623925206172,-0.04922126194720819,0.24856498728881535,1
innovation,2024,3.0,3.0,0.8215998168870993,-0.32876775281970355,-0.32876775281970355,0.8641680771135968,-0.14982737832970852,0.22107582488068073,0
