year,feature,importance_perm_auc,importance_tree_gain,n_train,n_test,auc,brier
2015,acceleration_score,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,growth_1,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,accel_1,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,critical_transition_score,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,dynamic_hazard_score,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,graph_diffusion_score,-0.0006377551020407713,0.31830915486233513,206,89,0.5887755102040817,0.2818361116206809
2015,dynamic_pulse_index,0.09974489795918376,0.37055325477475115,206,89,0.5887755102040817,0.2818361116206809
2015,regime_switch_rate_3y,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,regime_forward_risk,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,regime_transition_entropy,0.0,0.0,206,89,0.5887755102040817,0.2818361116206809
2015,stall_probability_base_pre_fusion,-0.01691326530612237,0.3111375903629138,206,89,0.5887755102040817,0.2818361116206809
2016,acceleration_score,-0.007791095890410949,0.1254114990566877,206,89,0.444777397260274,0.19311811353052225
2016,growth_1,-0.0218321917808219,0.12231485640375858,206,89,0.444777397260274,0.19311811353052225
2016,accel_1,0.0,0.0,206,89,0.444777397260274,0.19311811353052225
2016,critical_transition_score,0.0057363013698630005,0.10037039040162879,206,89,0.444777397260274,0.19311811353052225
2016,dynamic_hazard_score,-0.0035958904109589128,0.13470857642202652,206,89,0.444777397260274,0.19311811353052225
2016,graph_diffusion_score,0.01755136986301369,0.14186710859455723,206,89,0.444777397260274,0.19311811353052225
2016,dynamic_pulse_index,-0.007277397260273955,0.15675637560703712,206,89,0.444777397260274,0.19311811353052225
2016,regime_switch_rate_3y,0.004666095890410965,0.014196309043414748,206,89,0.444777397260274,0.19311811353052225
2016,regime_forward_risk,-0.004708904109589035,0.03325466365833541,206,89,0.444777397260274,0.19311811353052225
2016,regime_transition_entropy,-0.006934931506849313,0.020534470215188647,206,89,0.444777397260274,0.19311811353052225
2016,stall_probability_base_pre_fusion,0.024571917808219195,0.15058575059736526,206,89,0.444777397260274,0.19311811353052225
2017,acceleration_score,-0.003867028493894098,0.11951684249688249,206,89,0.6187245590230666,0.1996352276991809
2017,growth_1,-0.010719131614653942,0.1157032790276244,206,89,0.6187245590230666,0.1996352276991809
2017,accel_1,-0.015739484396200754,0.11015688842015521,206,89,0.6187245590230666,0.1996352276991809
2017,critical_transition_score,-0.023337856173677018,0.07177464104611432,206,89,0.6187245590230666,0.1996352276991809
2017,dynamic_hazard_score,-0.017842605156037916,0.14112134849320726,206,89,0.6187245590230666,0.1996352276991809
2017,graph_diffusion_score,0.027408412483039414,0.1492865683441018,206,89,0.6187245590230666,0.1996352276991809
2017,dynamic_pulse_index,0.029782903663500736,0.14519362977689054,206,89,0.6187245590230666,0.1996352276991809
2017,regime_switch_rate_3y,-0.005495251017639003,0.011569999006705304,206,89,0.6187245590230666,0.1996352276991809
