candidate,graph_weight,objective,roc_auc,average_precision,brier
base,0.0,0.7130006381251203,0.740831964969896,0.46890758867925064,0.18554217896517172
dynamic_only,0.0,0.6913549794481819,0.7240695128626164,0.43750338616790585,0.21809688942956382
graph_only,1.0,0.7172362145516112,0.7450738916256158,0.4737835155217111,0.18558451382669672
dynamic_graph_blend,0.0,0.6913549794481819,0.7240695128626164,0.43750338616790585,0.21809688942956382
dynamic_graph_blend,0.05,0.6930588781929361,0.7254378762999452,0.44069076657526485,0.21585998738006013
dynamic_graph_blend,0.1,0.6955057249871266,0.7275588396278052,0.44433490918136764,0.21368743093785755
dynamic_graph_blend,0.15000000000000002,0.6960956292998275,0.7278325123152709,0.4447010587325933,0.21157922010295613
dynamic_graph_blend,0.2,0.6974284816619641,0.7288587848932675,0.44842736026659336,0.2095353548753557
dynamic_graph_blend,0.25,0.6999147911047354,0.7310481663929939,0.44708763447471045,0.2075558352550564
dynamic_graph_blend,0.30000000000000004,0.7013651761284149,0.7322112753147236,0.4506597021234502,0.20564066124205815
dynamic_graph_blend,0.35000000000000003,0.7036953455452628,0.7342638204707169,0.4569024554449247,0.20378983283636098
dynamic_graph_blend,0.4,0.7053316814023514,0.7356321839080461,0.46053199214405927,0.202003350037965
dynamic_graph_blend,0.45,0.7062057655278136,0.736247947454844,0.46002563250639295,0.20028121284687
dynamic_graph_blend,0.5,0.7080964703901774,0.7378899835796389,0.46183659179212116,0.19862342126307608
dynamic_graph_blend,0.55,0.7085407418022506,0.738095238095238,0.46722522649922804,0.19702997528658325
dynamic_graph_blend,0.6000000000000001,0.7095911249200267,0.7389162561576355,0.468674889526743,0.19550087491739154
dynamic_graph_blend,0.65,0.7115897106028379,0.740695128626163,0.47298113387849905,0.1940361201555009
dynamic_graph_blend,0.7000000000000001,0.7117997719760265,0.7406951286261632,0.46612673058189635,0.19263571100091134
dynamic_graph_blend,0.75,0.7120685996799861,0.7407635467980296,0.4641436777445834,0.19129964745362288
dynamic_graph_blend,0.8,0.7125330300584499,0.7410372194854953,0.4678228974413686,0.19002792951363548
dynamic_graph_blend,0.8500000000000001,0.7147666810643464,0.7430897646414888,0.4713176031321093,0.18882055718094917
dynamic_graph_blend,0.9,0.7159644076511508,0.7441160372194854,0.4733152578356962,0.18767753045556396
dynamic_graph_blend,0.9500000000000001,0.7161262098188635,0.7441160372194855,0.473184023114964,0.1865988493374798
dynamic_graph_blend,1.0,0.7172362145516112,0.7450738916256158,0.4737835155217111,0.18558451382669672
