quantile,threshold_value,stall_rate,n_stall,n_total,naive_delta_auc
0.2,-0.06934344758209415,0.1958568738229755,520,2655,0.41183570527832825
0.25,-0.05456679987049884,0.24519774011299436,651,2655,0.4122538333471306
0.3,-0.04018992380241589,0.29453860640301316,782,2655,0.42866525658059135
0.35,-0.027285717277209187,0.3450094161958569,916,2655,0.43888471766386844
0.4,-0.01556224588270325,0.3951035781544256,1049,2655,0.43465400838371837
