cohort_year,att_post,pre_rmse,n_treat_cities,n_post_cells,n_pre_cells
2017,8.76815450112233,4.860725291498477,20,180,20
2018,11.498568473013883,5.32663636486761,4,32,4
2020,3.3959138250284147,3.820989290668494,9,54,9
2022,7.003313891462177,3.647184598955005,3,12,3
