dataset,target,model,r2,rmse,n_train,n_test,n_feat
pulse_ai_scores,y_dy1_cyres_t1,ridge,-0.03766960586878132,0.6101479986233844,2360,590,20
pulse_ai_scores,y_dy1_cyres_t1,rf,-0.04507954910967382,0.6123226404164893,2360,590,20
pulse_ai_scores,y_dy1_t1,rf,-0.1954857299906414,2.6332345351347755,2360,590,20
pulse_ai_scores,y_dy1_t1,ridge,-1.1127100710126512,3.500558141199388,2360,590,20
