estimator,family,effect,p_value,ci95_low,ci95_high,sign,significant_p_lt_0_10
twfe_did,pooled_twfe,0.060179283786387414,0.13986927989571513,-0.019070438985615848,0.1394290065583907,1,0
dml_did,orthogonal_ml,-0.18930250412894428,0.002966517849616806,,,-1,1
dml_did_legacy_baseline,orthogonal_ml_audit,-0.20749596299897852,0.00039246314193971255,,,-1,1
dr_did,orthogonal_diff,0.01434250192613999,0.3015065537742183,,,1,0
staggered_did,timing_robust,0.0625878340692176,0.3421718456378367,-0.010526290586715642,0.13570195872515084,1,0
not_yet_treated_did,timing_robust,-0.033321626725603265,0.6747678011610809,-0.14984200747870785,0.08319875402750132,-1,0
matched_did,matched_design,-0.06335558889881308,0.08728606056742096,,,-1,1
