policy_variant,estimator,value,delta_vs_behavior,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_contains_zero_uplift,effective_sample_size,weight_mean,weight_p95,weight_max,n_rows,selection_objective,dr_delta,dr_delta_ci_low,dr_delta_ci_high,dr_ci_contains_zero
base_q,behavior,-28.227080606067744,0.0,-28.65925060067137,-27.838685412391847,,,,2336.3783227936274,0.8841773994349363,1.7171233340425873,2.9163317895211383,2950,1.7933287067751351,2.1553560210648968,1.7933287067751351,2.4984882791425567,False
base_q,ips,-23.27085717983715,4.9562234262305935,-23.683291221685057,-22.79876274677581,4.439684187802373,5.477042979779535,False,2336.3783227936274,0.8841773994349363,1.7171233340425873,2.9163317895211383,2950,1.7933287067751351,2.1553560210648968,1.7933287067751351,2.4984882791425567,False
base_q,snips,-26.319217381838964,1.9078632242287803,-26.695753844387035,-25.97481832320014,1.7418786253771068,2.0993521516956135,False,2336.3783227936274,0.8841773994349363,1.7171233340425873,2.9163317895211383,2950,1.7933287067751351,2.1553560210648968,1.7933287067751351,2.4984882791425567,False
base_q,dr,-26.071724585002848,2.1553560210648968,-26.47220993065926,-25.699741205033053,1.7933287067751351,2.4984882791425567,False,2336.3783227936274,0.8841773994349363,1.7171233340425873,2.9163317895211383,2950,1.7933287067751351,2.1553560210648968,1.7933287067751351,2.4984882791425567,False
context_q,behavior,-28.227080606067744,0.0,-28.65925060067137,-27.838685412391847,,,,2089.823645266772,0.9212885147671008,2.155944873926154,3.4626967322744697,2950,1.7092516864246643,2.169094680717837,1.7092516864246643,2.576495643708602,False
context_q,ips,-24.052099432901304,4.17498117316644,-24.563250664551113,-23.470790670231487,3.5576189002970002,4.799632113984594,False,2089.823645266772,0.9212885147671008,2.155944873926154,3.4626967322744697,2950,1.7092516864246643,2.169094680717837,1.7092516864246643,2.576495643708602,False
context_q,snips,-26.107021901799794,2.120058704267951,-26.525097279723997,-25.70954391920191,1.8970917866067583,2.3741656774270465,False,2089.823645266772,0.9212885147671008,2.155944873926154,3.4626967322744697,2950,1.7092516864246643,2.169094680717837,1.7092516864246643,2.576495643708602,False
context_q,dr,-26.057985925349907,2.169094680717837,-26.473047772336244,-25.600003489483445,1.7092516864246643,2.576495643708602,False,2089.823645266772,0.9212885147671008,2.155944873926154,3.4626967322744697,2950,1.7092516864246643,2.169094680717837,1.7092516864246643,2.576495643708602,False
context_q_rule,behavior,-28.227080606067744,0.0,-28.65925060067137,-27.838685412391847,,,,2076.5667505931037,0.929505274485488,2.1615264640712484,3.467367621006134,2950,1.5877765646686879,2.0623467203705914,1.5877765646686879,2.481254411280703,False
context_q_rule,ips,-24.278992460090105,3.948088145977639,-24.81141456145952,-23.69663758847415,3.3130675863678487,4.6017186648314246,False,2076.5667505931037,0.929505274485488,2.1615264640712484,3.467367621006134,2950,1.5877765646686879,2.0623467203705914,1.5877765646686879,2.481254411280703,False
context_q_rule,snips,-26.12033855701285,2.106742049054894,-26.53376863087085,-25.71612084204772,1.8810071135734472,2.3620381300432762,False,2076.5667505931037,0.929505274485488,2.1615264640712484,3.467367621006134,2950,1.5877765646686879,2.0623467203705914,1.5877765646686879,2.481254411280703,False
context_q_rule,dr,-26.164733885697153,2.0623467203705914,-26.5838780047189,-25.708903085645478,1.5877765646686879,2.481254411280703,False,2076.5667505931037,0.929505274485488,2.1615264640712484,3.467367621006134,2950,1.5877765646686879,2.0623467203705914,1.5877765646686879,2.481254411280703,False
safe_context_q_rule,behavior,-28.227080606067744,0.0,-28.65925060067137,-27.838685412391847,,,,2071.9566841111177,0.931508933601907,2.1768387703385215,3.4730638640857454,2950,1.5707059248446942,2.043913253556884,1.5707059248446942,2.4651372562746277,False
safe_context_q_rule,ips,-24.325652221472716,3.901428384595029,-24.855026542468238,-23.74038266746665,3.2636595693338033,4.556617619077769,False,2071.9566841111177,0.931508933601907,2.1768387703385215,3.4730638640857454,2950,1.5707059248446942,2.043913253556884,1.5707059248446942,2.4651372562746277,False
safe_context_q_rule,snips,-26.11424468835917,2.1128359177085727,-26.527383953970457,-25.710321270472623,1.8879985234750158,2.3684607378607474,False,2071.9566841111177,0.931508933601907,2.1768387703385215,3.4730638640857454,2950,1.5707059248446942,2.043913253556884,1.5707059248446942,2.4651372562746277,False
safe_context_q_rule,dr,-26.18316735251086,2.043913253556884,-26.600561705407827,-25.723464863420034,1.5707059248446942,2.4651372562746277,False,2071.9566841111177,0.931508933601907,2.1768387703385215,3.4730638640857454,2950,1.5707059248446942,2.043913253556884,1.5707059248446942,2.4651372562746277,False
