continent,shock_year,event_time,high_mean_rel_outcome,low_mean_rel_outcome,effect_high_minus_low,n_high,n_low
Africa,2020,-2,-0.13755593936369181,-0.4544186440226324,0.31686270465894056,23,6
Africa,2020,-1,0.0,0.0,0.0,23,6
Africa,2020,0,0.05643597315427152,-0.9022680159915559,0.9587039891458274,23,6
Africa,2020,1,0.08427550397494991,-0.12565606948462418,0.20993157345957408,23,6
Africa,2020,2,0.19418915649877047,-0.46499417776861546,0.659183334267386,23,6
Asia,2020,-2,0.0515697683201543,0.05641446453663443,-0.004844696216480128,28,36
Asia,2020,-1,0.0,0.0,0.0,28,36
Asia,2020,0,-0.3866856722437802,-0.4280190650664974,0.041333392822717197,28,36
Asia,2020,1,-0.43794518737388227,-0.396285065296505,-0.04166012207737729,28,36
Asia,2020,2,-0.3232387192898952,-0.5023241973953829,0.1790854781054877,28,36
Europe,2020,-2,-0.2934121316228975,0.14800040203667147,-0.44141253365956895,3,46
Europe,2020,-1,0.0,0.0,0.0,3,46
Europe,2020,0,-0.7250868019710998,0.15402277671113132,-0.879109578682231,3,46
Europe,2020,1,-1.1962856753978504,-0.09827863061981128,-1.098007044778039,3,46
Europe,2020,2,-0.879997004708836,0.43838907200315014,-1.3183860767119862,3,46
North America,2020,-2,0.08358049127658233,-0.6465881578331496,0.7301686491097319,10,21
North America,2020,-1,0.0,0.0,0.0,10,21
North America,2020,0,0.25988952324168435,-0.32892225065322545,0.5888117738949098,10,21
North America,2020,1,0.6735175918110456,-0.08091540737852958,0.7544329991895752,10,21
North America,2020,2,0.02766088011971597,-0.2366949403107896,0.2643558204305056,10,21
Oceania,2020,-2,,-0.6253282921074299,,0,16
Oceania,2020,-1,,0.0,,0,16
Oceania,2020,0,,-1.475514065680225,,0,16
Oceania,2020,1,,-1.31927420715263,,0,16
Oceania,2020,2,,-1.9830954895941686,,0,16
South America,2020,-2,-0.07832544416662798,-0.08847231818260148,0.0101468740159735,25,4
South America,2020,-1,0.0,0.0,0.0,25,4
South America,2020,0,-0.009244787392875225,0.4478926256919493,-0.45713741308482453,25,4
