continent,year,dynamic_pulse_index_mean,dynamic_pulse_index_p75,dynamic_pulse_delta_1y_mean,city_count
Africa,2015,9.448427958806422,10.9764307146914,0.0,52
Africa,2016,73.70569638193425,76.33443977465004,64.25726842312783,52
Africa,2017,57.74864089177967,61.284750511159714,-15.957055490154566,52
Africa,2018,52.896117090683205,58.5969494012527,-4.852523801096478,52
Africa,2019,51.64051894920858,56.09105752934711,-1.2555981414746213,52
Africa,2020,58.38216220824787,65.47727415120008,6.741643259039292,52
Africa,2021,52.4510164302145,58.47900482006963,-5.931145778033369,52
Africa,2022,53.20033308579022,58.3044579597939,0.749316655575726,52
Africa,2023,63.52398323206103,69.65423272396546,10.323650146270808,52
Africa,2024,51.01475417825355,55.703272411906276,-12.509229053807482,52
Africa,2025,62.06937896610603,70.60907157351757,11.054624787852479,52
Asia,2015,9.7876388471221,12.845939038854862,0.0,74
Asia,2016,76.88055574631285,77.96937107694889,67.09291689919075,74
Asia,2017,59.67455887747393,62.69709576611152,-17.205996868838923,74
Asia,2018,51.27285173648402,56.64498118686284,-8.401707140989902,74
Asia,2019,50.5363065220068,54.42624463885146,-0.7365452144772271,74
Asia,2020,62.49810512613065,68.79567065755195,11.961798604123864,74
Asia,2021,54.96443629101608,62.8104485327591,-7.533668835114577,74
Asia,2022,54.18206667844536,59.12363556692778,-0.7823696125707255,74
Asia,2023,58.92478834789455,62.793017974829674,4.742721669449186,74
Asia,2024,50.502301016162434,53.887547583040345,-8.422487331732107,74
Asia,2025,58.156331066974246,63.60347793004216,7.654030050811804,74
Europe,2015,8.863907004710045,11.092345596596434,0.0,67
Europe,2016,76.34291363375243,76.15418605147138,67.47900662904237,67
Europe,2017,70.30886630237698,85.94696214818534,-6.0340473313754375,67
Europe,2018,57.70971035368656,74.55954813719423,-12.599155948690429,67
Europe,2019,55.955178081697774,71.05618763797918,-1.7545322719887824,67
Europe,2020,67.773884311898,84.65932517266822,11.818706230200231,67
Europe,2021,61.38645415841608,76.01329691377329,-6.387430153481923,67
Europe,2022,58.43483742197225,72.23601123529029,-2.9516167364438326,67
Europe,2023,61.802514424897765,68.30562246114627,3.3676770029255123,67
Europe,2024,53.11712078495452,58.75646515812173,-8.685393639943237,67
Europe,2025,60.102077514444,75.46141794633255,6.9849567294894745,67
North America,2015,10.651062523673305,11.518090387902557,0.0,44
North America,2016,72.92786937289908,73.73055857537344,62.27680684922579,44
North America,2017,57.39962504196872,58.639875328372526,-15.528244330930379,44
North America,2018,56.17819037244981,65.32231347238381,-1.2214346695188982,44
North America,2019,53.345144550726474,58.63050413813778,-2.833045821723343,44
North America,2020,60.835925330001466,67.14308057245617,7.490780779274996,44
North America,2021,55.07693892773455,63.41460438671244,-5.758986402266911,44
North America,2022,54.877387520843314,56.86774265503047,-0.19955140689124012,44
North America,2023,59.34438514612745,64.58024245336584,4.466997625284123,44
North America,2024,51.01067210621906,54.78824863005035,-8.333713039908382,44
North America,2025,57.644133669319196,61.38176758653381,6.63346156310014,44
Oceania,2015,8.821608446841948,10.71854724953931,0.0,19
Oceania,2016,72.7030763544861,74.7986897085984,63.881467907644144,19
Oceania,2017,62.30210649230089,71.4261102191403,-10.400969862185208,19
Oceania,2018,53.84963833391901,58.079231347138816,-8.452468158381883,19
Oceania,2019,51.25278950308044,67.14323491770496,-2.596848830838565,19
Oceania,2020,66.86164282748068,76.77497051241832,15.608853324400238,19
Oceania,2021,61.40916540744715,73.5818808054513,-5.452477420033532,19
Oceania,2022,59.787595855323104,70.91613042558869,-1.6215695521240487,19
Oceania,2023,58.579539946559954,66.28339884740274,-1.2080559087631364,19
Oceania,2024,46.76820642412783,51.55431006329123,-11.81133352243213,19
Oceania,2025,62.066459543859764,71.21636865329538,15.29825311973193,19
South America,2015,10.65182822797161,12.711694796846531,0.0,39
South America,2016,75.76123171566857,76.16482121167093,65.10940348769695,39
South America,2017,57.65940592199085,68.55603124339683,-18.101825793677715,39
South America,2018,49.55518482780348,60.908256732393426,-8.104221094187368,39
South America,2019,53.03663700109024,54.891018496722026,3.481452173286759,39
South America,2020,59.513042213213325,64.52848865821971,6.476405212123083,39
South America,2021,57.75025844788653,64.33976589292428,-1.7627837653267944,39
South America,2022,57.24202749670041,62.107759571257716,-0.5082309511861207,39
South America,2023,59.417429212051225,64.76851186489348,2.1754017153508083,39
South America,2024,50.09525425701263,55.66978666096494,-9.322174955038593,39
South America,2025,60.771241715885445,65.20169010411783,10.675987458872816,39
