top_fraction,k,mean_pred_prob,observed_stall_rate
0.1,30,0.5247266435303177,1.0
0.2,59,0.4961934515528577,1.0
0.3,88,0.47659573612889117,0.9886363636363636
0.4,118,0.460554789436306,0.9915254237288136
