shock_year,event_time,trajectory_regime,n_obs,mean_rel_change,mean_growth
2016,-1,late_takeoff,295,0.0,-0.03598211697677911
2016,0,late_takeoff,90,0.495242028603337,0.495242028603337
2016,0,persistent_accelerator,62,-1.4862552844115977,-1.4862552844115977
2016,0,stable_mature,58,-0.7694763349874031,-0.7694763349874031
2016,0,stalling_plateau,50,-0.9520044094029629,-0.9520044094029629
2016,0,structural_decline,19,-0.3467548919526123,-0.3467548919526123
2016,0,volatile_rebound,16,-0.4420958044388448,-0.4420958044388448
2016,1,stable_mature,100,1.2536642751562184,1.199209062832813
2016,1,stalling_plateau,92,-1.4885063578167987,-0.43966100647398
2016,1,structural_decline,37,-1.0757673564726766,-0.743794152577334
2016,1,persistent_accelerator,31,0.013761168864157014,1.3806887478048744
2016,1,late_takeoff,18,0.016983939709232645,-0.24324049544237564
2016,1,volatile_rebound,17,-0.42522396954367847,0.30688156145618306
2016,2,stalling_plateau,78,-1.1659215410073698,0.1663316915714502
2016,2,persistent_accelerator,58,1.7103784459756644,0.9148219197628445
2016,2,late_takeoff,45,1.20951153541285,0.49001940742277916
2016,2,volatile_rebound,44,-1.6832500483926618,-1.0725393285025795
2016,2,stable_mature,36,-0.09582414410940457,-0.6814167926060585
2016,2,structural_decline,34,-0.011283452447157567,0.7737102456459265
2020,-2,stalling_plateau,78,-0.2703679202201328,0.1663316915714502
2020,-2,persistent_accelerator,58,0.4989139676411975,0.9148219197628445
2020,-2,late_takeoff,45,-0.1245896593069694,0.49001940742277916
2020,-2,volatile_rebound,44,-0.7565248552882163,-1.0725393285025795
2020,-2,stable_mature,36,-0.07249275526942661,-0.6814167926060585
2020,-2,structural_decline,34,-0.0028185266543956627,0.7737102456459265
2020,-1,structural_decline,75,0.0,0.5218142558424559
2020,-1,stalling_plateau,70,0.0,-0.22163114595167213
2020,-1,volatile_rebound,61,0.0,0.9089592861280448
2020,-1,stable_mature,38,0.0,-0.3757277731773489
2020,-1,persistent_accelerator,28,0.0,-0.8517350773176042
2020,-1,late_takeoff,23,0.0,-0.31266447079655874
2020,0,late_takeoff,76,0.23821089952072322,0.23821089952072322
2020,0,volatile_rebound,74,-0.010894585571631227,-0.010894585571631227
2020,0,stalling_plateau,63,-0.5121557545751664,-0.5121557545751664
2020,0,persistent_accelerator,46,-0.8710764619179338,-0.8710764619179338
2020,0,stable_mature,25,-1.6960406118284213,-1.6960406118284213
2020,0,structural_decline,11,1.4233912704565845,1.4233912704565845
2020,1,stalling_plateau,79,-0.40430930841147905,0.05318649229771035
2020,1,volatile_rebound,60,0.33674064855128055,0.18925297495664156
2020,1,stable_mature,51,-0.9567405207441194,-0.3198740820466144
2020,1,late_takeoff,43,0.41498392301969794,0.29851999859356104
2020,1,structural_decline,37,-0.9982965789217825,-0.645363678282009
2020,1,persistent_accelerator,25,-0.014971763972029635,0.5433301275722173
2020,2,stalling_plateau,74,-0.3673921691463639,-0.013055761067021226
2020,2,late_takeoff,59,0.29790848675235265,0.3107332478591037
2020,2,persistent_accelerator,52,-0.34497080791063417,-0.31253789420400807
2020,2,stable_mature,44,-0.9414177273152908,-0.10607680418858069
2020,2,volatile_rebound,36,1.197798051501879,0.8716891031053278
2020,2,structural_decline,30,-1.0940636553854637,-0.2168110971279256
2024,-2,stalling_plateau,74,-0.3523094567842117,-0.013055761067021226
2024,-2,late_takeoff,59,0.43083340079496824,0.3107332478591037
2024,-2,persistent_accelerator,52,-0.21353310099458908,-0.31253789420400807
2024,-2,stable_mature,44,-0.09225894958148319,-0.10607680418858069
2024,-2,volatile_rebound,36,0.4778441969252636,0.8716891031053278
2024,-2,structural_decline,30,0.09361089868652392,-0.2168110971279256
2024,-1,stable_mature,81,0.0,0.3236457232772818
2024,-1,late_takeoff,70,0.0,-0.23384659032911992
2024,-1,persistent_accelerator,48,0.0,0.6360335950469478
2024,-1,stalling_plateau,46,0.0,-0.21754515437314095
2024,-1,volatile_rebound,29,0.0,-0.9922184625355959
2024,-1,structural_decline,21,0.0,-0.27571981768813963
2024,0,stable_mature,85,0.1764419593511803,0.1764419593511803
2024,0,late_takeoff,63,0.25006567272894176,0.25006567272894176
2024,0,persistent_accelerator,44,0.018796439179976462,0.018796439179976462
2024,0,structural_decline,37,0.16577443808448494,0.16577443808448494
2024,0,stalling_plateau,36,-0.4882590060234995,-0.4882590060234995
2024,0,volatile_rebound,30,-0.941147058700462,-0.941147058700462
2024,1,late_takeoff,71,0.20479312881455253,0.16808708276649634
2024,1,stalling_plateau,61,-0.09471630672821804,0.06594319782621944
2024,1,stable_mature,58,0.48620501124088383,0.4146546428626587
2024,1,volatile_rebound,42,-0.45495230980589546,-0.21341582838837772
2024,1,persistent_accelerator,36,0.6468962597463329,0.8332458678127219
2024,1,structural_decline,27,-0.0913541096820058,-0.5283156924359359
