year,event_count,country_coverage,mean_intensity,median_intensity,z_event_count,z_country_coverage,z_mean_intensity,shock_index_raw,shock_index,is_shock_year
2015,133,80,0.6512312610977304,0.6945695817752748,0.21187395182077598,0.3574241950160067,-2.2802049570270557,-0.11099529938806801,0.6033607702269539,0
2016,71,40,0.7218768848739857,0.7396214050786993,-1.0556526722298316,-1.1547550915901756,-0.30265444285699095,-0.9773887846000259,0.3242970444647075,0
2017,108,68,0.7703497301167532,0.7864236805734767,-0.29922549336092064,-0.09622959096584802,1.0542236609688767,-0.02515955437317563,0.6310083036125194,0
2018,90,52,0.7512534310316258,0.7493820693573201,-0.6672170938917422,-0.701101305608321,0.5196697274634873,-0.5010435447892603,0.47772695782351154,0
2019,115,65,0.7606062993418254,0.7275456348998451,-0.1561176487100456,-0.2096430374613117,0.7814802763288914,-0.03421184601714819,0.6280925773565268,0
2020,179,100,0.7694962635772719,0.7365462431591664,1.1522969309550979,1.113513838319098,1.0303329639410783,1.1204282534803949,1.0,1
2021,134,68,0.7371376747814763,0.7266653658031271,0.23231792962804385,-0.09622959096584802,0.1245338430555301,0.10115868443430463,0.671695172748795,0
2022,179,102,0.7504690316483641,0.7498593966731839,1.1522969309550979,1.189122802649407,0.4977123956321954,1.0669983057496706,0.9827903134828277,1
2023,177,97,0.7518562760398977,0.7239425265782748,1.111408975340562,1.0001003918236342,0.536544891024201,0.9862213584621831,0.9567722094105978,1
2024,150,91,0.686927026043533,0.717698924416629,0.5594215745443297,0.7732734988327068,-1.2809897962149062,0.3582080424313763,0.7544902915623988,0
2025,13,13,0.7083734976474422,0.6911927531869633,-2.2414033850513677,-2.175476110049349,-0.680648562315301,-1.984215615390251,0.0,0
