left_out_continent,n_train,n_test,positive_rate_test,roc_auc,average_precision,brier,baseline_roc_auc,baseline_average_precision,baseline_brier,delta_roc_auc_vs_logit,delta_brier_improve_vs_logit,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_roc_auc_p_value,delta_brier_improve_ci_low,delta_brier_improve_ci_high,delta_brier_improve_p_value
Africa,2187,52,0.3076923076923077,0.751736111111111,0.6720963644112248,0.21135354739478748,0.6944444444444444,0.6784261979313256,0.17856770162967855,0.05729166666666663,-0.03278584576510893,-0.01880208333333326,0.1532322303921566,0.1875,-0.08135121487183726,0.0167999140345091,0.2125
Asia,1989,74,0.0945945945945946,0.7526652452025586,0.2495805681711043,0.24104392056906318,0.7249466950959488,0.20276604348032917,0.13021484121962895,0.02771855010660984,-0.11082907934943423,-0.15504184527454595,0.29417542016806714,0.775,-0.14248759082052873,-0.07438141494205154,0.0
Europe,2052,67,0.22388059701492538,0.6064102564102565,0.3500651907112445,0.21319229406058962,0.6269230769230769,0.37986549726385915,0.1691758563215814,-0.02051282051282044,-0.04401643773900821,-0.10459354324920359,0.062156417112299446,0.6875,-0.08000491261619933,-0.0011019498724894807,0.04375
North America,2259,44,0.20454545454545456,0.7682539682539682,0.5553140096618358,0.21021801925347833,0.7904761904761904,0.5164166729956203,0.136538980946349,-0.022222222222222254,-0.07367903830712932,-0.09846203346203333,0.04102941176470595,0.6375,-0.11569199968742352,-0.033210692510992144,0.0
Oceania,2484,38,0.2894736842105263,0.696969696969697,0.5007295066787045,0.24953070158411728,0.7407407407407408,0.662119253295724,0.17479000165708383,-0.043771043771043794,-0.07474069992703344,-0.11521180432470761,0.035732886904761875,0.24375,-0.13146248774123653,-0.029056630189685587,0.0
South America,2304,39,0.2564102564102564,0.7896551724137931,0.6424458874458874,0.18400572484785002,0.8137931034482757,0.5437985444507183,0.15903651991390944,-0.024137931034482585,-0.024969204933940586,-0.18786300505050504,0.11452306596537332,0.75625,-0.07255055401611912,0.026402341076099983,0.3375
