city_id,city_name,country,continent,year,composite_index,growth_1,accel_1,acceleration_score,stall_probability,stall_risk_score,stall_probability_base_pre_fusion,stall_risk_score_base_pre_fusion,stall_probability_low,stall_probability_high,stall_risk_low,stall_risk_high,stall_risk_interval_width,critical_transition_score,critical_transition_probability,critical_transition_risk_score,critical_transition_band,kinetic_state,kinetic_energy_score,turning_point_risk,damping_pressure,dynamic_hazard_probability,dynamic_hazard_score,dynamic_hazard_fused_probability,dynamic_hazard_fused_score,dynamic_hazard_gate_weight,graph_diffusion_probability,graph_diffusion_score,graph_diffusion_fused_probability,graph_diffusion_fused_score,phase_risk_velocity,phase_accel_velocity,phase_flow_speed,phase_curvature,phase_divergence_bin,phase_vorticity_bin,phase_label,dynamic_pulse_index,dynamic_pulse_delta_1y,dynamic_pulse_trend_3y,dynamic_pulse_state,stall_next,accelerate_next,trajectory_regime,regime_run_length_log,regime_switch_rate_3y,regime_switch_rate_5y,regime_year_share,regime_forward_risk,regime_self_transition_prob,regime_transition_entropy
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2015,26.834238918195634,-0.03598211697677911,0.11148018398226966,0.0,0.5603164866649224,56.03164866649224,0.592024801140621,59.2024801140621,0.6680334492176327,0.7155811522829381,66.80334492176327,71.5581152282938,4.754770306530531,15.283570646918495,0.43316615687414656,43.316615687414654,stable_window,steady_cruise,0.0,0.0,0.0,0.7087673571847877,70.87673571847877,0.592024801140621,59.2024801140621,0.03197158081705151,0.5924475636579303,59.24475636579303,0.5924475636579303,59.24475636579303,,,0.0,0.0,,,insufficient_history,12.719448847049758,0.0,0.0,low_but_recovering,1.0,0.0,late_takeoff,0.6931471805599453,0.0,0.0,1.0,0.30159671795568194,0.4820971867007673,1.4941517062475425
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2016,24.315201652411,-2.5190372657846325,0.11148018398226966,12.281851248339668,0.12929344458811384,12.929344458811384,0.1374790198711908,13.747901987119079,0.10092218493123617,0.14449978900820412,10.092218493123617,14.449978900820412,4.357760407696794,21.76467974787326,0.07711148101807572,7.711148101807572,monitoring,mixed_transition,76.16433865002371,0.0,87.71814875166034,0.13676500131242444,13.676500131242445,0.1374790198711908,13.747901987119079,0.10636942675159236,0.16339856978816467,16.339856978816467,0.16339856978816467,16.339856978816467,-43.10230420768085,12.281851248339668,44.81799301728944,-0.0,2.075885903299414,-3.298530964175521,rotational_transition,62.98257208202253,50.26312323497277,0.0,mid_transition,0.0,0.0,persistent_accelerator,0.6931471805599453,0.5,0.5,0.5,0.2592890384023761,0.4746192893401015,1.5193120805389408
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2017,24.121814622709532,-0.19338702970146926,2.3256502360831632,55.189019803978766,0.2132359687715915,21.32359687715915,0.23742012753229805,23.742012753229805,0.19911320544019048,0.24243122866059577,19.91132054401905,24.243122866059576,4.331802322040527,27.048620391297394,0.08459257442174319,8.45925744217432,monitoring,mixed_transition,28.4602679355008,33.588643719372065,98.03988768952172,0.169536266737639,16.9536266737639,0.23742012753229805,23.742012753229805,0.10636942675159236,0.2799624732749944,27.99624732749944,0.2799624732749944,27.99624732749944,8.394252418347767,42.907168555639096,43.72057395694802,-0.023363199635106326,2.19967924632654,-0.8679790386589011,directional_drift,86.0843468493508,23.101774767328266,36.682449001150516,accelerating_frontier,0.0,1.0,stalling_plateau,0.6931471805599453,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.17921631462462242,0.7125850340136054,0.9416362892337523
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2018,24.89246099087178,0.7706463681622466,0.9640333978637159,58.55159094854178,0.3582856127117759,35.82856127117759,0.40730467877392557,40.730467877392556,0.4241790052009051,0.48623871386185324,42.41790052009051,48.62387138618532,6.205970866094809,42.75238709282995,0.18156608032835783,18.156608032835784,high_alert,surge_expansion,12.71310484190193,17.524213087128867,85.65426659534646,0.29801651138358526,29.801651138358526,0.40730467877392557,40.730467877392556,0.2767741935483871,0.3814957029536852,38.14957029536852,0.3814957029536852,38.14957029536852,14.50496439401844,3.362571144563013,14.889623123974312,-0.1799857713889241,1.7894044607475181,-1.30123417739404,stable_anchor,71.74061536040772,-14.343731488943078,19.67372217111932,high_but_cooling,0.0,1.0,stalling_plateau,1.0986122886681098,0.6666666666666666,0.5,0.5,0.17921631462462242,0.7125850340136054,0.9416362892337523
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2019,26.617366309789915,1.724905318918136,0.9542589507558894,67.22436511239619,0.5940324233244714,59.403242332447135,0.6101094263242044,61.01094263242044,0.7401706992173442,0.7768118753923231,74.01706992173442,77.68118753923231,3.6641176174978938,46.50019298577469,0.5421338966491407,54.21338966491407,high_alert,surge_expansion,18.10841900059655,4.674755255219966,82.10063522124086,0.65727691524964,65.727691524964,0.6101094263242044,61.01094263242044,0.2767741935483871,0.5935634458927362,59.356344589273625,0.5935634458927362,59.356344589273625,23.574681061269544,8.672774163854406,25.11936700710831,0.0029354624742020177,3.724777315954599,-2.0073547326792514,centrifugal_fragility,43.2793778112906,-28.461237549117115,-6.567731423577309,fragile_decline,1.0,0.0,volatile_rebound,0.6931471805599453,0.6666666666666666,0.6,0.2,0.26111007977761347,0.5313351498637602,1.4148197788107906
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2020,25.60649474379858,-1.0108715659913337,-2.7357768849094697,50.19722850704157,0.4394721145562241,43.94721145562241,0.45214961047849866,45.21496104784987,0.5202682681412322,0.5407095874926334,52.02682681412322,54.07095874926334,2.044131935140122,38.162642982023485,0.39207001507952455,39.207001507952455,high_alert,deep_cooling,24.675390531062266,30.130333913502334,90.07159872287059,0.5066047767733975,50.660477677339756,0.45214961047849866,45.21496104784987,0.4836099585062241,0.4477390981953005,44.77390981953005,0.4477390981953005,44.77390981953005,-15.456030876824727,-17.027136605354613,22.99591858227817,-0.021986112679342612,2.9336689021643734,-2.2294870508539173,directional_drift,49.6217700502521,6.3423922389615015,-12.15419226636623,mid_transition,1.0,0.0,volatile_rebound,1.0986122886681098,0.3333333333333333,0.6,0.3333333333333333,0.26111007977761347,0.5313351498637602,1.4148197788107906
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2021,25.01385404025327,-0.5926407035453103,0.41823086244602337,44.20869936349661,0.19885368968552294,19.885368968552296,0.21614451692742895,21.614451692742893,0.18732615724858284,0.2255306878820814,18.732615724858285,22.55306878820814,3.8204530633498557,37.80005112144673,0.11841929820517179,11.841929820517178,high_alert,recovery_rebound,14.725868506398326,12.822189249367916,97.03446937084686,0.30052585387784125,30.052585387784127,0.21614451692742895,21.614451692742893,0.13448275862068967,0.23117262694439844,23.117262694439844,0.23117262694439844,23.117262694439844,-24.061842487070113,-5.988529143544959,24.795861452582358,-0.020802752231709624,0.5868872592702271,-1.0059657874196974,directional_drift,85.72459285621468,36.10282280596258,4.661325831935656,accelerating_frontier,0.0,0.0,stalling_plateau,0.6931471805599453,0.6666666666666666,0.6,0.42857142857142855,0.17921631462462242,0.7125850340136054,0.9416362892337523
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2022,25.24939025358598,0.2355362133327077,0.828176916878018,56.96455116674892,0.2846591789211887,28.46591789211887,0.31710298097022843,31.710298097022843,0.30119613454553257,0.35042537393913115,30.119613454553257,35.042537393913115,4.922923939359858,30.515541594155042,0.15246631535697552,15.246631535697553,monitoring,mixed_transition,6.8630090196887386,13.52569212837096,87.61259943300482,0.30830041584636336,30.830041584636337,0.31710298097022843,31.710298097022843,0.10636942675159236,0.3203265214609675,32.03265214609675,0.3203265214609675,32.03265214609675,8.580548923566575,12.755851803252305,15.37327470177563,-0.07033431396135216,1.3258518098720375,-2.0959364943741665,directional_drift,79.6410487623123,-6.08354409390239,12.120556983673898,high_but_cooling,1.0,0.0,stalling_plateau,1.0986122886681098,0.3333333333333333,0.4,0.5,0.17921631462462242,0.7125850340136054,0.9416362892337523
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2023,24.503482731408667,-0.7459075221773119,-0.9814437355100196,55.05869399426988,0.19873537107600836,19.873537107600836,0.22435407349902828,22.435407349902828,0.19965977432244086,0.24014481822334038,19.965977432244088,24.014481822334037,4.048504390089949,28.090899347527664,0.08552068739037573,8.552068739037573,monitoring,deep_cooling,12.307573829082202,18.668176537932947,93.74977381735822,0.18735371422853042,18.735371422853042,0.22435407349902828,22.435407349902828,0.4836099585062241,0.23867390549043227,23.867390549043225,0.23867390549043227,23.867390549043225,-8.592380784518035,-1.9058571724790383,8.801210093393099,0.1367794672843285,1.0829536731926805,-1.801780081078848,directional_drift,86.83263150091884,7.191582738606542,12.403620483555578,accelerating_frontier,0.0,1.0,stalling_plateau,1.3862943611198906,0.3333333333333333,0.4,0.5555555555555556,0.17921631462462242,0.7125850340136054,0.9416362892337523
abidjan_ci,Abidjan,Cote d'Ivoire,Africa,2024,25.43138223631507,0.9278995049064029,1.6738070270837149,64.47239606413365,0.43585667024642644,43.585667024642646,0.45369645563078725,45.36964556307873,0.5109072531435532,0.5564641363806445,51.090725314355325,55.64641363806445,4.555688323709127,21.12180146663919,0.35260492745127464,35.260492745127465,monitoring,surge_expansion,21.794118208658762,26.12165110892817,80.37595636813458,0.5985524220038808,59.85524220038808,0.45369645563078725,45.36964556307873,0.2767741935483871,0.4695532573077321,46.95532573077321,0.4695532573077321,46.95532573077321,23.71212991704181,9.413702069863767,25.512406626244154,-0.0021495280829814238,2.0740822673854047,-1.2143908796084573,directional_drift,48.595069140462606,-38.23756236045623,-12.376507905250692,mid_transition,0.0,0.0,stable_mature,0.6931471805599453,0.3333333333333333,0.4,0.1,0.23839165519771782,0.5154440154440154,1.4594158122842256
