left_out_continent,n_train,n_test,positive_rate_test,roc_auc,average_precision,brier,baseline_roc_auc,baseline_average_precision,baseline_brier,delta_roc_auc_vs_logit,delta_brier_improve_vs_logit,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_roc_auc_p_value,delta_brier_improve_ci_low,delta_brier_improve_ci_high,delta_brier_improve_p_value
Africa,2187,52,0.3076923076923077,0.7604166666666667,0.6828050966473486,0.2125846102436822,0.7048611111111112,0.6898378005305099,0.1777224937818333,0.0555555555555555,-0.0348621164618488,-0.0239250590015995,0.1693270107085894,0.25,-0.0874170355398639,0.0200957764518434,0.225
Asia,1989,74,0.0945945945945946,0.7484008528784648,0.2474633800394849,0.2421312328514998,0.6950959488272921,0.174932348353401,0.135168270120029,0.0533049040511727,-0.1069629627314708,-0.1158088235294115,0.2993119747899156,0.59375,-0.1375372568791746,-0.0713765150951608,0.0
Europe,2052,67,0.2238805970149253,0.6064102564102565,0.3477211575400639,0.2103394862828333,0.5923076923076923,0.3503462447707215,0.171933939097194,0.0141025641025641,-0.0384055471856393,-0.0650034510930809,0.1090691844919786,0.7375,-0.0759321201705349,0.0036717982557424,0.075
North America,2259,44,0.2045454545454545,0.7809523809523808,0.565036231884058,0.2136127353976237,0.7555555555555555,0.545122908280803,0.1392994127159161,0.0253968253968253,-0.0743133226817076,-0.069859943977591,0.1382516339869282,0.6625,-0.114925748636942,-0.0323416970705815,0.0
Oceania,2484,38,0.2894736842105263,0.696969696969697,0.5033114761055937,0.2505765811333862,0.7508417508417508,0.6435162060162061,0.174296774078051,-0.0538720538720537,-0.0762798070553351,-0.1534131493506493,0.021517857142857,0.175,-0.1330269056492193,-0.0281290475637257,0.0
South America,2304,39,0.2564102564102564,0.7896551724137932,0.6401748251748252,0.1842548817083529,0.8068965517241379,0.5385171591693331,0.160845792691409,-0.0172413793103446,-0.0234090890169438,-0.194012707722385,0.135834826762246,0.85625,-0.0774814451208846,0.0327022527161277,0.3875
