shock_year,event_time,trajectory_regime,n_obs,mean_rel_change,mean_growth
2016,-1,late_takeoff,295,0.0,-0.0359821169767791
2016,0,late_takeoff,90,0.495242028603337,0.495242028603337
2016,0,persistent_accelerator,62,-1.4862552844115977,-1.4862552844115977
2016,0,stable_mature,58,-0.7694763349874031,-0.7694763349874031
2016,0,stalling_plateau,50,-0.9520044094029628,-0.9520044094029628
2016,0,structural_decline,19,-0.3467548919526123,-0.3467548919526123
2016,0,volatile_rebound,16,-0.4420958044388448,-0.4420958044388448
2016,1,stable_mature,100,1.2536642751562184,1.199209062832813
2016,1,stalling_plateau,92,-1.4885063578167987,-0.43966100647398
2016,1,structural_decline,37,-1.0757673564726766,-0.743794152577334
2016,1,persistent_accelerator,31,0.013761168864157,1.3806887478048744
2016,1,late_takeoff,18,0.0169839397092326,-0.2432404954423756
2016,1,volatile_rebound,17,-0.4252239695436784,0.306881561456183
2016,2,stalling_plateau,78,-1.1659215410073698,0.1663316915714502
2016,2,persistent_accelerator,58,1.7103784459756644,0.9148219197628444
2016,2,late_takeoff,45,1.20951153541285,0.4900194074227791
2016,2,volatile_rebound,44,-1.6832500483926618,-1.0725393285025795
2016,2,stable_mature,36,-0.0958241441094045,-0.6814167926060585
2016,2,structural_decline,34,-0.0112834524471575,0.7737102456459265
2020,-2,stalling_plateau,78,-0.2703679202201328,0.1663316915714502
2020,-2,persistent_accelerator,58,0.4989139676411975,0.9148219197628444
2020,-2,late_takeoff,45,-0.1245896593069694,0.4900194074227791
2020,-2,volatile_rebound,44,-0.7565248552882163,-1.0725393285025795
2020,-2,stable_mature,36,-0.0724927552694266,-0.6814167926060585
2020,-2,structural_decline,34,-0.0028185266543956,0.7737102456459265
2020,-1,structural_decline,75,0.0,0.5218142558424559
2020,-1,stalling_plateau,70,0.0,-0.2216311459516721
2020,-1,volatile_rebound,61,0.0,0.9089592861280448
2020,-1,stable_mature,38,0.0,-0.3757277731773489
2020,-1,persistent_accelerator,28,0.0,-0.8517350773176042
2020,-1,late_takeoff,23,0.0,-0.3126644707965587
2020,0,late_takeoff,76,0.2382108995207232,0.2382108995207232
2020,0,volatile_rebound,74,-0.0108945855716312,-0.0108945855716312
2020,0,stalling_plateau,63,-0.5121557545751664,-0.5121557545751664
2020,0,persistent_accelerator,46,-0.8710764619179338,-0.8710764619179338
2020,0,stable_mature,25,-1.6960406118284213,-1.6960406118284213
2020,0,structural_decline,11,1.4233912704565843,1.4233912704565843
2020,1,stalling_plateau,79,-0.404309308411479,0.0531864922977103
2020,1,volatile_rebound,60,0.3367406485512805,0.1892529749566415
2020,1,stable_mature,51,-0.9567405207441194,-0.3198740820466144
2020,1,late_takeoff,43,0.4149839230196979,0.298519998593561
2020,1,structural_decline,37,-0.9982965789217824,-0.645363678282009
2020,1,persistent_accelerator,25,-0.0149717639720296,0.5433301275722173
2020,2,stalling_plateau,74,-0.3673921691463639,-0.0130557610670212
2020,2,late_takeoff,59,0.2979084867523526,0.3107332478591037
2020,2,persistent_accelerator,52,-0.3449708079106341,-0.312537894204008
2020,2,stable_mature,44,-0.9414177273152908,-0.1060768041885806
2020,2,volatile_rebound,36,1.197798051501879,0.8716891031053278
2020,2,structural_decline,30,-1.0940636553854637,-0.2168110971279256
2024,-2,stalling_plateau,74,-0.3523094567842117,-0.0130557610670212
2024,-2,late_takeoff,59,0.4308334007949682,0.3107332478591037
2024,-2,persistent_accelerator,52,-0.213533100994589,-0.312537894204008
2024,-2,stable_mature,44,-0.0922589495814831,-0.1060768041885806
2024,-2,volatile_rebound,36,0.4778441969252636,0.8716891031053278
2024,-2,structural_decline,30,0.0936108986865239,-0.2168110971279256
2024,-1,stable_mature,81,0.0,0.3236457232772818
2024,-1,late_takeoff,70,0.0,-0.2338465903291199
2024,-1,persistent_accelerator,48,0.0,0.6360335950469478
2024,-1,stalling_plateau,46,0.0,-0.2175451543731409
2024,-1,volatile_rebound,29,0.0,-0.992218462535596
2024,-1,structural_decline,21,0.0,-0.2757198176881396
2024,0,stable_mature,85,0.1764419593511803,0.1764419593511803
2024,0,late_takeoff,63,0.2500656727289417,0.2500656727289417
2024,0,persistent_accelerator,44,0.0187964391799764,0.0187964391799764
2024,0,structural_decline,37,0.1657744380844849,0.1657744380844849
2024,0,stalling_plateau,36,-0.4882590060234995,-0.4882590060234995
2024,0,volatile_rebound,30,-0.941147058700462,-0.941147058700462
2024,1,late_takeoff,71,0.2047931288145525,0.1680870827664963
2024,1,stalling_plateau,61,-0.094716306728218,0.0659431978262194
2024,1,stable_mature,58,0.4862050112408838,0.4146546428626587
2024,1,volatile_rebound,42,-0.4549523098058954,-0.2134158283883777
2024,1,persistent_accelerator,36,0.6468962597463329,0.8332458678127219
2024,1,structural_decline,27,-0.0913541096820058,-0.5283156924359359
