ablation,model_kind,use_context,use_velocity,n_obs,mae,rmse,r2,directional_accuracy,ternary_accuracy,coverage95,mae_gain_vs_ablation,dir_gain_vs_ablation
pulse_ai_dynamic_ensemble,ensemble,1,1,1770,11.28407769499764,14.31375208079203,0.1612280135368369,0.6706214689265537,0.6237288135593221,0.8468926553672317,0.0,0.0
ablation_no_velocity,ensemble,1,0,1770,11.935939818108602,15.37555255237278,0.0321715157306695,0.6661016949152543,0.580225988700565,0.848587570621469,-0.6518621231109627,0.0435028248587571
ablation_no_context,ensemble,0,1,1770,12.433924458945809,15.457761972625178,0.0217943504400203,0.588135593220339,0.5389830508474577,0.8322033898305085,-1.1498467639481689,0.0847457627118644
ablation_ridge_only,ridge,1,1,1770,13.312629660596166,16.78114522896262,-0.1528694411095015,0.6333333333333333,0.5909604519774011,0.8898305084745762,-2.028551965598526,0.0327683615819209
