target_policy_variant,continent,estimator,value,delta_vs_behavior,ci_low,ci_high,delta_ci_low,delta_ci_high,ci_contains_zero_uplift,effective_sample_size,weight_mean,weight_p95,weight_max,n_rows
base_q,Africa,behavior,-31.317612875321466,0.0,-32.33073151303029,-30.22364422238902,,,,370.7375626308853,0.8874136281398965,2.0627040185808827,3.094276517085772,520
base_q,Africa,ips,-25.22600891506588,6.091603960255583,-26.68766455584201,-23.79037440351961,4.314378182059499,7.70146275455409,False,370.7375626308853,0.8874136281398965,2.0627040185808827,3.094276517085772,520
base_q,Africa,snips,-28.426438489503475,2.891174385817987,-29.506500349030837,-27.37814138236967,2.3015385560870505,3.402887384568204,False,370.7375626308853,0.8874136281398965,2.0627040185808827,3.094276517085772,520
base_q,Africa,dr,-28.78997186057876,2.5276410147427057,-29.92742626290374,-27.638620358841564,1.378332986811771,3.5280234565363267,False,370.7375626308853,0.8874136281398965,2.0627040185808827,3.094276517085772,520
base_q,Asia,behavior,-32.05985873947522,0.0,-32.91768843249979,-31.27478578342645,,,,538.7975826357776,0.8243485727585733,1.920545236609128,2.864946777817585,740
base_q,Asia,ips,-24.3053143499095,7.754544389565716,-25.318916038021555,-23.182415784123663,6.697231331135195,8.989206925058845,False,538.7975826357776,0.8243485727585733,1.920545236609128,2.864946777817585,740
base_q,Asia,snips,-29.484268127710813,2.5755906117644045,-30.25248746001601,-28.656366853909503,2.1324401603800744,3.001963121679552,False,538.7975826357776,0.8243485727585733,1.920545236609128,2.864946777817585,740
base_q,Asia,dr,-28.53176927173903,3.528089467736187,-29.350021682556875,-27.64830349986239,2.775495342591888,4.35012400327937,False,538.7975826357776,0.8243485727585733,1.920545236609128,2.864946777817585,740
base_q,Europe,behavior,-29.414808007893956,0.0,-30.32339838173704,-28.63075816132809,,,,512.3641880237478,0.9339512393958556,2.018050992032615,2.8311287919021257,670
base_q,Europe,ips,-25.54229767962539,3.872510328268565,-26.575561432339224,-24.304399535548832,2.780557802689557,5.050619285973891,False,512.3641880237478,0.9339512393958556,2.018050992032615,2.8311287919021257,670
base_q,Europe,snips,-27.348641558790497,2.066166449103456,-28.27832217844245,-26.61075805038723,1.6617459544519295,2.49090638479949,False,512.3641880237478,0.9339512393958556,2.018050992032615,2.8311287919021257,670
base_q,Europe,dr,-27.83470985145029,1.5800981564436576,-28.71994624417316,-26.968828034635425,0.8637912533823846,2.391308051145009,False,512.3641880237478,0.9339512393958556,2.018050992032615,2.8311287919021257,670
base_q,North America,behavior,-31.805815948767567,0.0,-32.97689025412659,-30.70932588684164,,,,310.44827747098105,0.8924457414897313,2.1719489224804587,3.1251217542796583,440
base_q,North America,ips,-26.076624861430908,5.729191087336659,-27.593335733532555,-24.56768815854066,4.050707189713838,7.48459033099834,False,310.44827747098105,0.8924457414897313,2.1719489224804587,3.1251217542796583,440
base_q,North America,snips,-29.219283200233583,2.5865327485339837,-30.28163399851511,-28.16820237458773,2.0129416199891845,3.1633530433017336,False,310.44827747098105,0.8924457414897313,2.1719489224804587,3.1251217542796583,440
base_q,North America,dr,-29.601783114264396,2.204032834503174,-30.64031913537944,-28.438643797214738,1.1485821861495569,3.238274865301669,False,310.44827747098105,0.8924457414897313,2.1719489224804587,3.1251217542796583,440
base_q,Oceania,behavior,-30.208032471364525,0.0,-31.92902749934564,-28.394074623878016,,,,141.35195395094422,0.9308915438766172,2.1113906135185734,2.4960533291815548,190
base_q,Oceania,ips,-25.465306801772368,4.742725669592158,-27.62048224947193,-23.187848965761702,2.1782472601546874,7.281762171760925,False,141.35195395094422,0.9308915438766172,2.1113906135185734,2.4960533291815548,190
base_q,Oceania,snips,-27.35582568053449,2.8522067908300315,-29.00708874654505,-25.72679606690675,1.8813693663246929,3.646484123420077,False,141.35195395094422,0.9308915438766172,2.1113906135185734,2.4960533291815548,190
base_q,Oceania,dr,-27.95635382829797,2.251678643066551,-29.814158072107794,-26.13210470036928,0.5376015562880158,4.032853464392412,False,141.35195395094422,0.9308915438766172,2.1113906135185734,2.4960533291815548,190
base_q,South America,behavior,-32.158204120543104,0.0,-33.377823156328375,-31.03197182960294,,,,282.39593935835035,0.9033802432859048,2.0867236703462875,2.726054927697117,390
base_q,South America,ips,-26.23531222095449,5.92289189958861,-27.83139913194189,-24.749081735831552,3.9258339915660256,7.753926162746413,False,282.39593935835035,0.9033802432859048,2.0867236703462875,2.726054927697117,390
base_q,South America,snips,-29.041272947842685,3.1169311727004185,-30.102030769774007,-27.99519189820843,2.5059599789510143,3.684324049310296,False,282.39593935835035,0.9033802432859048,2.0867236703462875,2.726054927697117,390
base_q,South America,dr,-29.64012450506041,2.5180796154826943,-30.81549667945819,-28.474627879690026,1.1163580081448805,3.73660196242704,False,282.39593935835035,0.9033802432859048,2.0867236703462875,2.726054927697117,390
