selection_year,eval_year,n_eval,selected_alpha_dynamic,selected_alpha_graph,selected_alpha_critical,selected_alpha_base,base_roc_auc,selected_roc_auc,delta_auc,base_brier,selected_brier,delta_brier
2019,2020,295,0.0,0.25,0.2,0.55,0.7664886934673367,0.7808312395309883,0.0143425460636515,0.1865822869661591,0.1805184914975579,-0.0060637954686011
2020,2021,295,0.0,0.0,0.2,0.8,0.718498490945674,0.7394366197183099,0.0209381287726359,0.1821470559105796,0.1707854420698223,-0.0113616138407573
2021,2022,295,0.0,0.0,0.2,0.8,0.7674512518749279,0.7821622245298258,0.0147109726548978,0.184226602659999,0.1736688157142647,-0.0105577869457342
2022,2023,295,0.0,0.1,0.2,0.7,0.737509736285746,0.7460776677422944,0.0085679314565484,0.1889837164659535,0.1818856686823415,-0.007098047783612
2023,2024,295,0.2,0.0,0.2,0.6000000000000001,0.7407635467980296,0.7423371647509578,0.0015736179529282,0.1848846708736811,0.1794140070203174,-0.0054706638533637
