alpha_dynamic,alpha_graph,alpha_critical,alpha_base,selection_objective,mean_continent_gain,std_continent_gain,worst_continent_gain,share_positive_continent_gain,robust_score
0.0,0.0,0.0,1.0,0.6350748225418545,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.95,0.6417363548461582,0.0057109843884205,0.0020846551372684,0.0032887375694948,1.0,0.0056774426235251
0.0,0.0,0.1,0.9,0.6512186237215392,0.0162918004181486,0.0073238988584289,0.0085850674105487,1.0,0.016028764533068
0.0,0.0,0.15,0.85,0.6594045711953704,0.02346253355927,0.0097132639127535,0.015888989523162,1.0,0.02317206741932
0.0,0.0,0.2,0.8,0.6675181874757301,0.0349419938561758,0.0117000391921515,0.0252005039073344,1.0,0.0346548580194811
0.0,0.05,0.0,0.95,0.6357118455852018,0.0022298147686639,0.0016871431402055,-3.4372077717392813e-06,0.6666666666666666,0.0021051777328741
0.0,0.05,0.05,0.8999999999999999,0.643040582216295,0.0068812870335396,0.0018388411913901,0.0042953103417747,1.0,0.0068934949317172
0.0,0.05,0.1,0.85,0.6517991574547403,0.01771893716886,0.007876586220969,0.0085814481426784,1.0,0.0174232969694402
0.0,0.05,0.15,0.7999999999999999,0.6602072219069689,0.0245618339181123,0.0112451955796827,0.0158852792252425,1.0,0.02416486625904
0.0,0.05,0.2,0.75,0.6687654988399222,0.0369114846025712,0.013710558319478,0.0262068035894665,1.0,0.0364884534629743
0.0,0.1,0.0,0.9,0.6365709794492383,0.00320292171786,0.0012573925529608,0.0020127564322532,1.0,0.0031322534517708
0.0,0.1,0.05,0.85,0.6438992893845329,0.00891251013961,0.002566196135869,0.0053013119416496,1.0,0.008883703785594
0.0,0.1,0.1,0.8,0.6528799816013757,0.0184818291925666,0.009669746836795,0.007567156692302,1.0,0.0180643526268134
0.0,0.1,0.15,0.75,0.6609538038465116,0.0263245670404181,0.0112308979187255,0.0168910987650188,1.0,0.0259436748330132
0.0,0.1,0.2,0.7,0.6694003822465682,0.0375450992817259,0.0138536348500787,0.0272125320991936,1.0,0.0371233196878139
0.0,0.15,0.0,0.85,0.6369845931113759,0.0043635484546065,0.0016799147470913,0.0020081768796711,1.0,0.0042673506862296
0.0,0.15,0.05,0.7999999999999999,0.6453695588033034,0.0108136765528635,0.0044058842009589,0.0052966413590181,1.0,0.0106671005420158
0.0,0.15,0.1,0.75,0.653404013709014,0.0196506218908092,0.0103858996099721,0.0085724960897224,1.0,0.0191863337453546
0.0,0.15,0.15,0.7,0.6616999529325474,0.027631874394538,0.0108463295541228,0.0199165491525918,1.0,0.0272966706380221
0.0,0.15,0.2,0.6499999999999999,0.6702017405553544,0.038445401996204,0.0143861427069845,0.0282176894365155,1.0,0.0379970489399152
0.0,0.2,0.0,0.8,0.6380654049425949,0.0056516505874637,0.0040378576944064,-1.7175865518082034e-05,0.6666666666666666,0.0053764105140633
0.0,0.2,0.05,0.75,0.6462274002645274,0.0131790186989281,0.0082468651977847,0.0042812985938807,1.0,0.0127423210375588
0.0,0.2,0.1,0.7000000000000001,0.6544283362300867,0.0203544268926994,0.0097144327915271,0.0105873653248387,1.0,0.0199643425431419
0.0,0.2,0.15,0.65,0.6627238487578214,0.0296704514985631,0.01230568469817,0.020040966121698,1.0,0.0292389772470288
0.0,0.2,0.2,0.6000000000000001,0.6714477533590257,0.0404737191887272,0.0147110848913202,0.0292222756014324,1.0,0.040024291013765
0.0,0.25,0.0,0.75,0.6384781528977188,0.0056830449008531,0.0040655004691694,-2.2897762910423225e-05,0.6666666666666666,0.0054098430363996
0.0,0.25,0.05,0.7,0.6469735370351469,0.0140109970802644,0.0093490141410377,0.004275485666439,1.0,0.0135010502388472
0.0,0.25,0.1,0.65,0.6551740463049074,0.0221166400530284,0.0098440451750211,0.0115915623774488,1.0,0.0217311009142878
0.0,0.25,0.15,0.6,0.6636916758110397,0.0325099046720995,0.014933775899848,0.0200733827697464,1.0,0.0318875396654954
0.0,0.25,0.2,0.55,0.6726933333091906,0.0437092191070685,0.0152912115612904,0.032246492614146,1.0,0.043238292397512
0.05,0.0,0.0,0.95,0.641034784177371,0.003033494546147,0.0035369965672664,-0.0010217809457346,0.6666666666666666,0.0021544873914618
0.05,0.0,0.05,0.8999999999999999,0.6484759558774842,0.0120777570217508,0.0101693960366601,0.0002528237707561,1.0,0.0115322280055306
0.05,0.0,0.1,0.85,0.6575138739405963,0.0225518533672691,0.0130152984529997,0.0126259298497155,1.0,0.021959410519004
0.05,0.0,0.15,0.7999999999999999,0.665311106520708,0.0294557609954701,0.0153928721510882,0.0172616178082124,1.0,0.0288290569029601
0.05,0.0,0.2,0.75,0.6729803719887989,0.0386690869487514,0.0166617427315208,0.0255816730589689,1.0,0.0380942585191686
0.05,0.05,0.0,0.8999999999999999,0.6420603108702869,0.0055295501348662,0.0055168872445567,-0.0010257800502752,0.6666666666666666,0.0045098628866776
0.05,0.05,0.05,0.8499999999999999,0.6497792354673467,0.0143756269296471,0.0110761396415528,0.0012588346462676,1.0,0.0137836240168327
0.05,0.05,0.1,0.7999999999999999,0.6579265521378759,0.0219883900184042,0.0140183033317429,0.0115399968016134,1.0,0.0213239603437852
0.05,0.05,0.15,0.7499999999999999,0.6661128094520319,0.0294162257692913,0.0160061547353767,0.0172942875959745,1.0,0.0287564931286647
0.05,0.05,0.2,0.7,0.6737816482243241,0.038559247419631,0.0178814763719409,0.0256138424504244,1.0,0.0379028658235251
0.05,0.1,0.0,0.85,0.6429184969540488,0.0072239176905326,0.0065313349695772,-0.0010303503272208,0.6666666666666666,0.0061370391521557
0.05,0.1,0.05,0.7999999999999999,0.6503588152625649,0.0150200442899354,0.0116036522742281,0.0032743753594747,1.0,0.0143974319624113
0.05,0.1,0.1,0.75,0.6588395207485895,0.0234934358380789,0.0147445762977182,0.0115728821893749,1.0,0.0227891636983962
0.05,0.1,0.15,0.7,0.6667471717742018,0.0295737722588295,0.0176250655561724,0.0168965025374423,1.0,0.0287972139989827
0.05,0.1,0.2,0.6499999999999999,0.6747493993619896,0.0390527962625343,0.019273791010334,0.0252038030186134,1.0,0.0383043845181103
0.05,0.15,0.0,0.7999999999999999,0.6429973473246178,0.0069281323618909,0.0073050526349009,-0.0010354917765715,0.6666666666666666,0.0057773344031539
0.05,0.15,0.05,0.7499999999999999,0.6508823262857272,0.0165253821111748,0.0120783490364951,0.0052893449002768,1.0,0.0158752642631326
0.05,0.15,0.1,0.7,0.6593069691574045,0.0243151130744159,0.0147230733187676,0.0136217738486842,1.0,0.0236219101412255
0.05,0.15,0.15,0.6499999999999999,0.6679374604283551,0.0306714074570917,0.0191585630120667,0.0168910879979438,1.0,0.0297959751738563
0.05,0.15,0.2,0.5999999999999999,0.6754385380534034,0.0392788451065729,0.0202975320287194,0.0241881964389646,1.0,0.0384623168545063
0.05,0.2,0.0,0.75,0.6434095803529737,0.0073540548549875,0.0094837013921182,-0.0030614064185293,0.6666666666666666,0.0046190694068699
0.05,0.2,0.05,0.7,0.6521843073150688,0.0170202129405424,0.0135305485808201,0.0042734402383705,1.0,0.0162799587495411
0.05,0.2,0.1,0.65,0.6604416157353005,0.025749740610943,0.0160180370375684,0.014221777904142,1.0,0.0249756335118065
0.05,0.2,0.15,0.6,0.6689047725548057,0.0326204011881385,0.0191509635291722,0.0158750012759392,1.0,0.0317649231060637
0.05,0.2,0.2,0.55,0.6764054234840551,0.0399012326969809,0.0193963476159203,0.0241821196970116,1.0,0.0391761369065513
0.05,0.25,0.0,0.7,0.6443221037947642,0.0069878512431981,0.0112076704172101,-0.0040777912227915,0.6666666666666666,0.0034217293789254
0.05,0.25,0.05,0.6499999999999999,0.6533189477352568,0.0175842441077458,0.0142972892997334,0.0042670654141602,1.0,0.0168053434676352
0.05,0.25,0.1,0.6,0.6615201935411408,0.024768784750522,0.0167898534876789,0.0115892112923682,1.0,0.0239545038914935
0.05,0.25,0.15,0.5499999999999999,0.6700385595833963,0.0334501304057654,0.0202976923950932,0.0158684443916303,1.0,0.0325255897549887
0.05,0.25,0.2,0.4999999999999999,0.6773162401426511,0.0411156773980814,0.0217084517706135,0.0211451687523506,1.0,0.0402238296084482
0.1,0.0,0.0,0.9,0.6460375723409748,0.0054700175668731,0.0125455378256024,-0.0040734013752283,0.3333333333333333,0.0018342485741474
0.1,0.0,0.05,0.85,0.6548703785409367,0.0160701688522709,0.0157070195291203,0.0042779795791677,1.0,0.0152095184099229
0.1,0.0,0.1,0.8,0.6626850429320938,0.0238527003415249,0.01743942333918,0.0114358789765633,1.0,0.0230097508821952
0.1,0.0,0.15,0.75,0.6708168275596228,0.0322106660090843,0.022166748518711,0.0158924071915267,1.0,0.0311521662279428
0.1,0.0,0.2,0.7,0.677874834459798,0.03814775660864,0.0235070718350925,0.0201655548595903,1.0,0.0371231911001915
0.1,0.05,0.0,0.85,0.647229059009263,0.0068367994987377,0.0144571196569045,-0.0040779623765375,0.3333333333333333,0.0030687409919572
0.1,0.05,0.05,0.7999999999999999,0.6561170744319753,0.0174962971922399,0.0159507472487884,0.0042733275478094,1.0,0.0166410824501392
0.1,0.05,0.1,0.75,0.6633193170232948,0.0238130099016424,0.0180814679123591,0.0105918057033115,1.0,0.0229313823582825
0.1,0.05,0.15,0.7,0.6717844904663192,0.0318335772491663,0.0230772344077964,0.0138673710798677,1.0,0.0307215918550319
0.1,0.05,0.2,0.6499999999999999,0.6790089784263428,0.040512285689098,0.0235896241534952,0.0221808317582862,1.0,0.0395037988745081
0.1,0.1,0.0,0.8,0.6480862973127502,0.0081335691292253,0.0170036714088793,-0.0050931955603528,0.3333333333333333,0.0034682680196859
0.1,0.1,0.05,0.75,0.656584434609821,0.0179214804685039,0.0180478037866244,0.0022479023238438,1.0,0.0169078484069332
0.1,0.1,0.1,0.7000000000000001,0.664898968876322,0.0257817842388602,0.0201291153897443,0.0115001624573637,1.0,0.02476793793437
0.1,0.1,0.15,0.65,0.6730855360308027,0.0330003715517668,0.0239736854909904,0.0148720668261068,1.0,0.0318426909822665
0.1,0.1,0.2,0.6000000000000001,0.6806434128063218,0.0413416816716628,0.024743503030696,0.0221753354643748,1.0,0.0402735732344965
0.1,0.15,0.0,0.75,0.6486649231699858,0.0093020514000609,0.0179035547996837,-0.0040887978963711,0.3333333333333333,0.005279410501189
0.1,0.15,0.05,0.7,0.6575520852011008,0.0180304506157947,0.0184213894427725,0.0042623099678772,1.0,0.0170062847135578
0.1,0.15,0.1,0.65,0.6654767413419602,0.0257412818354365,0.0207714139324081,0.0105806060632808,1.0,0.024687607096846
0.1,0.15,0.15,0.6,0.6736628818006424,0.0327616834675202,0.0236192099780838,0.0148660903898396,1.0,0.0316439078544492
0.1,0.15,0.2,0.55,0.681721055147304,0.0425073720091574,0.0256405793307157,0.0231793690081596,1.0,0.0413890503148091
0.1,0.2,0.0,0.7,0.6492987520922634,0.0097271206961187,0.0199568093277071,-0.0061152744350977,0.3333333333333333,0.0041343624363419
0.1,0.2,0.05,0.6499999999999999,0.6581854874275799,0.0182573342310296,0.0194560693287437,0.0032458434092025,1.0,0.0171630619824446
0.1,0.2,0.1,0.6,0.6664991683024837,0.0270262816075457,0.0222860309499919,0.0085539474644558,1.0,0.0258718860467589
0.1,0.2,0.15,0.5499999999999999,0.6741285228798771,0.0332542651331786,0.0250322101068943,0.0138494417710662,1.0,0.0320327623313875
0.1,0.2,0.2,0.4999999999999999,0.6822975413678379,0.0441877205427361,0.0252880362411319,0.0221626293593371,1.0,0.0431091320199652
0.1,0.25,0.0,0.65,0.6499321481610341,0.011558629748647,0.0192952569401172,-0.0041019181058254,0.6666666666666666,0.0074408130317434
0.1,0.25,0.05,0.6,0.658707184963454,0.019017999898682,0.0212515455009277,0.0022288056781226,1.0,0.0177905235070397
0.1,0.25,0.1,0.55,0.6673542546538535,0.027192016866235,0.0249824483430669,0.0075368187033266,1.0,0.0258390096410296
0.1,0.25,0.15,0.5,0.6751500902910951,0.0330147650853906,0.0246783353869911,0.0138423229899888,1.0,0.0318420036094161
0.1,0.25,0.2,0.45,0.6839306771872966,0.0450855048995952,0.0257708473876931,0.0231655205583113,1.0,0.0440009542014886
0.15,0.0,0.0,0.85,0.6521417160189792,0.0068371947525945,0.0215291061853412,-0.0105408545115366,0.3333333333333333,-0.0019223940307659
0.15,0.0,0.05,0.7999999999999999,0.6606970791623193,0.0160925825285292,0.0216015668894794,0.0004166906302587,1.0,0.0148769023097802
0.15,0.0,0.1,0.75,0.6686793878452469,0.0237361698827442,0.0245705722461569,0.0061875618476467,1.0,0.0224426154091195
0.15,0.0,0.15,0.7,0.6756435547193699,0.0310860723775409,0.0260788248108273,0.0108291547798684,1.0,0.0298111410362251
0.15,0.0,0.2,0.6499999999999999,0.6830361136669626,0.0404974230366573,0.0283599678997943,0.0181386746454335,1.0,0.0391878514271759
0.15,0.05,0.0,0.7999999999999999,0.6531653471513459,0.0082727298070266,0.0228562223293527,-0.0105084556258845,0.3333333333333333,-0.0005498764252508
0.15,0.05,0.05,0.7499999999999999,0.6614421040061423,0.0172603255825321,0.0225290906573493,0.0004485891196041,1.0,0.0159853439592299
0.15,0.05,0.1,0.7,0.6692014423190753,0.0242994205996175,0.0253485857023558,0.0062189599406856,1.0,0.0229540661389734
0.15,0.05,0.15,0.6499999999999999,0.6773891727054778,0.032717001179455,0.0283645439669894,0.0108237587916429,1.0,0.0312941246653683
0.15,0.05,0.2,0.5999999999999999,0.6844474894459779,0.0404650453612323,0.0300715267138579,0.0181331876271587,1.0,0.0390467765622062
0.15,0.1,0.0,0.75,0.6536321862447153,0.0082331761550054,0.0234567685660049,-0.0104763415365396,0.3333333333333333,-0.0006056571317955
