continent,train_rows,specialized,lambda_raw,lambda_shrunk,raw_train_objective,shrunk_train_objective
Africa,468,1,0.8,0.8598802395209582,0.6914842604803003,0.6909503749351226
Asia,666,0,1.0,1.0,0.7267113793241604,0.7267113793241604
Europe,603,0,1.0,1.0,0.7617123425358197,0.7617123425358197
North America,396,0,1.0,1.0,0.6515656480345074,0.6515656480345074
Oceania,171,0,1.0,1.0,0.7036682299633251,0.7036682299633251
South America,351,0,1.0,1.0,0.7116902414733349,0.7116902414733349
