alert_rank,city_id,city_name,country,continent,alert_level,alert_score,nowcast_stall_risk_score,nowcast_acceleration_score,nowcast_composite_index,nowcast_delta_composite,uncertainty_score,source_quality_score,sentinel_score,sentinel_type,composite_shock_z,composite_changepoint_prob,trajectory_regime,phase_label,archetype,pulse_quadrant
22,manila_ph,Manila,Philippines,Asia,acceleration_opportunity,0.0,29.56027578257256,74.29322066845505,29.688500136521817,-0.04945851473563323,18.466505517641558,100.0,23.982903362682023,steady_transition,1.0356486373748428,0.5070148798762715,stalling_plateau,directional_drift,frontier_accelerator,accelerating
23,munich_de,Munich,Germany,Europe,acceleration_opportunity,0.0,38.07046350804141,83.049463876069,30.89671016996106,-0.022105163654700277,23.21907244407349,100.0,27.962662161450293,steady_transition,1.3877513488908886,0.48338316140212834,stalling_plateau,rotational_transition,frontier_accelerator,steady
24,nairobi_ke,Nairobi,Kenya,Africa,acceleration_opportunity,0.0,31.986507911296393,75.07645503727417,32.220414320730356,-0.028521894388127578,24.7138023314884,100.0,21.756785747465344,steady_transition,0.9023783372306584,0.33620443043429804,volatile_rebound,directional_drift,frontier_accelerator,accelerating
25,port_au_prince_ht,Port-au-Prince,Haiti,North America,acceleration_opportunity,0.0,35.70329412244134,83.2866863685309,22.227088344691943,-0.14857169366808165,21.19539654887229,100.0,22.024002891316233,steady_transition,0.8425821602458635,0.2984081518648567,stalling_plateau,centrifugal_fragility,fragile_rebound,steady
26,prague_cz,Prague,Czechia,Europe,acceleration_opportunity,0.0,30.964536861483918,74.68576810285656,31.633673167753646,-0.05837795332199747,18.94750939809752,100.0,20.698347659216207,steady_transition,0.6337651678697386,0.3618315734214961,stalling_plateau,directional_drift,frontier_accelerator,steady
27,pune_in,Pune,India,Asia,acceleration_opportunity,0.0,23.672864477719585,76.42719710604312,25.341333073740547,-0.2904638416950185,17.829235330124497,100.0,15.827351012767329,steady_transition,0.16061240118801975,0.3196404709675972,stalling_plateau,directional_drift,fragile_rebound,steady
28,queretaro_mx,Queretaro,Mexico,North America,acceleration_opportunity,0.0,32.21736747110692,78.09846682599586,33.63743774082764,-0.07833001336517498,21.666406379095918,100.0,18.015550727536805,steady_transition,0.6078700341959327,0.1829835529224868,volatile_rebound,directional_drift,frontier_accelerator,accelerating
29,san_jose_cr,San Jose,Costa Rica,North America,acceleration_opportunity,0.0,26.26273372901275,72.46779479714179,24.851224953822342,-0.1487675191163511,17.54772285075716,100.0,15.847438043576236,steady_transition,0.5168659855978747,0.21052180962736633,stalling_plateau,directional_drift,fragile_rebound,steady
30,suva_fj,Suva,Fiji,Oceania,acceleration_opportunity,0.0,34.93785686982186,77.07185899502575,23.853105966191325,-0.040186286688065564,20.103346691398905,100.0,23.52255598941285,steady_transition,0.96191905930798,0.3807205298260615,stalling_plateau,centrifugal_fragility,frontier_accelerator,steady
31,turin_it,Turin,Italy,Europe,acceleration_opportunity,0.0,35.70064271274136,77.30418143755365,31.787158629655394,-0.033105978284545756,21.94136203511931,100.0,19.992652135258226,steady_transition,0.7657808356204446,0.19592202942793568,volatile_rebound,centrifugal_fragility,frontier_accelerator,steady
32,valparaiso_cl,Valparaiso,Chile,South America,acceleration_opportunity,0.0,33.2653729219439,74.20889198827349,30.53921977449223,0.019469567265950616,21.693701684733462,100.0,20.365025578193357,steady_transition,0.9835151068805876,0.2298513280315435,stalling_plateau,centrifugal_fragility,frontier_accelerator,steady
