scope,continent,model,n_obs,mae,rmse,r2,directional_accuracy,ternary_accuracy,deceleration_event_share,deceleration_score_mean,coverage95,mae_skill_vs_naive
global,Global,naive_last,1770,13.419247923966887,17.864831420749564,-0.3065763128150354,0.0,0.0446327683615819,0.4248587570621469,0.0,,0.0
global,Global,pulse_ai_dynamic_ensemble,1770,11.28407769499764,14.31375208079203,0.1612280135368369,0.6706214689265537,0.6237288135593221,0.4248587570621469,0.6701835824935743,0.8468926553672317,0.1591125107060446
global,Global,ridge_ar2,1770,13.004798768159546,16.43294213222591,-0.1055225041126588,0.6785310734463277,0.6293785310734463,0.4248587570621469,-1.3281269405668572,,0.0308846783482651
global,Global,ridge_full,1770,13.870973010005777,17.569814255587207,-0.2637794124455497,0.6276836158192091,0.5870056497175141,0.4248587570621469,7.666757121513329,,-0.0336624741265942
continent,Africa,naive_last,312,13.77496481183519,18.936627270671806,-0.3301777602406535,0.0,0.048076923076923,0.4038461538461538,0.0,,-0.0265079600499063
continent,Africa,pulse_ai_dynamic_ensemble,312,11.867458335304974,15.006081083780357,0.1647066999780621,0.6762820512820513,0.6121794871794872,0.4038461538461538,1.2065622318139926,0.8237179487179487,0.1156390877830346
continent,Africa,ridge_ar2,312,13.975929620752204,17.440844458181907,-0.1283385813292101,0.6794871794871795,0.6185897435897436,0.4038461538461538,-2.7426690516086216,,-0.0414838223378435
continent,Africa,ridge_full,312,14.042831926534427,17.818334490701897,-0.1777107386410035,0.625,0.5705128205128205,0.4038461538461538,7.635878744679557,,-0.0464693704223031
continent,Asia,naive_last,444,13.09406263008184,17.444492155216324,-0.2141794082470349,0.0,0.054054054054054,0.4121621621621621,0.0,,0.0242327510250602
continent,Asia,pulse_ai_dynamic_ensemble,444,10.54972450089915,13.64567108333278,0.257056137590138,0.6756756756756757,0.6328828828828829,0.4121621621621621,-0.2899916553228378,0.8581081081081081,0.213836381839458
continent,Asia,ridge_ar2,444,13.111635323404991,16.603462840284916,-0.0999262095264406,0.6531531531531531,0.6036036036036037,0.4121621621621621,-2.4685604757315454,,0.0229232370029096
continent,Asia,ridge_full,444,13.494154020545787,17.122679716213234,-0.1697947502766836,0.6238738738738738,0.5720720720720721,0.4121621621621621,7.125623718113605,,-0.0055819891698338
continent,Europe,naive_last,402,12.971624773937153,17.662690598869318,-0.2755288603245174,0.0,0.044776119402985,0.4751243781094527,0.0,,0.0333567985751479
continent,Europe,pulse_ai_dynamic_ensemble,402,11.923692985952922,15.31500229376047,0.0410174622661306,0.6467661691542289,0.5970149253731343,0.4751243781094527,1.6555033576198763,0.818407960199005,0.111448491486836
continent,Europe,ridge_ar2,402,13.339053838238852,16.798678136249887,-0.1537900379585002,0.6766169154228856,0.6442786069651741,0.4751243781094527,2.2971661305219944,,0.0059760491931002
continent,Europe,ridge_full,402,14.811160430538548,18.864993589278683,-0.4550901158306031,0.6318407960199005,0.5945273631840796,0.4751243781094527,9.248648784993748,,-0.1037250756866705
continent,North America,naive_last,264,12.562305781957727,16.167012958957194,-0.2630770573761218,0.0,0.034090909090909,0.4090909090909091,0.0,,0.0638591780153829
continent,North America,pulse_ai_dynamic_ensemble,264,10.619173369880206,13.139683438429271,0.1656657377377151,0.6439393939393939,0.6136363636363636,0.4090909090909091,0.3159226948894149,0.8939393939393939,0.208661064312384
continent,North America,ridge_ar2,264,12.029605807577475,15.155825818314035,-0.1100166281376684,0.6628787878787878,0.625,0.4090909090909091,-2.2968475191195323,,0.1035558866087793
continent,North America,ridge_full,264,12.382225952210922,15.788075332045812,-0.2045605998832507,0.625,0.6022727272727273,0.4090909090909091,6.744445680702942,,0.0772786953212062
continent,Oceania,naive_last,114,16.96964607516098,20.856320116980747,-0.5541401695254946,0.0,0.0175438596491228,0.4210526315789473,0.0,,-0.2645750470749597
continent,Oceania,pulse_ai_dynamic_ensemble,114,13.376035190161454,16.22870536577812,0.0590152851618956,0.6842105263157895,0.6491228070175439,0.4210526315789473,0.8372465303058836,0.7807017543859649,0.0032202053386505
continent,Oceania,ridge_ar2,114,14.117155838166765,17.744184812568054,-0.1249336861788434,0.7105263157894737,0.6403508771929824,0.4210526315789473,-0.1109839777041419,,-0.0520079752721018
continent,Oceania,ridge_full,114,16.135248755302197,19.14884898209432,-0.3100870862973408,0.6491228070175439,0.631578947368421,0.4210526315789473,7.622847100430965,,-0.2023959052492434
continent,South America,naive_last,234,13.568095975404043,17.771197111193437,-0.5727393949769994,0.0,0.047008547008547,0.4102564102564102,0.0,,-0.0110921306678679
continent,South America,pulse_ai_dynamic_ensemble,234,10.531788373724748,13.044811085210988,0.1525794613882961,0.717948717948718,0.6666666666666666,0.4102564102564102,0.4024434785561276,0.8846153846153846,0.2151729788884154
continent,South America,ridge_ar2,234,11.491309199369269,14.71844500868398,-0.078815696522519,0.7307692307692307,0.6666666666666666,0.4102564102564102,-3.006290407866043,,0.1436696553727354
continent,South America,ridge_full,234,13.318127260446682,16.85658575740121,-0.4150201564901283,0.6239316239316239,0.5854700854700855,0.4102564102564102,7.079034039204863,,0.0075354940972216
