continent,year,city_count,envelope_score_mean,envelope_score_p25,envelope_score_p75,envelope_score_std,mean_delta_1y,mean_trend_3y,yoy_change
Africa,2015,52,34.26005604309226,33.11795971529968,34.926765811132526,1.149590579230097,0.0,0.0,0.0
Africa,2016,52,53.75776559092139,52.51316430756675,54.349080409574725,2.451550980645853,65.41120489161258,0.0,19.497709547829125
Africa,2017,52,64.54674212378545,58.4186801052989,67.89690271383633,12.433352802907809,-13.211567045923225,26.09981892284468,10.788976532864062
Africa,2018,52,57.76880307054363,50.62429859828407,66.1701323337147,10.887671696566803,-6.21565261618388,15.327995076501823,-6.777939053241816
Africa,2019,52,51.206034534424745,46.193642028975525,54.35105031105197,6.938311856612972,-0.428300133771191,-6.618506598626099,-6.562768536118888
Africa,2020,52,56.247469237056364,52.10230009115505,61.329580816414655,9.13292327017476,6.509275043266332,-0.0448925688962471,5.041434702631619
Africa,2021,52,51.34308914654434,45.56936808440543,55.69019148708029,9.026654254319572,-7.000542229182143,-0.3065224398956674,-4.904380090512028
Africa,2022,52,53.44010496373301,49.66997015615312,56.460774429483145,9.358691003122985,1.072640034646505,0.1937909495768981,2.0970158171886766
Africa,2023,52,58.91544429549404,55.36039500742851,63.32638716850244,7.38108319609697,12.54134696116257,2.2044815888756446,5.475339331761028
Africa,2024,52,51.823226300898334,46.77586782201948,55.43636183837487,8.181234435142349,-14.129625903540642,-0.1718796359105221,-7.092217994595707
Africa,2025,52,57.66074038840423,51.54120016265865,61.606844336446336,7.578840178539337,10.302754344804251,2.9048251341420603,5.837514087505895
Asia,2015,74,34.34549782882727,33.147070193087856,35.178728378877025,1.162623625073365,0.0,0.0,0.0
Asia,2016,74,54.72062232890878,52.82386623572079,56.743597131668494,2.790749308383277,67.66815519181971,0.0,20.37512450008151
Asia,2017,74,65.4278775714863,57.86161577352702,68.68882410577251,11.646366334390985,-14.245798846105542,26.711178172857085,10.707255242577524
Asia,2018,74,56.65448042817993,49.64569322448471,62.31132442260633,10.13111665980392,-10.029248981060544,14.46436912155121,-8.773397143306376
Asia,2019,74,48.45412336695183,43.5125934026243,51.736376916795095,8.788386251371191,0.1483604129314586,-8.04222913807821,-8.200357061228097
Asia,2020,74,58.31612372138864,54.828181887928594,62.53703099677817,8.174455143441403,13.375515239500524,1.164875557123813,9.862000354436807
Asia,2021,74,54.258019659297005,49.76361994985498,59.01096959104631,8.346801684243468,-8.226363025964746,1.7658375421557455,-4.058104062091637
Asia,2022,74,54.91291227695308,50.36224139950899,59.04904339205969,9.428271374015711,-0.845530677389703,1.4345405120486916,0.6548926176560741
Asia,2023,74,56.387182686324046,50.81338362973202,60.81362584298999,8.513107847522651,5.027218259365754,-1.348225147996232,1.4742704093709662
Asia,2024,74,49.38710204903926,44.821470501202846,54.106285675314666,9.074753515793027,-10.482510705810974,-2.100274374611641,-7.000080637284789
Asia,2025,74,56.56061139571488,52.753682744664445,59.72297895081407,6.846305915262223,8.351064934333305,0.9652574959626944,7.173509346675623
Europe,2015,67,34.08417578828692,33.1005117049446,34.85121553200074,0.9707750569917428,0.0,0.0,0.0
Europe,2016,67,53.94671522350405,52.31983156094188,53.95872495195563,3.0722603859265885,68.2624775841386,0.0,19.86253943521713
Europe,2017,67,73.60988673361807,61.841971671855006,83.4224517825939,12.295789743866736,-1.954287980403732,33.15409480186744,19.66317151011402
Europe,2018,67,60.04414698929162,50.37558527592882,72.53750835088167,11.171828891156704,-15.537671821502618,16.923505927410748,-13.56573974432645
Europe,2019,67,52.058896875381365,44.10823415771477,62.239785468191386,9.698567962365267,-1.2568632102040425,-6.2496076707034645,-7.985250113910254
Europe,2020,67,59.54019691756714,53.781905403106265,65.47527525727497,7.115335221312818,12.352083081344498,-1.4808173167873877,7.481300042185772
Europe,2021,67,57.07849710360985,51.66648621157704,62.8136403754541,7.529577900315374,-6.227145096537305,1.6226915915343836,-2.4616998139572885
Europe,2022,67,56.6199558094762,50.562717003602685,63.064722015514704,8.275233292684865,-4.669076606567185,0.4852871260800023,-0.4585412941336528
Europe,2023,67,55.73660321467956,49.987852603989296,60.674990181811225,8.060912741723602,4.36598269255912,-2.176746336848457,-0.8833525947966336
Europe,2024,67,52.10781353983156,47.531314488340925,57.20089512020856,8.190805814319672,-7.564651502364472,-2.6225818054575125,-3.628789674848001
Europe,2025,67,56.96664708979759,51.34914069868568,62.66949787002461,9.088353202001825,6.069698927229926,0.9570100391415244,4.858833549966029
North America,2015,44,34.65103640074341,34.081906737906465,34.94577878217149,1.0927252814666,0.0,0.0,0.0
North America,2016,44,53.819893457595846,52.44347447278499,54.23236518508182,2.1699058240379983,62.29602460249016,0.0,19.16885705685244
North America,2017,44,63.81494104634181,59.34286660261248,65.24101971224357,8.849538109301273,-11.607728868810694,25.344147866839737,9.995047588745962
North America,2018,44,59.810000871736335,54.02788076816914,67.00705258554515,8.174122823406826,-1.9915367815067575,16.23225298405757,-4.004940174605473
North America,2019,44,51.44942686170156,45.37978543341826,57.07889951895587,8.10332874089536,-3.2117751401895345,-5.603680263502329,-8.360574010034775
North America,2020,44,57.563100532171774,51.73225873702245,62.40848727286002,9.443192920930526,8.216168180856211,1.0042854197199729,6.113673670470213
North America,2021,44,52.982404524399655,48.27422852859407,60.63452790356944,8.125794498178927,-6.659646517081068,-0.551751158804797,-4.580696007772119
North America,2022,44,54.53803814062842,50.01368575520381,60.23980061590194,7.984984983706432,0.2449332868763541,0.6004849835504991,1.5556336162287678
North America,2023,44,56.74399066704073,53.057482269692734,60.08563139039127,6.479927316163817,5.358955961531066,-0.3519190895578827,2.205952526412304
North America,2024,44,49.680680040558336,45.547602090603135,54.422863828793794,7.76425995667884,-10.83089824265099,-1.7423363314145237,-7.063310626482391
North America,2025,44,56.16289790237816,52.5078794060641,59.47010080276711,6.944277750644495,8.15706422118371,0.895040646687928,6.482217861819819
