scenario,mean_delta_h1,mean_delta_h2,mean_delta_h3,std_delta_h1,p90_delta_h1,p10_delta_h1,share_improved_h1,worst10_mean_h1,best10_mean_h1,mean_delta_h1_ci_low,mean_delta_h1_ci_high,mean_delta_h1_p_value
resilience_upgrade,-0.0048878808052968,-0.0037377912040505,-0.0028752240031158,0.0011272750113717,-0.0034835779280935,-0.0064564310516681,1.0,-0.0064564310516681,-0.0034835779280935,-0.005031591987229,-0.0047553261615552,0.0
anti_overheating,0.0130271457209616,0.0099619349630882,0.0076630268946833,0.0035792467198282,0.0178566138309683,0.0095209128090237,0.0,0.0095209128090237,0.0178566138309683,0.0125942104519586,0.01343121055542,0.0
innovation_pulse,0.1143571101863296,0.0874495548483697,0.0672688883448997,0.0193431789682668,0.1375354757487142,0.0911421239167172,0.0,0.0911421239167172,0.1375354757487142,0.1123824453256756,0.1163657963437943,0.0
