rel_year,n_variants,coef_min,coef_q25,coef_median,coef_q75,coef_max,coef_weighted_mean,coef_std,share_positive,share_negative,share_conflict,post_period,coef_band_iqr,coef_band_full
-3,5,0.0387295214127068,0.0387295214127068,0.0387295214127068,0.0387295214127068,0.0387295214127068,0.0387295214127068,1.7554167342883506e-17,1.0,0.0,0.0,0,0.0,4.163336342344337e-17
-2,5,0.0232099144829191,0.0232099144829191,0.0232099144829191,0.0232099144829191,0.0232099144829191,0.0232099144829191,1.5515838457795458e-18,1.0,0.0,0.0,0,0.0,3.469446951953614e-18
-1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0,5,-0.0076657241706922,-0.0076657241706922,-0.0076657241706922,-0.0076657241706922,-0.0076657241706922,-0.0076657241706922,2.568328261637574e-17,0.0,1.0,0.0,1,0.0,6.418476861114186e-17
1,5,0.050792550080346,0.050792550080346,0.050792550080346,0.050792550080346,0.050792550080346,0.050792550080346,3.3565890684838566e-17,1.0,0.0,0.0,1,0.0,8.326672684688674e-17
2,5,0.0903273798292963,0.0903273798292963,0.0903273798292963,0.0903273798292963,0.0903273798292963,0.0903273798292963,1.2412670766236365e-17,1.0,0.0,0.0,1,0.0,1.3877787807814457e-17
3,5,0.1205979185598538,0.1205979185598538,0.1205979185598538,0.1205979185598538,0.1205979185598538,0.1205979185598538,1.8619006149354548e-17,1.0,0.0,0.0,1,0.0,4.163336342344337e-17
