scope,continent,from_state,to_state,n_transitions,from_total,probability,prob_ci_low_95,prob_ci_high_95,upgrade_step
continent,Africa,resilient_accelerator,fragile_boom,8,26,0.3076923076923077,0.1650112093979267,0.4998861151423124,-1
continent,Africa,resilient_accelerator,recovery_window,7,26,0.2692307692307692,0.1370427552506739,0.460834034197613,-3
continent,Africa,resilient_accelerator,transitional,11,26,0.4230769230769231,0.255441899027294,0.6105170307888017,-2
continent,Africa,fragile_boom,fragile_boom,25,120,0.2083333333333333,0.1452834143379908,0.2894784104446347,0
continent,Africa,fragile_boom,recovery_window,29,120,0.2416666666666666,0.1738573324150334,0.3255031409638635,-2
continent,Africa,fragile_boom,stall_trap,10,120,0.0833333333333333,0.0458931548167303,0.1466237377298776,-3
continent,Africa,fragile_boom,transitional,56,120,0.4666666666666667,0.3798276424616983,0.5555737089420304,-1
continent,Africa,transitional,fragile_boom,52,233,0.223175965665236,0.1744474901451265,0.2808846812301724,1
continent,Africa,transitional,recovery_window,63,233,0.2703862660944206,0.2174207991616358,0.3308004592659376,-1
continent,Africa,transitional,resilient_accelerator,2,233,0.0085836909871244,0.0023570731889928,0.0307519752214215,2
continent,Africa,transitional,transitional,116,233,0.4978540772532189,0.4342103370471987,0.5615674317231526,0
continent,Africa,recovery_window,fragile_boom,35,111,0.3153153153153153,0.2362875116059382,0.4066990019919217,2
continent,Africa,recovery_window,recovery_window,17,111,0.1531531531531531,0.0978739522624506,0.2316373049823108,0
continent,Africa,recovery_window,resilient_accelerator,11,111,0.0990990990990991,0.0562396379501553,0.1687798671769066,3
continent,Africa,recovery_window,transitional,48,111,0.4324324324324324,0.3440548366745577,0.5253304731783179,1
continent,Africa,stall_trap,fragile_boom,9,30,0.3,0.1666456264395893,0.4787612101166018,3
continent,Africa,stall_trap,recovery_window,11,30,0.3666666666666666,0.2187370220401767,0.5448675356639506,1
continent,Africa,stall_trap,stall_trap,1,30,0.0333333333333333,0.0059084379948573,0.1667075139695887,0
continent,Africa,stall_trap,transitional,9,30,0.3,0.1666456264395893,0.4787612101166018,2
continent,Asia,resilient_accelerator,fragile_boom,21,42,0.5,0.3552574591652803,0.6447425408347197,-1
continent,Asia,resilient_accelerator,recovery_window,8,42,0.1904761904761904,0.0998188960985643,0.3330106735499644,-3
continent,Asia,resilient_accelerator,transitional,13,42,0.3095238095238095,0.1907092651972273,0.4602627776634059,-2
continent,Asia,fragile_boom,fragile_boom,30,177,0.1694915254237288,0.121380527942073,0.2316444397644723,0
continent,Asia,fragile_boom,recovery_window,39,177,0.2203389830508474,0.1655788470751597,0.2869807409842247,-2
continent,Asia,fragile_boom,stall_trap,23,177,0.1299435028248587,0.0881711169006369,0.1874380349759224,-3
continent,Asia,fragile_boom,transitional,85,177,0.480225988700565,0.407827125455326,0.5534649666296809,-1
continent,Asia,transitional,fragile_boom,96,338,0.2840236686390532,0.2385845673799715,0.3343170338294775,1
continent,Asia,transitional,recovery_window,62,338,0.1834319526627219,0.1458078647521782,0.2281711945548223,-1
continent,Asia,transitional,resilient_accelerator,3,338,0.0088757396449704,0.0030229989080035,0.0257669435682778,2
continent,Asia,transitional,transitional,177,338,0.5236686390532544,0.470456796924006,0.5763485070530406,0
