event_id,source_rank,source_url,source_domain,source_track,source_ref
pevt_000001,1,https://projects.worldbank.org/en/projects-operations/project-detail/P153243,projects.worldbank.org,external_direct,wb_project:P153243|P155323
pevt_000001,2,https://projects.worldbank.org/en/projects-operations/project-detail/P155323,projects.worldbank.org,external_direct,wb_project:P153243|P155323
pevt_000002,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166564,projects.worldbank.org,external_direct,wb_project:P166564
pevt_000003,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163610,projects.worldbank.org,external_direct,wb_project:P163610
pevt_000004,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168336,projects.worldbank.org,external_direct,wb_project:P168336|P176630
pevt_000004,2,https://projects.worldbank.org/en/projects-operations/project-detail/P176630,projects.worldbank.org,external_direct,wb_project:P168336|P176630
pevt_000005,1,https://projects.worldbank.org/en/projects-operations/project-detail/P169983,projects.worldbank.org,external_direct,wb_project:P169983
pevt_000006,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177004,projects.worldbank.org,external_direct,wb_project:P177004|P178040|P178043
pevt_000006,2,https://projects.worldbank.org/en/projects-operations/project-detail/P178040,projects.worldbank.org,external_direct,wb_project:P177004|P178040|P178043
pevt_000006,3,https://projects.worldbank.org/en/projects-operations/project-detail/P178043,projects.worldbank.org,external_direct,wb_project:P177004|P178040|P178043
pevt_000007,1,https://projects.worldbank.org/en/projects-operations/project-detail/P178035,projects.worldbank.org,external_direct,wb_project:P178035|P180631
pevt_000007,2,https://projects.worldbank.org/en/projects-operations/project-detail/P180631,projects.worldbank.org,external_direct,wb_project:P178035|P180631
pevt_000008,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179512,projects.worldbank.org,external_direct,wb_project:P179512
pevt_000009,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179513,projects.worldbank.org,external_direct,wb_project:P179513
pevt_000010,1,https://projects.worldbank.org/en/projects-operations/project-detail/P181160,projects.worldbank.org,external_direct,wb_project:P181160|P181495
pevt_000010,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181495,projects.worldbank.org,external_direct,wb_project:P181160|P181495
pevt_000011,1,https://projects.worldbank.org/en/projects-operations/project-detail/P149765,projects.worldbank.org,external_direct,wb_project:P149765
pevt_000012,1,https://projects.worldbank.org/en/projects-operations/project-detail/P132982,projects.worldbank.org,external_direct,wb_project_regional:P132982|P145634|P152567
pevt_000012,2,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,external_direct,wb_project_regional:P132982|P145634|P152567
pevt_000012,3,https://projects.worldbank.org/en/projects-operations/project-detail/P152567,projects.worldbank.org,external_direct,wb_project_regional:P132982|P145634|P152567
