sentinel_rank,city_id,city_name,country,continent,sentinel_type,sentinel_score,composite_shock_z,composite_changepoint_prob,signal_drift_1y,nowcast_stall_risk_score,nowcast_acceleration_score,nowcast_stall_pressure,alert_level,trajectory_regime,phase_label
28,bamako_ml,Bamako,Mali,Africa,upshift_break,45.99789669531912,3.0114327854751797,0.6082550394705548,2.336914414806845,69.99395006286542,100.0,-30.006049937134577,stable_watch,late_takeoff,centrifugal_fragility
29,christchurch_nz,Christchurch,New Zealand,Oceania,upshift_break,45.322815030118406,3.083206778555124,0.7057596653132668,2.3477668195541703,62.96970770044255,89.0769323098532,-26.107224609410657,stable_watch,stable_mature,centrifugal_fragility
30,merida_mx,Merida,Mexico,North America,upshift_break,44.206211345992486,3.089753373809414,0.7663360944693454,1.7380026771581534,55.92804406915244,86.1681659691701,-30.240121900017662,stable_watch,stable_mature,centrifugal_fragility
31,rotterdam_nl,Rotterdam,Netherlands,Europe,upshift_break,43.63181072737273,3.35802047868016,0.6509965574866949,2.111146421902788,57.84985948695261,94.20981366488823,-36.35995417793562,stable_watch,stable_mature,centrifugal_fragility
32,curitiba_br,Curitiba,Brazil,South America,upshift_break,43.009904595995195,2.785959720543316,0.6093845601220635,1.9196463997333026,63.94072623333615,91.00107949483623,-27.060353261500083,stable_watch,persistent_accelerator,centrifugal_fragility
33,havana_cu,Havana,Cuba,North America,upshift_break,41.54742161860194,2.461224446196688,0.5293974961080081,2.957745320856226,66.6147806786913,100.0,-33.385219321308696,stable_watch,persistent_accelerator,centrifugal_fragility
34,cusco_pe,Cusco,Peru,South America,upshift_break,40.20430984526225,2.354959814728695,0.5124292828494503,2.709104453217801,63.68951533932743,100.0,-36.31048466067257,stable_watch,stable_mature,centrifugal_fragility
35,amsterdam_nl,Amsterdam,Netherlands,Europe,upshift_break,39.95320200640299,3.065442740328889,0.6154847611972654,1.4721690037223496,51.689189937215126,82.35797951634088,-30.66878957912575,stable_watch,stable_mature,centrifugal_fragility
36,cape_town_za,Cape Town,South Africa,Africa,upshift_break,37.92853916182792,2.1297880735522874,0.6235183379037252,1.6816000823481687,53.09510872459627,78.89571450808381,-25.80060578348754,stable_watch,stalling_plateau,centrifugal_fragility
37,edmonton_ca,Edmonton,Canada,North America,upshift_break,37.49038578271039,3.0962854800304807,0.6001943175616741,1.2398245471711995,46.61138130227238,78.9850710697785,-32.37368976750612,stable_watch,stable_mature,centrifugal_fragility
38,tripoli_ly,Tripoli,Libya,Africa,upshift_break,36.93890163739065,2.325001980635386,0.5075360374552145,1.7739785552139864,55.044129152969276,92.059160204627,-37.01503105165773,stable_watch,persistent_accelerator,centrifugal_fragility
39,brasilia_br,Brasilia,Brazil,South America,upshift_break,36.77697055801483,2.270870034525976,0.4985693726755325,1.326758872544744,55.8267343271829,82.81003662726289,-26.98330230007999,stable_watch,volatile_rebound,centrifugal_fragility
40,hamburg_de,Hamburg,Germany,Europe,upshift_break,35.54711919644223,2.048701583708068,0.4723462608776915,1.6819963422279756,56.488752025503636,82.5416338901786,-26.052881864674966,stable_watch,stable_mature,centrifugal_fragility
41,belo_horizonte_br,Belo Horizonte,Brazil,South America,upshift_break,34.426071767988304,2.147176861126229,0.5828072762587131,1.3089553520969197,44.202899322731284,83.05715984474705,-38.854260522015764,stable_watch,stalling_plateau,directional_drift
42,panama_city_pa,Panama City,Panama,North America,upshift_break,34.402730761799745,2.087426774354249,0.557181015283363,1.5157183509556553,46.5478661659869,90.12923700293352,-43.58137083694662,stable_watch,stalling_plateau,centrifugal_fragility
43,singapore_sg,Singapore,Singapore,Asia,upshift_break,34.076467624234226,2.191261381948427,0.5155229655518465,1.4845385108186981,47.044173518269254,80.1936510054359,-33.14947748716664,stable_watch,stalling_plateau,centrifugal_fragility
44,copenhagen_dk,Copenhagen,Denmark,Europe,upshift_break,33.37464718552954,2.1588889092739882,0.47949873977994883,1.131280510052747,47.33343431183644,79.73280331154282,-32.39936899970638,stable_watch,stable_mature,centrifugal_fragility
45,birmingham_gb,Birmingham,United Kingdom,Europe,upshift_break,33.31415248687157,2.5939027797318435,0.5389281202160925,1.1312427619861936,39.154393227511854,81.27465094646993,-42.12025771895808,acceleration_opportunity,stalling_plateau,rotational_transition
46,lae_pg,Lae,Papua New Guinea,Oceania,steady_transition,38.67177379601054,1.3165722045861366,0.4450986041417332,3.3501319362603823,72.58859140168842,100.0,-27.41140859831158,stall_warning,persistent_accelerator,centrifugal_fragility
47,dusseldorf_de,Dusseldorf,Germany,Europe,steady_transition,36.78775246002634,1.9737227961946582,0.4463601711363261,1.7245754463526168,61.685668811441424,88.59849901314354,-26.912830201702114,stable_watch,persistent_accelerator,centrifugal_fragility
49,riga_lv,Riga,Latvia,Europe,steady_transition,34.49552890686486,1.0904858433503866,0.542256392712899,1.181006665067489,57.71923443261,60.261683985446986,-2.5424495528369846,stable_watch,stable_mature,rotational_transition
50,istanbul_tr,Istanbul,Turkey,Europe,steady_transition,34.40945988585073,1.2899869872558776,0.4478407069590804,1.5257850681790046,60.963663462538335,73.7565991138904,-12.792935651352067,stable_watch,persistent_accelerator,centrifugal_fragility
51,calgary_ca,Calgary,Canada,North America,steady_transition,34.02431266262497,1.70948727029886,0.39538441732015983,1.289070661807326,58.0751790528044,89.39045297777194,-31.315273924967542,stable_watch,late_takeoff,centrifugal_fragility
54,tashkent_uz,Tashkent,Uzbekistan,Asia,steady_transition,32.17222707454079,1.419389538339684,0.333998382287241,1.513571398964416,58.51727049795757,86.96985227798996,-28.45258178003239,stable_watch,late_takeoff,centrifugal_fragility
55,brussels_be,Brussels,Belgium,Europe,steady_transition,32.16712079159568,1.443531554398976,0.3393364155823597,1.2500769389262345,57.816534638820414,79.08370388668678,-21.267169247866363,stable_watch,late_takeoff,centrifugal_fragility
56,tokyo_jp,Tokyo,Japan,Asia,steady_transition,32.12470057655463,1.499507835150522,0.3515492861749018,1.1158951435812696,56.76796147957107,83.418918378614,-26.650956899042924,stable_watch,late_takeoff,centrifugal_fragility
57,luanda_ao,Luanda,Angola,Africa,steady_transition,31.98861754478842,1.490855647473456,0.349676414308157,1.7301551232173615,56.54427330210396,82.39175049542652,-25.84747719332256,stable_watch,late_takeoff,centrifugal_fragility
60,miami_us,Miami,United States,North America,steady_transition,31.86997470049898,1.313341771228213,0.529621553467621,0.9524844832177948,49.44297910311829,72.18571302421829,-22.742733921099997,stable_watch,persistent_accelerator,centrifugal_fragility
61,managua_ni,Managua,Nicaragua,North America,steady_transition,31.611793227845723,1.69634278496144,0.4274639489479134,1.6221678027241992,47.75011024066313,97.0332898852159,-49.28317964455276,stable_watch,stalling_plateau,centrifugal_fragility
62,guadalajara_mx,Guadalajara,Mexico,North America,steady_transition,30.90845294444145,1.5013786626945966,0.3519535399324232,1.2549180995918157,52.35581564011393,84.21476839620838,-31.858952756094453,stable_watch,late_takeoff,centrifugal_fragility
63,tegucigalpa_hn,Tegucigalpa,Honduras,North America,steady_transition,30.874252700826773,1.4900778659079523,0.5528168699327201,0.9500122556113588,41.63537381042885,77.73411257706223,-36.09873876663338,stable_watch,stable_mature,directional_drift
64,guangzhou_cn,Guangzhou,China,Asia,steady_transition,30.69327211435337,1.294525542925709,0.3056935516025624,1.1459502310527583,56.63044067173867,78.95493752387408,-22.32449685213541,stable_watch,late_takeoff,centrifugal_fragility
65,antwerp_be,Antwerp,Belgium,Europe,steady_transition,30.541517900353238,1.411792205549671,0.33230963288175297,1.0830805679056503,54.89938448190242,74.44107735497415,-19.54169287307173,stable_watch,persistent_accelerator,rotational_transition
66,vladivostok_ru,Vladivostok,Russia,Asia,steady_transition,30.282467612606823,1.2013585953576136,0.34162960186102553,1.488616113595981,55.11263278440841,78.55302524886486,-23.440392464456444,stable_watch,stable_mature,centrifugal_fragility
70,porto_alegre_br,Porto Alegre,Brazil,South America,steady_transition,29.069278276985695,1.4357123204362152,0.3376122085163049,0.9918748786259002,47.994639249915494,72.14624362821608,-24.15160437830059,stable_watch,late_takeoff,centrifugal_fragility
71,bilbao_es,Bilbao,Spain,Europe,steady_transition,28.916655881247653,1.4733233311744474,0.3688360362709574,1.292486571021584,47.85946392052344,82.98039811781466,-35.12093419729122,stable_watch,stable_mature,centrifugal_fragility
76,new_york_us,New York,United States,North America,steady_transition,28.649325871368255,-1.5590414813157336,0.36429065645435443,-1.101405707030409,38.30946376471094,36.02402492210464,2.285438842606304,stable_watch,structural_decline,centrifugal_fragility
78,glasgow_gb,Glasgow,United Kingdom,Europe,steady_transition,28.25529016865771,1.6976882754225993,0.4163986570503555,0.5893155628700768,40.268537518816245,67.4657237951368,-27.19718627632055,stable_watch,stalling_plateau,directional_drift
79,dar_es_salaam_tz,Dar es Salaam,Tanzania,Africa,steady_transition,28.233768626016982,0.8317071205119879,0.5507889036906235,0.6477009570732051,40.44896882360265,68.41483591520668,-27.965867091604032,stable_watch,stalling_plateau,directional_drift
