metric,value
observed_did_coef,-0.3020316316864002
placebo_share_p_lt_0_10,0.2
placebo_max_abs_t,1.8368190215790945
permutation_two_sided_p,0.4125
loo_same_sign_share,1.0
loo_did_cv,0.1092496362826747
pretrend_pass_rate,0.0
shock_leave_one_shock_same_sign_share,0.6666666666666666
shock_real_vs_placebo_ratio,1.0
multiple_testing_rows,17.0
share_bh_q_lt_0_10,0.2941176470588235
