continent,year,dynamic_pulse_index_mean,dynamic_pulse_index_p75,dynamic_pulse_delta_1y_mean,city_count
Africa,2015,6.940962616270814,8.422539878582494,0.0,52
Africa,2016,72.3521675078834,73.69766287908469,65.41120489161258,52
Africa,2017,59.14060046196017,63.15844107261858,-13.211567045923225,52
Africa,2018,52.92494784577629,69.95667462831612,-6.21565261618388,52
Africa,2019,52.4966477120051,58.19073080150187,-0.4283001337711912,52
Africa,2020,59.00592275527144,69.73627470708149,6.509275043266332,52
Africa,2021,52.00538052608928,59.22186530881628,-7.000542229182143,52
Africa,2022,53.078020560735794,58.11386048173826,1.0726400346465053,52
Africa,2023,65.61936752189837,74.72229839688215,12.54134696116257,52
Africa,2024,51.489741618357726,57.850250282914125,-14.129625903540642,52
Africa,2025,61.792495963161976,72.22723480092449,10.302754344804251,52
Asia,2015,7.130833251237496,8.982456695792504,0.0,74
Asia,2016,74.79898844305721,74.59038276832732,67.66815519181971,74
Asia,2017,60.55318959695167,63.57975841083626,-14.245798846105542,74
Asia,2018,50.52394061589112,59.45921482089079,-10.029248981060544,74
Asia,2019,50.67230102882258,55.8828864362477,0.1483604129314588,74
Asia,2020,64.0478162683231,72.46633707958742,13.375515239500524,74
Asia,2021,55.82145324235836,64.06828941220896,-8.226363025964746,74
Asia,2022,54.975922564968656,61.4550294470903,-0.8455306773897032,74
Asia,2023,60.00314082433441,66.81836496445509,5.027218259365753,74
Asia,2024,49.52063011852344,56.10495137160573,-10.482510705810974,74
Asia,2025,57.87169505285674,62.74137944506561,8.351064934333305,74
Europe,2015,6.5501176055922645,8.25465036940075,0.0,67
Europe,2016,74.81259518973086,73.89673299502321,68.2624775841386,67
Europe,2017,72.85830720932714,90.39505189808366,-1.9542879804037323,67
Europe,2018,57.32063538782451,76.88337094336342,-15.537671821502618,67
Europe,2019,56.063772177620464,72.2565116653549,-1.2568632102040422,67
Europe,2020,68.41585525896497,84.08425354165297,12.352083081344498,67
Europe,2021,62.18871016242765,76.46748247145163,-6.227145096537305,67
Europe,2022,57.51963355586047,69.54884297378022,-4.669076606567185,67
Europe,2023,61.8856162484196,69.48814884479904,4.36598269255912,67
Europe,2024,54.32096474605512,60.24380207282022,-7.564651502364472,67
Europe,2025,60.39066367328504,75.85934910350306,6.069698927229926,67
North America,2015,7.809807855495572,8.464790925335743,0.0,44
North America,2016,70.10583245798574,72.26769984221482,62.29602460249016,44
North America,2017,58.498103589175045,59.11562019584723,-11.607728868810694,44
North America,2018,56.506566807668285,70.34448589477924,-1.9915367815067575,44
North America,2019,53.29479166747876,60.88418042280067,-3.2117751401895345,44
North America,2020,61.51095984833496,69.37501975389947,8.216168180856211,44
North America,2021,54.85131333125389,63.98532664520428,-6.659646517081068,44
North America,2022,55.09624661813025,61.78468042405604,0.244933286876354,44
North America,2023,60.45520257966132,66.97170493858583,5.358955961531066,44
North America,2024,49.62430433701033,57.2272334112141,-10.83089824265099,44
North America,2025,57.78136855819403,63.57988223766578,8.15706422118371,44
Oceania,2015,6.6103263199184354,8.090392107006673,0.0,19
Oceania,2016,70.56672980066429,72.93178570662687,63.95640348074586,19
Oceania,2017,63.76399630089364,72.97344337165282,-6.802733499770655,19
Oceania,2018,53.81743488776692,63.79135749240639,-9.94656141312672,19
Oceania,2019,51.49606852145723,65.89108481194567,-2.321366366309688,19
Oceania,2020,67.87750729636154,77.39701365467334,16.381438774904307,19
Oceania,2021,61.2996772425775,71.06691541012611,-6.57783005378404,19
Oceania,2022,60.9129379391612,70.52270713929784,-0.3867393034162961,19
Oceania,2023,62.102364178861954,72.81668542561893,1.1894262397007542,19
Oceania,2024,42.60936522012644,48.68428634706007,-19.492998958735527,19
Oceania,2025,63.2854447834609,76.60924188180668,20.67607956333447,19
South America,2015,7.7590420812632575,8.881232120537458,0.0,39
South America,2016,74.34210745884751,74.3711762624778,66.58306537758425,39
South America,2017,58.03446750437972,73.26116958801767,-16.30763995446779,39
South America,2018,46.7563053513482,64.29249484848232,-11.278162153031529,39
South America,2019,53.154237387927246,56.71058198807178,6.3979320365790615,39
South America,2020,59.98925862466011,66.5087034658626,6.835021236732864,39
South America,2021,55.79383443786243,68.08417814598248,-4.195424186797681,39
South America,2022,55.87994923841747,61.56107679466389,0.0861148005550259,39
South America,2023,59.01692502698243,60.888011019038615,3.1369757885649605,39
South America,2024,48.77115305211158,55.59595230326092,-10.24577197487084,39
South America,2025,59.82947842162167,69.53334810029187,11.058325369510085,39
