analysis_type,group,status,group_col,group_val,coef,stderr,t_value,p_value,n_obs,n_cities,treated_share,coef_main,stderr_main,t_value_main,p_value_main,coef_interaction,stderr_interaction,t_value_interaction,p_value_interaction,implied_effect_group0,implied_effect_group1,stderr_type,n_clusters,phase_label,phase_city_count,phase_city_share
subgroup_did,high_phase_instability_0,ok,high_phase_instability,0.0,0.0838482059021248,0.1231288558492208,0.6809793311553418,0.4978757975308625,1617,147,0.3945578231292517,,,,,,,,,,,,,,,
subgroup_did,high_phase_instability_1,ok,high_phase_instability,1.0,0.1434893381666071,0.1818394070840713,0.7890992412896867,0.4321992033023367,1628,148,0.4189189189189189,,,,,,,,,,,,,,,
subgroup_did,fragile_phase_0,ok,fragile_phase,0.0,0.1315957318891448,0.1518835159283484,0.8664253726600953,0.3883310444585205,2222,202,0.396039603960396,,,,,,,,,,,,,,,
subgroup_did,fragile_phase_1,ok,fragile_phase,1.0,-0.0050076073831329,0.1483200161863156,-0.0337621820162329,0.9731788610552284,1023,93,0.4301075268817204,,,,,,,,,,,,,,,
interaction_did,high_phase_instability,ok,high_phase_instability,,,,,,3245,295,,-0.0225060599519393,0.1248910015292548,-0.1802056167086423,0.8572613749173768,0.270878562641594,0.1622121529403635,1.6699030111583637,0.0972556675325777,-0.0225060599519393,0.2483725026896547,cluster_iso3_cr1,136.0,,,
interaction_did,fragile_phase,ok,fragile_phase,,,,,,3245,295,,0.0372338308719379,0.1302774113851884,0.2858041964147526,0.775466166587448,0.2389767730026038,0.15626962492576,1.529259272978584,0.1285399692128954,0.0372338308719379,0.2762106038745417,cluster_iso3_cr1,136.0,,,
phase_label_interaction,centrifugal_fragility,ok,phase_flag__centrifugal_fragility,,,,,,3245,295,,0.0582179648542572,0.1156739220101276,0.5032937747987832,0.6155779386270765,0.3110823182003138,0.1914472005647745,1.6248987568510398,0.1065165557722099,0.0582179648542572,0.3693002830545711,cluster_iso3_cr1,136.0,centrifugal_fragility,48.0,0.1627118644067796
phase_label_interaction,directional_drift,ok,phase_flag__directional_drift,,,,,,3245,295,,0.2470172791462886,0.1319696865210419,1.871772871923151,0.0634018250735366,-0.2108493900020209,0.1560554337699679,-1.351118541074459,0.1789174866751435,0.2470172791462886,0.0361678891442676,cluster_iso3_cr1,136.0,directional_drift,187.0,0.6338983050847458
phase_label_interaction,rotational_transition,ok,phase_flag__rotational_transition,,,,,,3245,295,,0.1074791492893808,0.1201470016806024,0.8945637243208314,0.3726124696938187,0.0395264660772753,0.1612807271849613,0.2450786697653294,0.8067676674787857,0.1074791492893808,0.1470056153666561,cluster_iso3_cr1,136.0,rotational_transition,45.0,0.1525423728813559
