event_id,iso3,start_year,end_year,effective_date,policy_name,policy_intensity,source_ref,source_track,evidence_grade,project_id_count,project_ids,source_url_count,primary_source_url,source_domain,has_objective_source,is_external_direct,is_objective_indicator,is_objective_macro,is_ai_inferred,commitment_usd,project_count,assignment_type
pevt_000023,ARE,2017,2017,2017-01-01,digital_connectivity_objective_indicator_event,0.3062349153686588,wb_indicator_event:structural_break@2017;score=6.1194;drivers=IT.NET.BBND.P2:41.56|IT.NET.USER.ZS:2.93|IP.PAT.RESD:2.02,objective_indicator,B,0,,1,https://api.worldbank.org/v2/indicator?format=json&per_page=20000,api.worldbank.org,1,0,1,0,0,,,rule_based
pevt_000024,ARG,2015,2015,2015-01-01,urban_mobility,0.7208165435347469,wb_project:P133129,external_direct,A,1,P133129,1,https://projects.worldbank.org/en/projects-operations/project-detail/P133129,projects.worldbank.org,1,1,0,0,0,425000000.0,1.0,explicit
pevt_000025,ARG,2015,2015,2015-01-01,urban_services,0.8438430717789851,wb_project:P106685|P133193,external_direct,A,2,P106685|P133193,2,https://projects.worldbank.org/en/projects-operations/project-detail/P106685,projects.worldbank.org,1,1,0,0,0,402500000.0,2.0,explicit
pevt_000026,ARG,2016,2016,2016-01-01,urban_mobility,0.8612317340392239,wb_project:P158791|P159515,external_direct,A,2,P158791|P159515,2,https://projects.worldbank.org/en/projects-operations/project-detail/P158791,projects.worldbank.org,1,1,0,0,0,650000000.0,2.0,explicit
pevt_000027,ARG,2016,2016,2016-01-01,urban_services,0.8197170613132236,wb_project:P094425|P145686,external_direct,A,2,P094425|P145686,2,https://projects.worldbank.org/en/projects-operations/project-detail/P094425,projects.worldbank.org,1,1,0,0,0,207000000.0,2.0,explicit
pevt_000028,ARG,2017,2017,2017-01-01,energy_transition,0.8502318309892158,wb_project:P090119|P159901,external_direct,A,2,P090119|P159901,2,https://projects.worldbank.org/en/projects-operations/project-detail/P090119,projects.worldbank.org,1,1,0,0,0,480000000.0,2.0,explicit
pevt_000029,ARG,2017,2017,2017-01-01,urban_mobility,0.8382503297551662,wb_project:P161393|P163115,external_direct,A,2,P161393|P163115,2,https://projects.worldbank.org/en/projects-operations/project-detail/P161393,projects.worldbank.org,1,1,0,0,0,345000000.0,2.0,explicit
pevt_000030,ARG,2017,2017,2017-01-01,urban_services,0.9889204459613984,wb_project:P159843|P159929|P161798,external_direct,A,3,P159843|P159929|P161798,3,https://projects.worldbank.org/en/projects-operations/project-detail/P159843,projects.worldbank.org,1,1,0,0,0,700000000.0,3.0,explicit
pevt_000031,ARG,2018,2018,2018-01-01,urban_mobility,0.8334086807679967,wb_project:P129397|P163345,external_direct,A,2,P129397|P163345,2,https://projects.worldbank.org/en/projects-operations/project-detail/P129397,projects.worldbank.org,1,1,0,0,0,301900000.0,2.0,explicit
pevt_000032,ARG,2019,2019,2019-01-01,urban_mobility,0.9996546467090022,wb_project:P166935|P168713|P168911,external_direct,A,3,P166935|P168713|P168911,3,https://projects.worldbank.org/en/projects-operations/project-detail/P166935,projects.worldbank.org,1,1,0,0,0,941000000.0,3.0,explicit
