source_continent,target_continent,lead_corr_turning,lead_corr_hazard,same_corr_turning,same_corr_hazard,lead_score,n_year_pairs,lead_score_p_value_perm,lead_score_z_perm,perm_draws
Africa,Asia,0.5205551284970151,-0.2605025921725002,0.9613355221028236,0.7954188985095263,-0.3399193918446409,10,0.328125,0.4997618009744259,320
Africa,Europe,0.4803525595441564,-0.4124048943447307,0.904387456298731,0.8501397401355936,-0.4465834533951558,10,0.528125,-0.0950191176745888,320
Africa,North America,0.5865698128946182,0.4286568477119384,0.9052668731156888,0.9148351794437048,0.0442137535878951,10,0.078125,1.828338954277172,320
Africa,Oceania,0.3997409842139669,-0.1736367750591088,0.8337403326489898,0.6360223846558832,-0.2731715653127877,10,0.471875,0.1856328841212342,320
Africa,South America,0.1465552367185245,-0.78003283993927,0.911908061431889,0.86053334556827,-0.8036098214001214,10,0.99375,-1.9443320819749417,320
Asia,Africa,0.4336433231293493,-0.3968085367897566,0.9613355221028236,0.7954188985095262,-0.4539979737995815,10,0.565625,-0.0899542576905039,320
Asia,Europe,0.4924117147137307,-0.5349925328123679,0.9612463562845178,0.8517035924959037,-0.5204209704312982,10,0.68125,-0.4063774381460912,320
Asia,North America,0.6247473181314371,0.4246077826252396,0.96062253671519,0.8389998947015176,0.0708460978495353,10,0.06875,1.9409895236182653,320
Asia,Oceania,0.4113115189518552,0.2375277581852049,0.8305483487794725,0.8088881392683114,-0.0930456610061903,10,0.11875,1.1868541277416305,320
Asia,South America,0.1090950471519555,-0.6909758544542921,0.8768796997142029,0.8649779464247449,-0.7658132726017447,10,0.978125,-1.8908695105716515,320
Europe,Africa,0.4085831277360686,-0.550872818167971,0.9043874562987312,0.8501397401355936,-0.5550370558115774,10,0.784375,-0.6536542892264863,320
Europe,Asia,0.4647912129835126,-0.2892697191571828,0.9612463562845176,0.8517035924959037,-0.3977026486995445,10,0.409375,0.3014112766947746,320
Europe,North America,0.5663976230863912,0.5880008581072027,0.9270075855460028,0.8093062199327243,0.1500860192588196,10,0.021875,2.2737743197707814,320
Europe,Oceania,0.2837912625253123,0.138533118676253,0.7801403785210576,0.6092017597662381,-0.1348893202257532,10,0.2875,0.7143120968014954,320
Europe,South America,0.0984131843704664,-0.8767780598198699,0.8787559600640853,0.8611718707208978,-0.872044753163305,10,0.99375,-2.107904795570842,320
North America,Africa,0.4012966982842095,-0.3911160856145223,0.9052668731156888,0.9148351794437048,-0.4900342613163422,10,0.634375,-0.1574272329928163,320
North America,Asia,0.5063935731804655,-0.256114797114251,0.96062253671519,0.8389998947015176,-0.3568105062351219,10,0.371875,0.4718672465588081,320
North America,Europe,0.4890414314276795,-0.5763804228867222,0.9270075855460028,0.8093062199327243,-0.5251339715342593,10,0.7375,-0.5687219302136841,320
North America,Oceania,0.4989608907722972,-0.1504677631131292,0.8963627286542949,0.7007435202361028,-0.2477204706663771,10,0.409375,0.4384520517533004,320
North America,South America,0.0864082425751494,-0.7543531661021626,0.7694490674578803,0.7249999787719392,-0.7474003393205301,10,1.0,-2.482297626474121,320
Oceania,Africa,0.3654053540386517,-0.2355901369656679,0.8337403326489897,0.6360223846558832,-0.322696947940287,10,0.46875,0.1661264679729772,320
Oceania,Asia,0.5033038639432958,-0.0330437950216612,0.8305483487794724,0.8088881392683113,-0.2004634600238183,10,0.15,1.0555815099165022,320
Oceania,Europe,0.545281057523666,-0.3021578854450855,0.7801403785210576,0.6092017597662381,-0.2595989647432303,10,0.3125,0.4050887983437861,320
Oceania,North America,0.5982250768400786,0.5170192239774427,0.8963627286542949,0.7007435202361028,0.1640662559639391,10,0.01875,2.1296694267904823,320
Oceania,South America,0.1600245101782342,-0.580479890092611,0.7030768794500447,0.6666834094436721,-0.5878733086938412,10,0.9625,-1.6939938648065975,320
South America,Africa,0.4513435390803536,-0.3347900794590685,0.911908061431889,0.8605333455682699,-0.4215715670731873,10,0.490625,-0.0280160576848718,320
South America,Asia,0.4638660178080649,-0.1961038193178102,0.8768796997142029,0.8649779464247451,-0.3339867164814306,10,0.375,0.3113474227157528,320
South America,Europe,0.491121511815126,-0.3705903703681088,0.8787559600640853,0.8611718707208978,-0.4169227766147395,10,0.46875,0.0754434641607869,320
South America,North America,0.4306027574635565,0.4703986249601199,0.7694490674578804,0.7249999787719392,0.0811006774635085,10,0.08125,1.718413045805945,320
South America,Oceania,0.1361509163433768,0.2215832583735043,0.7030768794500448,0.6666834094436721,-0.1574816942631636,10,0.25625,0.7411555986467517,320
